step,role,orca_out,found,E_DFT_hartree,zpe_hartree,thermal_vib_hartree,n_imaginary,n_real,n_total,n_imaginary_expected,imaginary_mode_ok,E_total_hartree,resp_done,note_x,barrier_kcal_mol,reaction_energy_kcal_mol,note_y
RS1_1_to_TS1_2,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_sp_PBE0_def2SVP.out,False,,0.467285555605233,0.031021432579526567,1,164,165,0,False,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS1_1_to_TS1_2,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_sp_PBE0_def2SVP.out,False,,0.46750154867801913,0.030698918035792548,1,164,165,1,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS1_1_to_TS1_2,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_sp_PBE0_def2SVP.out,False,,0.46752833992932136,0.031817155884769244,0,165,165,0,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
TS1_2_to_PS1_2b,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_sp_PBE0_def2SVP.out,False,,0.467855826525809,0.03136589845313612,0,165,165,0,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
TS1_2_to_PS1_2b,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_sp_PBE0_def2SVP.out,False,,0.46785922099557425,0.03136775529557309,0,165,165,1,False,,False,vpot output file not found,,,missing energy -- check DFT job completion
TS1_2_to_PS1_2b,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_sp_PBE0_def2SVP.out,False,,0.4674171653490876,0.03187119225107918,0,165,165,0,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS1_2b_to_PS1_3,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_sp_PBE0_def2SVP.out,False,,0.4690241392303429,0.029995154319831727,1,164,165,0,False,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS1_2b_to_PS1_3,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_sp_PBE0_def2SVP.out,False,,0.4651141656942052,0.03257756277855749,0,165,165,1,False,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS1_2b_to_PS1_3,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_sp_PBE0_def2SVP.out,False,,0.46554346360197657,0.03224927284969646,0,165,165,0,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS2_1_to_TS2_1a,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_sp_PBE0_def2SVP.out,False,,0.28005876876461394,0.039370212762929256,1,164,165,0,False,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS2_1_to_TS2_1a,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_TS_sp_PBE0_def2SVP.out,False,,0.27669913218230935,0.0413644124262637,0,165,165,1,False,,False,vpot output file not found,,,missing energy -- check DFT job completion
RS2_1_to_TS2_1a,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_PS_sp_PBE0_def2SVP.out,False,,0.27668099796799256,0.041385747588783654,0,165,165,0,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
TS2_1a_to_PS2_2,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_sp_PBE0_def2SVP.out,False,,0.2737016786894629,0.043006745138030926,0,165,165,0,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
TS2_1a_to_PS2_2,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_sp_PBE0_def2SVP.out,False,,0.2752156577681538,0.04130088750777658,1,164,165,1,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
TS2_1a_to_PS2_2,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_sp_PBE0_def2SVP.out,False,,0.28239678385593464,0.040074301507888176,0,165,165,0,True,,False,vpot output file not found,,,missing energy -- check DFT job completion
