step,role,xyz_source,charge,multiplicity,orca_production,orca_resp,preset,nprocs
RS1_1_to_TS1_2,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_resp_hf631gs.inp,fast,8
RS1_1_to_TS1_2,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_resp_hf631gs.inp,fast,8
RS1_1_to_TS1_2,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_resp_hf631gs.inp,fast,8
TS1_2_to_PS1_2b,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_resp_hf631gs.inp,fast,8
TS1_2_to_PS1_2b,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_resp_hf631gs.inp,fast,8
TS1_2_to_PS1_2b,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_resp_hf631gs.inp,fast,8
RS1_2b_to_PS1_3,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_resp_hf631gs.inp,fast,8
RS1_2b_to_PS1_3,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_resp_hf631gs.inp,fast,8
RS1_2b_to_PS1_3,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_resp_hf631gs.inp,fast,8
RS2_1_to_TS2_1a,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS.xyz,0,1,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_sp_PBE0_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\single_point_qm\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_resp_hf631gs.inp,fast,8
