mode,frequency_cm-1,imaginary
1,10.76,False
2,17.14,False
3,23.09,False
4,25.8,False
5,33.86,False
6,39.34,False
7,52.35,False
8,54.24,False
9,60.02,False
10,63.77,False
11,64.58,False
12,71.63,False
13,77.12,False
14,82.53,False
15,84.26,False
16,95.49,False
17,100.52,False
18,107.42,False
19,118.3,False
20,125.68,False
21,131.52,False
22,140.92,False
23,157.45,False
24,159.67,False
25,169.41,False
26,176.44,False
27,192.85,False
28,200.3,False
29,233.66,False
30,238.73,False
31,244.95,False
32,261.89,False
33,290.44,False
34,293.69,False
35,300.83,False
36,324.26,False
37,344.3,False
38,353.96,False
39,376.51,False
40,380.12,False
41,387.41,False
42,392.25,False
43,406.79,False
44,415.48,False
45,446.91,False
46,448.94,False
47,476.56,False
48,490.45,False
49,525.47,False
50,532.81,False
51,560.57,False
52,578.68,False
53,601.53,False
54,614.02,False
55,615.65,False
56,640.55,False
57,671.91,False
58,690.12,False
59,720.72,False
60,728.23,False
61,761.67,False
62,766.93,False
63,791.93,False
64,798.13,False
65,808.59,False
66,862.78,False
67,871.73,False
68,882.41,False
69,893.73,False
70,906.84,False
71,920.93,False
72,922.22,False
73,929.3,False
74,939.37,False
75,976.41,False
76,991.69,False
77,996.01,False
78,1001.86,False
79,1010.0,False
80,1015.13,False
81,1018.83,False
82,1037.09,False
83,1074.03,False
84,1078.02,False
85,1089.7,False
86,1104.67,False
87,1108.93,False
88,1117.72,False
89,1130.13,False
90,1144.0,False
91,1157.34,False
92,1163.87,False
93,1195.99,False
94,1208.46,False
95,1218.87,False
96,1220.43,False
97,1222.21,False
98,1240.71,False
99,1253.66,False
100,1266.29,False
101,1280.77,False
102,1284.36,False
103,1285.87,False
104,1296.1,False
105,1313.36,False
106,1321.18,False
107,1342.74,False
108,1347.38,False
109,1374.66,False
110,1384.49,False
111,1393.15,False
112,1419.44,False
113,1424.1,False
114,1428.7,False
115,1433.76,False
116,1455.95,False
117,1462.52,False
118,1465.28,False
119,1475.49,False
120,1477.73,False
121,1484.3,False
122,1486.41,False
123,1495.24,False
124,1500.79,False
125,1504.25,False
126,1516.37,False
127,1549.7,False
128,1559.74,False
129,1577.31,False
130,1615.38,False
131,1637.66,False
132,1678.52,False
133,1710.13,False
134,1759.56,False
135,2807.24,False
136,2917.52,False
137,2958.84,False
138,2969.88,False
139,2970.62,False
140,2983.87,False
141,2990.82,False
142,2990.92,False
143,3001.0,False
144,3003.33,False
145,3021.56,False
146,3032.57,False
147,3032.77,False
148,3033.28,False
149,3038.74,False
150,3054.32,False
151,3058.01,False
152,3059.27,False
153,3064.64,False
154,3074.87,False
155,3079.72,False
156,3083.24,False
157,3088.27,False
158,3333.69,False
159,3371.42,False
160,3406.39,False
161,3447.74,False
162,3456.36,False
163,3548.59,False
164,3574.45,False
165,3663.17,False
