atom_index,charge
4,1.0
1,0.0
2,1.05
3,1.05
1,-0.7300007
68,-0.4140833
69,-0.4104937
70,-0.3960489
71,-0.394073
72,-0.3873036
73,-0.3762841
74,-0.3495462
75,-0.310906
76,-0.2121787
77,-0.2113805
78,-0.2039901
79,-0.1935062
135,0.670487
1,-0.7300007
62,-0.4448874
63,-0.4359635
64,-0.4307427
65,-0.4281522
66,-0.4265938
67,-0.4202095
68,-0.4140833
69,-0.4104937
70,-0.3960489
71,-0.394073
72,-0.3873036
73,-0.3762841
74,-0.3495462
75,-0.310906
76,-0.2121787
77,-0.2113805
78,-0.2039901
79,-0.1935062
80,-0.1917389
81,-2.1995
82,-0.0353
