mode,frequency_cm-1,imaginary
1,2.56,False
2,10.34,False
3,22.58,False
4,28.79,False
5,32.69,False
6,36.07,False
7,46.02,False
8,48.21,False
9,55.06,False
10,60.04,False
11,68.62,False
12,72.24,False
13,79.15,False
14,85.77,False
15,88.35,False
16,104.91,False
17,107.0,False
18,108.85,False
19,120.48,False
20,122.45,False
21,125.77,False
22,143.93,False
23,159.21,False
24,168.35,False
25,176.38,False
26,182.99,False
27,190.95,False
28,200.83,False
29,209.23,False
30,230.8,False
31,233.52,False
32,245.47,False
33,263.13,False
34,293.58,False
35,309.83,False
36,311.62,False
37,349.74,False
38,365.74,False
39,372.09,False
40,377.37,False
41,386.41,False
42,396.77,False
43,412.1,False
44,419.59,False
45,433.91,False
46,470.93,False
47,484.59,False
48,506.66,False
49,518.1,False
50,537.55,False
51,577.74,False
52,586.34,False
53,598.04,False
54,615.03,False
55,632.09,False
56,647.61,False
57,652.81,False
58,687.64,False
59,706.08,False
60,721.13,False
61,736.11,False
62,759.42,False
63,785.63,False
64,788.72,False
65,808.91,False
66,852.42,False
67,865.97,False
68,883.79,False
69,889.84,False
70,904.61,False
71,916.18,False
72,921.31,False
73,923.87,False
74,936.18,False
75,937.43,False
76,1000.86,False
77,1004.43,False
78,1010.25,False
79,1019.89,False
80,1033.79,False
81,1035.26,False
82,1053.45,False
83,1088.61,False
84,1089.62,False
85,1105.19,False
86,1105.8,False
87,1113.88,False
88,1132.23,False
89,1142.94,False
90,1146.62,False
91,1163.5,False
92,1166.38,False
93,1199.02,False
94,1207.46,False
95,1216.37,False
96,1223.79,False
97,1225.82,False
98,1245.5,False
99,1258.5,False
100,1265.28,False
101,1280.69,False
102,1291.57,False
103,1293.83,False
104,1305.68,False
105,1324.77,False
106,1331.71,False
107,1345.74,False
108,1348.8,False
109,1376.83,False
110,1383.37,False
111,1392.49,False
112,1417.57,False
113,1429.85,False
114,1432.92,False
115,1441.43,False
116,1455.98,False
117,1457.17,False
118,1464.01,False
119,1467.11,False
120,1467.65,False
121,1486.36,False
122,1487.32,False
123,1492.7,False
124,1499.7,False
125,1502.34,False
126,1526.04,False
127,1542.69,False
128,1559.5,False
129,1576.04,False
130,1623.43,False
131,1652.93,False
132,1691.93,False
133,1708.03,False
134,1746.46,False
135,2848.36,False
136,2945.01,False
137,2957.03,False
138,2969.99,False
139,2975.3,False
140,2988.09,False
141,2988.3,False
142,2990.77,False
143,2997.36,False
144,3008.84,False
145,3019.73,False
146,3028.15,False
147,3037.07,False
148,3041.12,False
149,3045.1,False
150,3052.52,False
151,3054.85,False
152,3056.37,False
153,3061.98,False
154,3068.2,False
155,3070.78,False
156,3077.02,False
157,3107.43,False
158,3228.71,False
159,3328.61,False
160,3383.58,False
161,3390.21,False
162,3414.24,False
163,3494.53,False
164,3652.39,False
165,3669.4,False
