mode,frequency_cm-1,reduced_mass_amu,IR_km_mol,Raman_A4_amu,imaginary
1,2.56,11.55,1.16,0.0,False
2,10.34,11.46,0.99,0.0,False
3,22.58,10.49,0.43,0.0,False
4,28.79,12.44,0.43,0.0,False
5,32.69,12.76,1.74,0.0,False
6,36.07,10.69,0.81,0.0,False
7,46.02,10.29,1.04,0.0,False
8,48.21,11.35,2.0,0.0,False
9,55.06,12.92,2.25,0.0,False
10,60.04,12.2,4.24,0.0,False
11,68.62,10.71,1.26,0.0,False
12,72.24,10.07,0.27,0.0,False
13,79.15,11.32,1.83,0.0,False
14,85.77,10.82,1.69,0.0,False
15,88.35,10.32,2.36,0.0,False
16,104.91,10.57,8.69,0.0,False
17,107.0,10.54,4.78,0.0,False
18,108.85,5.83,1.82,0.0,False
19,120.48,7.56,1.8,0.0,False
20,122.45,5.49,0.05,0.0,False
21,125.77,7.85,32.98,0.0,False
22,143.93,9.85,14.2,0.0,False
23,159.21,10.29,58.64,0.0,False
24,168.35,10.53,8.93,0.0,False
25,176.38,11.53,7.86,0.0,False
26,182.99,11.13,2.06,0.0,False
27,190.95,6.04,60.14,0.0,False
28,200.83,10.13,7.01,0.0,False
29,209.23,8.32,49.45,0.0,False
30,230.8,11.47,5.06,0.0,False
31,233.52,3.86,4.89,0.0,False
32,245.47,11.26,35.21,0.0,False
33,263.13,9.54,20.34,0.0,False
34,293.58,10.58,7.44,0.0,False
35,309.83,9.86,7.4,0.0,False
36,311.62,10.46,10.79,0.0,False
37,349.74,10.36,5.96,0.0,False
38,365.74,11.7,12.46,0.0,False
39,372.09,9.6,1.79,0.0,False
40,377.37,7.68,5.92,0.0,False
41,386.41,2.52,50.86,0.0,False
42,396.77,6.02,26.6,0.0,False
43,412.1,8.26,18.85,0.0,False
44,419.59,7.12,39.96,0.0,False
45,433.91,3.64,113.4,0.0,False
46,470.93,10.59,7.64,0.0,False
47,484.59,8.98,6.32,0.0,False
48,506.66,10.32,18.83,0.0,False
49,518.1,7.81,23.64,0.0,False
50,537.55,8.43,79.39,0.0,False
51,577.74,10.75,8.72,0.0,False
52,586.34,7.63,18.76,0.0,False
53,598.04,3.35,193.85,0.0,False
54,615.03,10.7,3.04,0.0,False
55,632.09,3.85,208.46,0.0,False
56,647.61,9.77,26.54,0.0,False
57,652.81,10.58,35.34,0.0,False
58,687.64,10.47,17.75,0.0,False
59,706.08,3.0,347.72,0.0,False
60,721.13,6.07,70.08,0.0,False
61,736.11,7.62,35.95,0.0,False
62,759.42,4.32,1.48,0.0,False
63,785.63,9.38,24.2,0.0,False
64,788.72,3.0,17.45,0.0,False
65,808.91,6.11,29.3,0.0,False
66,852.42,10.63,3.82,0.0,False
67,865.97,3.35,3.52,0.0,False
68,883.79,10.86,0.21,0.0,False
69,889.84,3.54,12.01,0.0,False
70,904.61,2.73,0.58,0.0,False
71,916.18,6.25,15.07,0.0,False
72,921.31,6.49,4.62,0.0,False
73,923.87,5.09,1.41,0.0,False
74,936.18,9.27,7.53,0.0,False
75,937.43,6.22,4.73,0.0,False
76,1000.86,5.6,30.15,0.0,False
77,1004.43,1.97,21.83,0.0,False
78,1010.25,5.84,6.5,0.0,False
79,1019.89,8.39,1.53,0.0,False
80,1033.79,4.46,18.07,0.0,False
81,1035.26,7.59,3.11,0.0,False
82,1053.45,4.36,4.53,0.0,False
83,1088.61,8.95,1.57,0.0,False
84,1089.62,9.49,35.17,0.0,False
85,1105.19,4.76,17.28,0.0,False
86,1105.8,7.36,32.49,0.0,False
87,1113.88,7.68,30.99,0.0,False
88,1132.23,8.11,15.48,0.0,False
89,1142.94,3.59,3.85,0.0,False
90,1146.62,7.98,7.41,0.0,False
91,1163.5,7.32,25.75,0.0,False
92,1166.38,5.02,42.51,0.0,False
93,1199.02,1.74,7.76,0.0,False
94,1207.46,4.94,5.36,0.0,False
95,1216.37,4.65,9.33,0.0,False
96,1223.79,3.59,4.54,0.0,False
97,1225.82,6.16,16.34,0.0,False
98,1245.5,4.72,15.84,0.0,False
99,1258.5,3.76,9.0,0.0,False
100,1265.28,4.83,23.3,0.0,False
101,1280.69,3.5,10.11,0.0,False
102,1291.57,3.3,0.32,0.0,False
103,1293.83,3.56,1.45,0.0,False
104,1305.68,4.49,6.56,0.0,False
105,1324.77,4.79,30.06,0.0,False
106,1331.71,8.58,48.63,0.0,False
107,1345.74,11.19,10.0,0.0,False
108,1348.8,4.75,15.84,0.0,False
109,1376.83,3.3,42.23,0.0,False
110,1383.37,3.52,12.68,0.0,False
111,1392.49,2.63,4.38,0.0,False
112,1417.57,3.13,2.07,0.0,False
113,1429.85,8.67,189.94,0.0,False
114,1432.92,9.69,1.34,0.0,False
115,1441.43,8.56,265.72,0.0,False
116,1455.98,1.76,7.24,0.0,False
117,1457.17,2.05,3.05,0.0,False
118,1464.01,1.58,9.69,0.0,False
119,1467.11,2.04,8.05,0.0,False
120,1467.65,1.76,2.84,0.0,False
121,1486.36,2.91,43.39,0.0,False
122,1487.32,4.3,7.82,0.0,False
123,1492.7,1.86,0.51,0.0,False
124,1499.7,1.53,4.22,0.0,False
125,1502.34,1.62,2.65,0.0,False
126,1526.04,8.9,182.73,0.0,False
127,1542.69,2.21,124.03,0.0,False
128,1559.5,2.1,233.95,0.0,False
129,1576.04,11.51,2.41,0.0,False
130,1623.43,11.51,135.66,0.0,False
131,1652.93,11.48,436.22,0.0,False
132,1691.93,13.21,334.81,0.0,False
133,1708.03,13.05,231.93,0.0,False
134,1746.46,13.07,663.5,0.0,False
135,2848.36,1.72,45.24,0.0,False
136,2945.01,1.77,4.88,0.0,False
137,2957.03,1.75,17.35,0.0,False
138,2969.99,1.94,29.7,0.0,False
139,2975.3,1.93,25.9,0.0,False
140,2988.09,1.45,62.7,0.0,False
141,2988.3,1.52,13.27,0.0,False
142,2990.77,1.79,20.82,0.0,False
143,2997.36,1.7,22.87,0.0,False
144,3008.84,1.7,12.84,0.0,False
145,3019.73,1.77,8.77,0.0,False
146,3028.15,1.73,14.38,0.0,False
147,3037.07,1.9,45.23,0.0,False
148,3041.12,1.94,40.8,0.0,False
149,3045.1,1.32,28.18,0.0,False
150,3052.52,1.43,3.78,0.0,False
151,3054.85,1.81,2.62,0.0,False
152,3056.37,1.78,25.62,0.0,False
153,3061.98,1.97,7.31,0.0,False
154,3068.2,1.84,34.92,0.0,False
155,3070.78,1.87,60.97,0.0,False
156,3077.02,1.81,18.36,0.0,False
157,3107.43,1.84,12.97,0.0,False
158,3228.71,1.91,351.49,0.0,False
159,3328.61,1.87,474.54,0.0,False
160,3383.58,1.83,624.4,0.0,False
161,3390.21,1.67,134.65,0.0,False
162,3414.24,1.86,114.82,0.0,False
163,3494.53,2.0,19.99,0.0,False
164,3652.39,1.83,11.86,0.0,False
165,3669.4,1.84,3.47,0.0,False
