mode,frequency_cm-1,imaginary
1,7.99,False
2,13.22,False
3,18.09,False
4,28.65,False
5,31.3,False
6,36.41,False
7,47.37,False
8,52.87,False
9,53.32,False
10,57.99,False
11,64.92,False
12,66.53,False
13,72.83,False
14,80.03,False
15,85.26,False
16,96.27,False
17,103.3,False
18,114.0,False
19,124.12,False
20,126.32,False
21,146.73,False
22,160.2,False
23,167.15,False
24,179.68,False
25,192.17,False
26,195.53,False
27,198.81,False
28,213.41,False
29,234.92,False
30,242.49,False
31,262.3,False
32,283.76,False
33,288.7,False
34,291.47,False
35,301.09,False
36,325.64,False
37,340.04,False
38,352.27,False
39,373.51,False
40,381.91,False
41,384.18,False
42,402.26,False
43,413.41,False
44,417.2,False
45,442.31,False
46,444.3,False
47,475.32,False
48,487.01,False
49,516.48,False
50,533.1,False
51,576.97,False
52,601.8,False
53,614.17,False
54,643.42,False
55,669.84,False
56,673.15,False
57,692.31,False
58,722.86,False
59,727.83,False
60,730.19,False
61,751.78,False
62,772.34,False
63,791.64,False
64,809.01,False
65,814.15,False
66,865.31,False
67,868.9,False
68,883.12,False
69,893.33,False
70,908.32,False
71,920.63,False
72,922.29,False
73,928.59,False
74,939.53,False
75,975.64,False
76,992.46,False
77,996.58,False
78,1002.38,False
79,1009.0,False
80,1018.9,False
81,1035.78,False
82,1058.83,False
83,1071.84,False
84,1078.64,False
85,1090.18,False
86,1104.59,False
87,1109.23,False
88,1118.16,False
89,1131.15,False
90,1144.87,False
91,1160.09,False
92,1165.47,False
93,1196.79,False
94,1209.07,False
95,1218.67,False
96,1223.5,False
97,1223.79,False
98,1238.88,False
99,1252.24,False
100,1265.28,False
101,1282.49,False
102,1284.62,False
103,1288.08,False
104,1293.73,False
105,1315.26,False
106,1324.63,False
107,1345.06,False
108,1347.53,False
109,1374.11,False
110,1380.76,False
111,1392.88,False
112,1419.67,False
113,1423.64,False
114,1431.63,False
115,1433.64,False
116,1456.07,False
117,1462.87,False
118,1466.04,False
119,1474.38,False
120,1479.06,False
121,1484.47,False
122,1485.56,False
123,1494.56,False
124,1501.46,False
125,1504.52,False
126,1517.29,False
127,1541.2,False
128,1550.96,False
129,1577.48,False
130,1617.19,False
131,1641.82,False
132,1694.65,False
133,1709.97,False
134,1757.78,False
135,2787.9,False
136,2913.65,False
137,2958.52,False
138,2969.64,False
139,2969.98,False
140,2984.81,False
141,2989.44,False
142,2991.23,False
143,3000.27,False
144,3004.3,False
145,3021.92,False
146,3031.27,False
147,3031.75,False
148,3032.1,False
149,3038.8,False
150,3049.0,False
151,3057.6,False
152,3059.24,False
153,3064.23,False
154,3067.23,False
155,3073.7,False
156,3081.56,False
157,3097.05,False
158,3224.58,False
159,3296.4,False
160,3316.08,False
161,3380.1,False
162,3451.64,False
163,3469.14,False
164,3655.03,False
165,3664.82,False
