mode,frequency_cm-1,imaginary
1,-14.47,True
2,20.25,False
3,22.37,False
4,31.01,False
5,36.1,False
6,41.13,False
7,47.72,False
8,51.76,False
9,58.37,False
10,68.52,False
11,70.35,False
12,76.54,False
13,80.95,False
14,84.57,False
15,99.37,False
16,108.32,False
17,126.13,False
18,127.7,False
19,131.36,False
20,142.46,False
21,144.68,False
22,151.99,False
23,163.4,False
24,173.44,False
25,175.42,False
26,183.55,False
27,189.46,False
28,219.56,False
29,224.61,False
30,232.77,False
31,247.99,False
32,255.17,False
33,273.53,False
34,291.36,False
35,293.82,False
36,310.47,False
37,337.65,False
38,358.59,False
39,382.19,False
40,386.01,False
41,394.76,False
42,406.43,False
43,422.59,False
44,429.06,False
45,433.46,False
46,447.92,False
47,455.45,False
48,472.53,False
49,492.38,False
50,509.08,False
51,516.33,False
52,557.16,False
53,561.37,False
54,576.07,False
55,588.54,False
56,598.68,False
57,607.32,False
58,639.75,False
59,660.85,False
60,684.0,False
61,703.21,False
62,727.55,False
63,772.75,False
64,783.17,False
65,797.06,False
66,820.23,False
67,866.17,False
68,873.62,False
69,883.62,False
70,892.28,False
71,900.31,False
72,918.93,False
73,923.87,False
74,930.06,False
75,938.47,False
76,979.32,False
77,999.52,False
78,1010.17,False
79,1014.25,False
80,1025.39,False
81,1036.24,False
82,1041.61,False
83,1075.18,False
84,1088.67,False
85,1105.18,False
86,1107.94,False
87,1115.72,False
88,1129.91,False
89,1142.57,False
90,1144.27,False
91,1161.3,False
92,1163.91,False
93,1192.48,False
94,1207.47,False
95,1209.32,False
96,1214.87,False
97,1219.06,False
98,1235.25,False
99,1244.58,False
100,1259.64,False
101,1267.59,False
102,1274.15,False
103,1281.98,False
104,1292.8,False
105,1298.12,False
106,1315.05,False
107,1326.3,False
108,1346.01,False
109,1365.48,False
110,1378.57,False
111,1393.64,False
112,1411.15,False
113,1416.63,False
114,1424.54,False
115,1434.05,False
116,1450.4,False
117,1462.69,False
118,1463.48,False
119,1464.85,False
120,1477.04,False
121,1481.85,False
122,1484.2,False
123,1493.93,False
124,1502.02,False
125,1505.43,False
126,1531.0,False
127,1560.97,False
128,1568.15,False
129,1571.88,False
130,1593.64,False
131,1634.29,False
132,1666.76,False
133,1692.87,False
134,1760.11,False
135,2914.17,False
136,2934.53,False
137,2956.82,False
138,2970.23,False
139,2978.83,False
140,2988.39,False
141,2988.64,False
142,2990.57,False
143,3000.12,False
144,3001.21,False
145,3012.56,False
146,3021.39,False
147,3026.38,False
148,3031.01,False
149,3031.23,False
150,3033.76,False
151,3039.0,False
152,3057.79,False
153,3065.34,False
154,3077.32,False
155,3091.7,False
156,3092.8,False
157,3097.57,False
158,3282.72,False
159,3348.59,False
160,3460.44,False
161,3475.25,False
162,3502.6,False
163,3527.74,False
164,3558.25,False
165,3594.67,False
