atom_index,atomic_number,element,covCN,charge,C6AA,alpha
1,7,N,1.833,-0.245,27.25,7.736
2,6,C,2.93,0.08,26.225,8.398
3,6,C,2.919,-0.042,29.032,8.836
4,6,C,2.924,-0.035,28.866,8.811
5,6,C,2.972,0.005,27.898,8.664
6,6,C,2.923,-0.042,29.052,8.839
7,6,C,2.923,-0.065,29.619,8.925
8,6,C,3.811,-0.068,21.797,6.645
9,6,C,3.8,0.019,20.264,6.409
10,6,C,2.855,0.076,26.292,8.404
11,6,C,2.894,-0.067,29.658,8.929
12,6,C,2.897,-0.013,28.345,8.729
13,6,C,3.808,-0.068,21.794,6.645
14,6,C,3.802,-0.048,21.435,6.592
15,6,C,3.752,-0.105,22.567,6.774
16,8,O,1.609,-0.609,25.394,6.801
17,8,O,1.61,-0.59,24.944,6.741
18,1,H,0.803,0.297,0.731,1.343
19,1,H,0.805,0.295,0.737,1.348
20,1,H,0.926,0.037,2.487,2.466
21,1,H,0.926,0.036,2.498,2.472
22,1,H,0.926,0.028,2.618,2.53
23,1,H,0.926,0.054,2.267,2.354
24,1,H,0.924,0.056,2.242,2.342
25,1,H,0.924,0.062,2.177,2.307
26,1,H,0.924,0.07,2.087,2.259
27,1,H,0.86,0.18,1.212,1.724
28,1,H,0.86,0.201,1.1,1.643
29,1,H,0.925,0.036,2.5,2.473
30,1,H,0.926,0.084,1.942,2.179
31,1,H,0.925,0.036,2.505,2.475
32,1,H,0.924,0.049,2.334,2.389
33,1,H,0.924,0.071,2.072,2.251
34,1,H,0.924,0.035,2.511,2.478
35,1,H,0.924,0.029,2.599,2.521
36,1,H,0.925,0.035,2.517,2.481
37,1,H,0.925,0.034,2.528,2.486
38,1,H,0.925,0.043,2.403,2.424
39,1,H,0.805,0.295,0.735,1.347
40,1,H,0.805,0.297,0.729,1.341
41,8,O,1.608,-0.597,25.121,6.765
42,1,H,0.805,0.291,0.749,1.36
43,1,H,0.804,0.273,0.809,1.413
44,7,N,2.692,-0.178,24.857,7.405
45,6,C,2.753,0.263,22.557,7.777
46,8,O,0.858,-0.433,22.357,6.339
47,6,C,3.757,-0.155,23.544,6.918
48,6,C,2.75,0.279,22.279,7.729
49,8,O,0.859,-0.477,23.282,6.469
50,1,H,0.925,0.072,2.063,2.246
51,1,H,0.924,0.099,1.795,2.095
52,1,H,0.925,0.049,2.329,2.386
53,7,N,2.687,-0.175,24.779,7.393
54,6,C,3.69,-0.043,21.538,6.642
55,1,H,0.924,0.053,2.283,2.363
56,1,H,0.924,0.05,2.319,2.381
57,1,H,0.925,0.083,1.947,2.182
