mode,frequency_cm-1,imaginary
1,-9.32,True
2,11.36,False
3,17.25,False
4,21.42,False
5,26.07,False
6,31.34,False
7,38.08,False
8,43.53,False
9,51.38,False
10,58.91,False
11,67.03,False
12,72.2,False
13,79.17,False
14,85.23,False
15,90.37,False
16,95.49,False
17,111.18,False
18,125.14,False
19,131.14,False
20,149.22,False
21,159.53,False
22,169.29,False
23,173.68,False
24,184.6,False
25,194.13,False
26,211.82,False
27,227.22,False
28,231.61,False
29,237.26,False
30,270.11,False
31,285.11,False
32,291.48,False
33,295.13,False
34,305.08,False
35,306.42,False
36,321.16,False
37,359.34,False
38,367.81,False
39,379.85,False
40,391.1,False
41,410.25,False
42,416.41,False
43,439.56,False
44,448.98,False
45,468.62,False
46,490.47,False
47,498.06,False
48,524.6,False
49,534.78,False
50,564.76,False
51,578.94,False
52,592.87,False
53,603.07,False
54,623.66,False
55,648.25,False
56,672.17,False
57,680.78,False
58,695.1,False
59,726.59,False
60,758.34,False
61,772.07,False
62,781.63,False
63,803.47,False
64,805.7,False
65,860.62,False
66,863.57,False
67,871.01,False
68,892.28,False
69,907.44,False
70,922.23,False
71,932.38,False
72,938.33,False
73,945.59,False
74,975.55,False
75,992.73,False
76,1004.6,False
77,1010.37,False
78,1013.57,False
79,1036.34,False
80,1044.76,False
81,1078.08,False
82,1080.25,False
83,1090.25,False
84,1104.87,False
85,1114.57,False
86,1120.11,False
87,1125.34,False
88,1132.08,False
89,1146.92,False
90,1149.4,False
91,1165.8,False
92,1201.32,False
93,1211.83,False
94,1215.04,False
95,1221.07,False
96,1222.63,False
97,1234.36,False
98,1251.79,False
99,1254.26,False
100,1266.18,False
101,1270.74,False
102,1283.11,False
103,1285.24,False
104,1295.13,False
105,1300.24,False
106,1310.63,False
107,1327.14,False
108,1342.65,False
109,1346.69,False
110,1359.55,False
111,1371.77,False
112,1381.94,False
113,1392.83,False
114,1416.48,False
115,1421.52,False
116,1435.22,False
117,1437.84,False
118,1457.39,False
119,1463.02,False
120,1467.89,False
121,1476.08,False
122,1477.65,False
123,1485.01,False
124,1496.17,False
125,1503.02,False
126,1505.88,False
127,1508.13,False
128,1527.39,False
129,1549.56,False
130,1576.92,False
131,1616.59,False
132,1717.96,False
133,1733.84,False
134,1758.64,False
135,2784.61,False
136,2913.22,False
137,2947.84,False
138,2969.51,False
139,2971.07,False
140,2982.24,False
141,2987.54,False
142,2988.55,False
143,2990.17,False
144,2998.8,False
145,3024.63,False
146,3030.86,False
147,3031.18,False
148,3031.55,False
149,3034.07,False
150,3038.98,False
151,3053.33,False
152,3055.06,False
153,3067.27,False
154,3068.34,False
155,3078.26,False
156,3084.19,False
157,3138.56,False
158,3151.56,False
159,3311.98,False
160,3374.37,False
161,3446.47,False
162,3451.21,False
163,3457.33,False
164,3641.51,False
165,3660.94,False
