mode,frequency_cm-1,imaginary
1,9.69,False
2,13.6,False
3,18.72,False
4,21.91,False
5,24.54,False
6,29.37,False
7,33.34,False
8,39.39,False
9,43.34,False
10,51.33,False
11,55.08,False
12,60.78,False
13,67.71,False
14,67.94,False
15,82.54,False
16,87.71,False
17,88.84,False
18,98.82,False
19,119.47,False
20,125.2,False
21,151.77,False
22,159.52,False
23,165.81,False
24,170.01,False
25,177.1,False
26,188.54,False
27,197.92,False
28,206.77,False
29,210.21,False
30,233.02,False
31,240.43,False
32,250.92,False
33,255.47,False
34,276.99,False
35,292.1,False
36,292.63,False
37,313.68,False
38,331.91,False
39,352.52,False
40,356.13,False
41,377.81,False
42,390.6,False
43,405.13,False
44,416.31,False
45,419.01,False
46,439.12,False
47,439.58,False
48,465.5,False
49,507.76,False
50,515.42,False
51,553.15,False
52,578.96,False
53,600.66,False
54,610.03,False
55,623.77,False
56,645.83,False
57,659.54,False
58,689.0,False
59,698.12,False
60,707.13,False
61,726.96,False
62,733.33,False
63,771.03,False
64,779.23,False
65,789.5,False
66,819.57,False
67,866.43,False
68,875.69,False
69,875.95,False
70,894.05,False
71,901.37,False
72,915.44,False
73,927.62,False
74,934.72,False
75,937.06,False
76,975.1,False
77,992.42,False
78,1003.93,False
79,1008.16,False
80,1015.75,False
81,1036.71,False
82,1038.0,False
83,1077.63,False
84,1089.34,False
85,1104.73,False
86,1108.9,False
87,1118.83,False
88,1130.68,False
89,1139.08,False
90,1139.51,False
91,1160.55,False
92,1164.76,False
93,1189.19,False
94,1208.71,False
95,1210.64,False
96,1212.27,False
97,1221.68,False
98,1232.21,False
99,1246.07,False
100,1258.85,False
101,1264.9,False
102,1273.26,False
103,1282.21,False
104,1286.24,False
105,1294.52,False
106,1313.17,False
107,1328.85,False
108,1347.46,False
109,1364.77,False
110,1372.78,False
111,1392.89,False
112,1413.5,False
113,1416.6,False
114,1421.55,False
115,1434.74,False
116,1457.65,False
117,1462.7,False
118,1467.84,False
119,1468.55,False
120,1477.94,False
121,1483.43,False
122,1484.64,False
123,1494.93,False
124,1502.35,False
125,1504.69,False
126,1532.9,False
127,1545.12,False
128,1564.87,False
129,1567.65,False
130,1598.8,False
131,1650.22,False
132,1679.74,False
133,1718.13,False
134,1758.84,False
135,2914.48,False
136,2945.07,False
137,2970.61,False
138,2971.23,False
139,2982.94,False
140,2989.31,False
141,2990.46,False
142,2990.9,False
143,3001.13,False
144,3021.96,False
145,3025.9,False
146,3029.17,False
147,3031.5,False
148,3033.27,False
149,3035.45,False
150,3040.45,False
151,3053.99,False
152,3056.43,False
153,3067.34,False
154,3067.54,False
155,3076.6,False
156,3085.59,False
157,3095.51,False
158,3111.19,False
159,3263.66,False
160,3315.43,False
161,3397.11,False
162,3456.47,False
163,3647.63,False
164,3661.71,False
165,3664.42,False
