mode,frequency_cm-1,imaginary
1,17.53,False
2,24.01,False
3,29.53,False
4,40.33,False
5,42.53,False
6,45.31,False
7,49.18,False
8,56.7,False
9,61.55,False
10,67.63,False
11,69.8,False
12,74.33,False
13,84.07,False
14,88.55,False
15,93.29,False
16,97.35,False
17,102.08,False
18,108.66,False
19,110.38,False
20,117.48,False
21,126.91,False
22,135.06,False
23,137.55,False
24,143.88,False
25,147.03,False
26,152.01,False
27,154.5,False
28,182.79,False
29,184.42,False
30,195.99,False
31,205.74,False
32,208.44,False
33,232.08,False
34,235.79,False
35,238.45,False
36,250.55,False
37,254.45,False
38,286.98,False
39,294.84,False
40,301.29,False
41,301.45,False
42,327.45,False
43,352.56,False
44,361.92,False
45,374.81,False
46,390.32,False
47,398.06,False
48,409.03,False
49,412.89,False
50,417.72,False
51,441.43,False
52,463.32,False
53,469.78,False
54,479.24,False
55,489.26,False
56,499.26,False
57,505.75,False
58,513.16,False
59,516.93,False
60,534.9,False
61,548.25,False
62,564.34,False
63,580.65,False
64,592.09,False
65,594.67,False
66,612.79,False
67,613.43,False
68,647.53,False
69,652.55,False
70,654.49,False
71,665.41,False
72,691.87,False
73,707.5,False
74,716.66,False
75,720.91,False
76,750.15,False
77,768.67,False
78,771.87,False
79,774.01,False
80,789.55,False
81,795.91,False
82,828.8,False
83,862.85,False
84,864.18,False
85,865.53,False
86,866.47,False
87,870.42,False
88,893.92,False
89,896.29,False
90,897.45,False
91,918.42,False
92,919.98,False
93,923.23,False
94,932.86,False
95,936.65,False
96,939.91,False
97,968.17,False
98,984.7,False
99,994.54,False
100,995.27,False
101,1004.94,False
102,1007.45,False
103,1012.41,False
104,1017.98,False
105,1020.44,False
106,1021.11,False
107,1036.03,False
108,1048.55,False
109,1064.54,False
110,1066.55,False
111,1092.18,False
112,1093.47,False
113,1107.21,False
114,1115.68,False
115,1116.26,False
116,1133.7,False
117,1134.28,False
118,1140.29,False
119,1140.92,False
120,1145.63,False
121,1170.83,False
122,1173.08,False
123,1178.2,False
124,1194.79,False
125,1197.87,False
126,1200.62,False
127,1209.09,False
128,1213.5,False
129,1223.24,False
130,1232.36,False
131,1235.88,False
132,1246.63,False
133,1257.3,False
134,1266.35,False
135,1274.38,False
136,1282.61,False
137,1293.47,False
138,1294.17,False
139,1301.29,False
140,1310.53,False
141,1312.72,False
142,1327.37,False
143,1335.87,False
144,1357.15,False
145,1360.61,False
146,1365.17,False
147,1377.7,False
148,1379.47,False
149,1394.05,False
150,1401.6,False
151,1410.89,False
152,1414.77,False
153,1429.03,False
154,1436.56,False
155,1438.53,False
156,1448.16,False
157,1449.67,False
158,1460.77,False
159,1467.86,False
160,1468.86,False
161,1469.43,False
162,1472.22,False
163,1480.15,False
164,1480.37,False
165,1490.21,False
