mode,frequency_cm-1,imaginary
1,20.62,False
2,26.07,False
3,35.96,False
4,38.86,False
5,42.78,False
6,44.44,False
7,54.74,False
8,55.99,False
9,57.64,False
10,60.77,False
11,67.82,False
12,71.24,False
13,76.81,False
14,79.8,False
15,88.96,False
16,90.93,False
17,96.7,False
18,108.37,False
19,113.9,False
20,117.57,False
21,125.01,False
22,127.42,False
23,132.07,False
24,138.17,False
25,149.21,False
26,151.86,False
27,156.99,False
28,161.48,False
29,174.52,False
30,184.07,False
31,187.79,False
32,189.11,False
33,218.53,False
34,225.12,False
35,240.64,False
36,248.56,False
37,253.8,False
38,271.24,False
39,280.45,False
40,288.27,False
41,289.5,False
42,306.47,False
43,311.91,False
44,324.33,False
45,328.4,False
46,339.68,False
47,361.41,False
48,375.99,False
49,383.64,False
50,398.37,False
51,418.87,False
52,423.82,False
53,427.43,False
54,431.08,False
55,455.98,False
56,467.75,False
57,484.84,False
58,503.24,False
59,505.21,False
60,515.8,False
61,530.57,False
62,540.85,False
63,545.53,False
64,547.33,False
65,578.02,False
66,585.16,False
67,594.83,False
68,599.95,False
69,609.23,False
70,632.17,False
71,633.85,False
72,646.96,False
73,655.07,False
74,680.18,False
75,693.57,False
76,707.76,False
77,721.74,False
78,772.25,False
79,772.94,False
80,785.07,False
81,814.89,False
82,853.69,False
83,856.38,False
84,861.23,False
85,866.02,False
86,866.98,False
87,871.7,False
88,891.79,False
89,894.76,False
90,900.79,False
91,913.12,False
92,918.23,False
93,921.89,False
94,924.12,False
95,925.91,False
96,932.06,False
97,946.41,False
98,972.86,False
99,978.42,False
100,997.36,False
101,1001.26,False
102,1003.77,False
103,1018.37,False
104,1025.33,False
105,1048.69,False
106,1066.3,False
107,1073.82,False
108,1074.47,False
109,1086.36,False
110,1100.2,False
111,1105.34,False
112,1107.4,False
113,1109.13,False
114,1114.96,False
115,1126.23,False
116,1127.04,False
117,1133.19,False
118,1142.39,False
119,1147.78,False
120,1156.65,False
121,1163.72,False
122,1177.31,False
123,1187.13,False
124,1190.65,False
125,1191.82,False
126,1192.15,False
127,1204.67,False
128,1208.87,False
129,1210.45,False
130,1213.02,False
131,1226.68,False
132,1231.63,False
133,1252.64,False
134,1254.0,False
135,1258.29,False
136,1266.63,False
137,1273.59,False
138,1277.1,False
139,1279.97,False
140,1287.31,False
141,1297.68,False
142,1305.76,False
143,1321.54,False
144,1330.28,False
145,1340.85,False
146,1363.52,False
147,1370.7,False
148,1380.82,False
149,1382.51,False
150,1393.42,False
151,1403.3,False
152,1406.57,False
153,1412.97,False
154,1415.96,False
155,1426.81,False
156,1451.63,False
157,1462.53,False
158,1466.43,False
159,1468.41,False
160,1475.61,False
161,1477.93,False
162,1478.25,False
163,1482.89,False
164,1483.03,False
165,1486.18,False
