atom_index,atomic_number,element,covCN,charge,C6AA,alpha
1,7,N,1.831,-0.258,27.559,7.779
2,6,C,2.937,0.076,26.297,8.41
3,6,C,2.921,-0.048,29.191,8.86
4,6,C,2.925,-0.035,28.879,8.813
5,6,C,2.976,0.007,27.863,8.659
6,6,C,2.926,-0.04,28.983,8.829
7,6,C,2.922,-0.051,29.255,8.87
8,6,C,3.811,-0.066,21.763,6.64
9,6,C,3.802,0.018,20.275,6.411
10,6,C,2.85,0.087,26.068,8.368
11,6,C,3.987,-0.05,21.401,6.572
12,6,C,4.001,-0.018,20.823,6.483
13,6,C,3.804,-0.061,21.676,6.628
14,6,C,3.801,-0.058,21.613,6.619
15,6,C,3.752,-0.102,22.499,6.764
16,8,O,1.609,-0.596,25.101,6.762
17,7,N,2.718,-0.204,25.425,7.489
18,6,C,2.984,0.068,26.473,8.44
19,6,C,3.02,-0.022,28.522,8.76
20,6,C,4.027,-0.034,21.096,6.525
21,6,C,2.914,-0.065,29.617,8.924
22,6,C,2.915,-0.041,29.01,8.832
23,6,C,4.043,0.084,19.11,6.21
24,6,C,2.923,-0.035,28.872,8.812
25,6,C,2.921,-0.051,29.255,8.87
26,6,C,3.754,-0.115,22.755,6.802
27,8,O,1.61,-0.579,24.69,6.706
28,1,H,0.804,0.309,0.695,1.31
29,1,H,0.804,0.311,0.69,1.305
30,1,H,0.926,0.042,2.426,2.436
31,1,H,0.926,0.033,2.549,2.497
32,1,H,0.926,0.028,2.609,2.526
33,1,H,0.926,0.06,2.203,2.321
34,1,H,0.924,0.05,2.315,2.38
35,1,H,0.925,0.06,2.199,2.319
36,1,H,0.924,0.078,2.0,2.212
37,1,H,0.86,0.171,1.269,1.765
38,1,H,0.86,0.175,1.244,1.747
39,1,H,0.925,0.038,2.476,2.461
40,1,H,0.924,0.063,2.163,2.3
41,1,H,0.924,0.029,2.607,2.525
42,1,H,0.924,0.033,2.548,2.496
43,1,H,0.924,0.043,2.413,2.429
44,1,H,0.924,0.054,2.276,2.359
45,1,H,0.924,0.024,2.67,2.555
46,1,H,0.925,0.031,2.577,2.511
47,1,H,0.925,0.03,2.58,2.512
48,1,H,0.925,0.035,2.515,2.48
49,1,H,0.86,0.176,1.234,1.74
50,1,H,0.925,0.036,2.506,2.476
51,1,H,0.926,0.028,2.621,2.532
52,1,H,0.926,0.022,2.699,2.569
53,1,H,0.926,0.023,2.687,2.563
54,1,H,0.926,0.021,2.723,2.58
55,1,H,0.925,0.054,2.274,2.358
56,1,H,0.925,0.049,2.329,2.387
57,1,H,0.925,0.047,2.352,2.398
