mode,frequency_cm-1,imaginary
1,10.49,False
2,18.31,False
3,25.27,False
4,25.74,False
5,34.76,False
6,40.03,False
7,52.67,False
8,54.06,False
9,59.93,False
10,62.59,False
11,63.4,False
12,70.58,False
13,77.39,False
14,80.53,False
15,84.16,False
16,96.93,False
17,104.19,False
18,109.21,False
19,119.12,False
20,125.65,False
21,129.58,False
22,138.85,False
23,146.94,False
24,158.45,False
25,171.67,False
26,176.3,False
27,195.32,False
28,200.77,False
29,233.74,False
30,239.01,False
31,252.35,False
32,261.42,False
33,290.34,False
34,293.92,False
35,300.79,False
36,324.15,False
37,346.13,False
38,354.15,False
39,371.5,False
40,377.98,False
41,386.47,False
42,393.75,False
43,407.41,False
44,415.63,False
45,446.49,False
46,450.6,False
47,476.25,False
48,490.77,False
49,518.58,False
50,532.24,False
51,562.19,False
52,578.51,False
53,601.68,False
54,612.0,False
55,614.26,False
56,641.35,False
57,672.33,False
58,690.47,False
59,719.71,False
60,728.28,False
61,762.59,False
62,771.88,False
63,792.09,False
64,805.04,False
65,809.76,False
66,863.15,False
67,871.28,False
68,882.37,False
69,893.5,False
70,906.99,False
71,921.04,False
72,923.35,False
73,929.25,False
74,939.27,False
75,976.33,False
76,992.02,False
77,995.65,False
78,1001.92,False
79,1009.95,False
80,1017.43,False
81,1019.99,False
82,1037.7,False
83,1073.51,False
84,1078.23,False
85,1089.74,False
86,1104.72,False
87,1109.06,False
88,1117.99,False
89,1130.27,False
90,1144.05,False
91,1157.19,False
92,1164.26,False
93,1195.96,False
94,1208.71,False
95,1219.37,False
96,1220.4,False
97,1222.44,False
98,1241.16,False
99,1253.48,False
100,1266.13,False
101,1280.86,False
102,1284.38,False
103,1285.9,False
104,1295.64,False
105,1313.3,False
106,1320.91,False
107,1342.97,False
108,1347.59,False
109,1374.51,False
110,1382.97,False
111,1393.11,False
112,1419.9,False
113,1424.06,False
114,1428.75,False
115,1433.86,False
116,1455.74,False
117,1462.5,False
118,1465.35,False
119,1475.88,False
120,1477.76,False
121,1484.31,False
122,1485.63,False
123,1495.56,False
124,1500.81,False
125,1504.48,False
126,1515.65,False
127,1549.18,False
128,1561.22,False
129,1577.5,False
130,1615.15,False
131,1636.35,False
132,1677.37,False
133,1710.08,False
134,1759.44,False
135,2810.25,False
136,2916.75,False
137,2958.81,False
138,2969.6,False
139,2971.3,False
140,2983.7,False
141,2990.29,False
142,2990.61,False
143,3000.83,False
144,3002.77,False
145,3022.03,False
146,3032.64,False
147,3032.77,False
148,3033.13,False
149,3038.7,False
150,3054.55,False
151,3057.81,False
152,3059.34,False
153,3064.82,False
154,3075.3,False
155,3079.58,False
156,3081.91,False
157,3088.99,False
158,3329.5,False
159,3371.12,False
160,3407.31,False
161,3444.21,False
162,3455.63,False
163,3535.41,False
164,3593.26,False
165,3664.51,False
