mode,frequency_cm-1,imaginary
1,12.72,False
2,18.04,False
3,27.4,False
4,29.37,False
5,33.39,False
6,38.76,False
7,47.35,False
8,54.44,False
9,59.55,False
10,61.6,False
11,72.62,False
12,75.7,False
13,80.42,False
14,84.5,False
15,89.87,False
16,99.51,False
17,107.83,False
18,116.98,False
19,125.63,False
20,129.85,False
21,139.95,False
22,156.03,False
23,156.76,False
24,171.12,False
25,182.66,False
26,193.53,False
27,204.81,False
28,211.58,False
29,228.97,False
30,239.93,False
31,261.79,False
32,289.23,False
33,290.46,False
34,295.72,False
35,301.16,False
36,330.86,False
37,350.16,False
38,355.32,False
39,382.73,False
40,386.3,False
41,393.44,False
42,406.52,False
43,415.74,False
44,436.87,False
45,445.05,False
46,449.27,False
47,476.28,False
48,488.72,False
49,531.03,False
50,566.56,False
51,577.61,False
52,601.88,False
53,613.65,False
54,626.55,False
55,643.1,False
56,669.84,False
57,674.01,False
58,692.26,False
59,725.33,False
60,728.58,False
61,755.2,False
62,779.37,False
63,791.65,False
64,809.82,False
65,844.26,False
66,865.4,False
67,870.17,False
68,883.45,False
69,892.65,False
70,908.79,False
71,921.86,False
72,923.1,False
73,927.89,False
74,940.71,False
75,975.29,False
76,992.14,False
77,997.1,False
78,1002.54,False
79,1010.05,False
80,1019.07,False
81,1034.53,False
82,1051.35,False
83,1073.61,False
84,1077.41,False
85,1089.72,False
86,1104.64,False
87,1110.56,False
88,1116.83,False
89,1130.58,False
90,1144.87,False
91,1160.36,False
92,1164.45,False
93,1196.47,False
94,1209.14,False
95,1219.47,False
96,1222.49,False
97,1223.15,False
98,1238.81,False
99,1251.8,False
100,1265.6,False
101,1281.47,False
102,1284.83,False
103,1287.38,False
104,1296.11,False
105,1312.45,False
106,1322.24,False
107,1343.14,False
108,1348.69,False
109,1374.09,False
110,1381.2,False
111,1393.07,False
112,1418.88,False
113,1423.78,False
114,1430.17,False
115,1433.8,False
116,1457.27,False
117,1462.65,False
118,1466.23,False
119,1472.21,False
120,1478.47,False
121,1480.36,False
122,1484.39,False
123,1493.8,False
124,1501.4,False
125,1504.71,False
126,1514.04,False
127,1547.88,False
128,1551.3,False
129,1577.43,False
130,1615.29,False
131,1635.87,False
132,1677.83,False
133,1711.26,False
134,1758.92,False
135,2805.22,False
136,2913.54,False
137,2954.95,False
138,2969.89,False
139,2970.23,False
140,2985.86,False
141,2991.17,False
142,2991.96,False
143,3003.44,False
144,3008.86,False
145,3022.56,False
146,3030.1,False
147,3030.17,False
148,3032.32,False
149,3039.44,False
150,3051.43,False
151,3055.06,False
152,3056.6,False
153,3064.9,False
154,3070.57,False
155,3074.86,False
156,3081.93,False
157,3095.59,False
158,3219.05,False
159,3320.99,False
160,3323.18,False
161,3454.54,False
162,3460.44,False
163,3467.23,False
164,3569.58,False
165,3667.05,False
