mode,frequency_cm-1,imaginary
1,12.66,False
2,18.12,False
3,27.24,False
4,29.4,False
5,33.58,False
6,39.13,False
7,48.39,False
8,54.86,False
9,59.87,False
10,61.9,False
11,71.52,False
12,76.49,False
13,80.16,False
14,83.78,False
15,88.66,False
16,99.24,False
17,109.15,False
18,117.6,False
19,125.36,False
20,129.74,False
21,140.14,False
22,156.64,False
23,157.65,False
24,171.35,False
25,182.87,False
26,193.8,False
27,205.46,False
28,212.17,False
29,230.25,False
30,240.17,False
31,262.03,False
32,289.77,False
33,291.01,False
34,296.61,False
35,301.98,False
36,330.26,False
37,349.52,False
38,355.81,False
39,382.54,False
40,386.53,False
41,393.61,False
42,406.86,False
43,416.48,False
44,435.8,False
45,443.99,False
46,450.17,False
47,477.19,False
48,488.59,False
49,531.78,False
50,567.8,False
51,577.26,False
52,602.23,False
53,613.7,False
54,629.65,False
55,643.11,False
56,673.28,False
57,675.59,False
58,692.98,False
59,725.82,False
60,728.09,False
61,756.92,False
62,779.3,False
63,791.69,False
64,809.73,False
65,843.45,False
66,864.86,False
67,869.84,False
68,883.42,False
69,893.09,False
70,908.76,False
71,922.11,False
72,923.32,False
73,928.88,False
74,940.25,False
75,975.75,False
76,992.17,False
77,997.0,False
78,1002.35,False
79,1009.93,False
80,1018.92,False
81,1033.94,False
82,1048.83,False
83,1073.73,False
84,1077.27,False
85,1089.64,False
86,1104.64,False
87,1110.03,False
88,1117.13,False
89,1130.53,False
90,1144.58,False
91,1160.22,False
92,1164.11,False
93,1196.36,False
94,1209.24,False
95,1219.68,False
96,1222.54,False
97,1222.73,False
98,1239.23,False
99,1252.18,False
100,1265.74,False
101,1281.76,False
102,1284.98,False
103,1287.12,False
104,1295.62,False
105,1312.24,False
106,1322.53,False
107,1342.67,False
108,1348.04,False
109,1374.33,False
110,1381.92,False
111,1393.05,False
112,1418.99,False
113,1423.91,False
114,1430.05,False
115,1433.85,False
116,1456.95,False
117,1462.62,False
118,1466.13,False
119,1473.12,False
120,1478.57,False
121,1481.69,False
122,1484.4,False
123,1493.95,False
124,1501.27,False
125,1504.52,False
126,1514.3,False
127,1548.35,False
128,1551.47,False
129,1577.09,False
130,1615.16,False
131,1636.21,False
132,1677.84,False
133,1710.07,False
134,1759.22,False
135,2804.16,False
136,2914.11,False
137,2956.48,False
138,2969.99,False
139,2970.46,False
140,2985.55,False
141,2991.21,False
142,2991.81,False
143,3003.09,False
144,3008.16,False
145,3021.53,False
146,3030.79,False
147,3031.93,False
148,3032.55,False
149,3039.68,False
150,3051.46,False
151,3055.47,False
152,3057.01,False
153,3063.74,False
154,3070.68,False
155,3075.36,False
156,3082.57,False
157,3095.14,False
158,3220.42,False
159,3314.15,False
160,3321.35,False
161,3453.27,False
162,3455.93,False
163,3465.91,False
164,3575.19,False
165,3667.07,False
