mode,frequency_cm-1,imaginary
1,24.7,False
2,27.41,False
3,35.02,False
4,38.61,False
5,41.13,False
6,48.07,False
7,51.53,False
8,54.08,False
9,62.48,False
10,64.63,False
11,67.96,False
12,70.19,False
13,72.0,False
14,85.28,False
15,88.83,False
16,98.2,False
17,109.08,False
18,122.59,False
19,124.64,False
20,125.8,False
21,141.42,False
22,143.86,False
23,151.52,False
24,165.35,False
25,166.76,False
26,172.35,False
27,187.2,False
28,188.84,False
29,194.69,False
30,221.7,False
31,236.9,False
32,237.35,False
33,239.53,False
34,251.63,False
35,270.22,False
36,286.6,False
37,288.69,False
38,291.77,False
39,304.56,False
40,311.31,False
41,322.4,False
42,347.91,False
43,360.83,False
44,379.57,False
45,385.21,False
46,397.39,False
47,411.17,False
48,415.35,False
49,422.22,False
50,443.69,False
51,445.95,False
52,452.05,False
53,463.25,False
54,471.15,False
55,481.5,False
56,489.07,False
57,495.69,False
58,526.74,False
59,531.51,False
60,542.61,False
61,552.85,False
62,580.17,False
63,594.46,False
64,601.99,False
65,613.58,False
66,625.26,False
67,630.53,False
68,639.96,False
69,646.21,False
70,656.76,False
71,688.69,False
72,696.05,False
73,704.15,False
74,724.86,False
75,752.45,False
76,762.88,False
77,774.44,False
78,787.37,False
79,812.13,False
80,815.62,False
81,859.63,False
82,864.67,False
83,869.51,False
84,870.68,False
85,871.84,False
86,879.66,False
87,893.31,False
88,902.67,False
89,912.18,False
90,921.38,False
91,924.51,False
92,926.92,False
93,934.52,False
94,953.04,False
95,978.22,False
96,991.27,False
97,993.73,False
98,997.55,False
99,1005.42,False
100,1006.24,False
101,1021.64,False
102,1028.62,False
103,1032.14,False
104,1037.84,False
105,1068.75,False
106,1082.09,False
107,1086.32,False
108,1095.89,False
109,1104.86,False
110,1110.9,False
111,1117.6,False
112,1121.72,False
113,1126.15,False
114,1130.88,False
115,1140.27,False
116,1142.37,False
117,1164.39,False
118,1164.85,False
119,1168.86,False
120,1177.54,False
121,1195.23,False
122,1202.09,False
123,1211.37,False
124,1214.55,False
125,1217.63,False
126,1226.02,False
127,1229.66,False
128,1238.37,False
129,1255.19,False
130,1258.89,False
131,1266.92,False
132,1274.22,False
133,1277.82,False
134,1282.53,False
135,1288.96,False
136,1296.94,False
137,1309.86,False
138,1317.07,False
139,1319.96,False
140,1325.87,False
141,1331.11,False
142,1344.23,False
143,1344.74,False
144,1367.09,False
145,1370.3,False
146,1373.82,False
147,1390.62,False
148,1393.21,False
149,1401.82,False
150,1412.7,False
151,1415.57,False
152,1420.51,False
153,1432.17,False
154,1435.67,False
155,1450.48,False
156,1456.26,False
157,1457.55,False
158,1462.54,False
159,1465.32,False
160,1474.45,False
161,1475.15,False
162,1480.89,False
163,1484.68,False
164,1492.66,False
165,1495.36,False
