mode,frequency_cm-1,imaginary
1,18.95,False
2,21.33,False
3,25.6,False
4,32.02,False
5,34.73,False
6,38.28,False
7,48.68,False
8,50.29,False
9,55.01,False
10,58.99,False
11,60.66,False
12,69.19,False
13,69.72,False
14,70.26,False
15,78.26,False
16,82.62,False
17,87.28,False
18,90.22,False
19,92.79,False
20,97.2,False
21,108.43,False
22,113.42,False
23,116.41,False
24,124.92,False
25,137.89,False
26,144.06,False
27,150.79,False
28,156.64,False
29,163.07,False
30,170.8,False
31,173.6,False
32,182.98,False
33,185.12,False
34,200.26,False
35,205.36,False
36,219.18,False
37,228.16,False
38,234.96,False
39,237.26,False
40,240.14,False
41,268.78,False
42,284.24,False
43,289.88,False
44,291.58,False
45,294.75,False
46,313.01,False
47,326.21,False
48,331.54,False
49,357.63,False
50,370.92,False
51,383.96,False
52,387.19,False
53,409.81,False
54,413.43,False
55,433.62,False
56,449.91,False
57,453.32,False
58,473.0,False
59,489.5,False
60,495.27,False
61,501.69,False
62,525.65,False
63,529.24,False
64,553.98,False
65,578.75,False
66,587.8,False
67,594.84,False
68,603.7,False
69,605.99,False
70,628.34,False
71,645.29,False
72,650.11,False
73,656.64,False
74,668.74,False
75,692.87,False
76,697.28,False
77,702.55,False
78,720.41,False
79,728.24,False
80,769.83,False
81,770.46,False
82,782.84,False
83,800.45,False
84,806.6,False
85,861.8,False
86,864.26,False
87,865.49,False
88,866.88,False
89,874.58,False
90,894.89,False
91,896.58,False
92,909.52,False
93,918.71,False
94,922.46,False
95,925.3,False
96,930.79,False
97,949.31,False
98,975.28,False
99,989.71,False
100,993.13,False
101,997.2,False
102,1004.48,False
103,1009.01,False
104,1017.29,False
105,1036.94,False
106,1039.21,False
107,1065.3,False
108,1077.92,False
109,1079.29,False
110,1104.95,False
111,1105.61,False
112,1115.59,False
113,1119.31,False
114,1119.78,False
115,1132.1,False
116,1138.39,False
117,1142.82,False
118,1161.73,False
119,1164.95,False
120,1168.31,False
121,1174.85,False
122,1196.62,False
123,1201.24,False
124,1212.16,False
125,1221.3,False
126,1225.4,False
127,1225.74,False
128,1229.02,False
129,1238.47,False
130,1254.36,False
131,1260.26,False
132,1272.7,False
133,1283.48,False
134,1288.18,False
135,1293.96,False
136,1301.01,False
137,1312.53,False
138,1319.22,False
139,1319.43,False
140,1331.71,False
141,1335.27,False
142,1355.58,False
143,1364.12,False
144,1367.28,False
145,1372.63,False
146,1392.52,False
147,1394.86,False
148,1408.53,False
149,1409.23,False
150,1417.16,False
151,1421.82,False
152,1435.29,False
153,1450.07,False
154,1454.95,False
155,1457.59,False
156,1463.38,False
157,1467.93,False
158,1469.19,False
159,1472.31,False
160,1478.91,False
161,1485.34,False
162,1492.33,False
163,1494.22,False
164,1497.3,False
165,1505.65,False
