mode,frequency_cm-1,imaginary
1,16.88,False
2,26.56,False
3,28.4,False
4,31.67,False
5,37.8,False
6,43.64,False
7,51.96,False
8,57.88,False
9,58.27,False
10,64.24,False
11,70.11,False
12,71.6,False
13,81.29,False
14,85.05,False
15,92.93,False
16,95.96,False
17,96.69,False
18,107.59,False
19,114.15,False
20,115.75,False
21,122.76,False
22,126.4,False
23,128.37,False
24,129.79,False
25,136.64,False
26,151.7,False
27,155.59,False
28,167.95,False
29,172.96,False
30,184.13,False
31,202.75,False
32,218.2,False
33,229.93,False
34,234.52,False
35,244.15,False
36,257.81,False
37,266.52,False
38,269.94,False
39,272.94,False
40,290.64,False
41,292.26,False
42,296.86,False
43,316.11,False
44,330.22,False
45,336.68,False
46,354.68,False
47,369.59,False
48,374.29,False
49,394.66,False
50,408.49,False
51,417.33,False
52,420.99,False
53,438.33,False
54,449.13,False
55,459.61,False
56,475.07,False
57,483.12,False
58,488.62,False
59,493.15,False
60,507.71,False
61,525.98,False
62,529.57,False
63,551.9,False
64,554.53,False
65,555.16,False
66,583.71,False
67,596.59,False
68,605.53,False
69,612.63,False
70,624.58,False
71,655.73,False
72,658.82,False
73,676.27,False
74,683.27,False
75,695.72,False
76,702.27,False
77,726.35,False
78,734.19,False
79,743.54,False
80,769.6,False
81,773.5,False
82,786.16,False
83,806.61,False
84,818.2,False
85,863.22,False
86,864.29,False
87,865.4,False
88,875.14,False
89,890.42,False
90,894.4,False
91,896.02,False
92,916.41,False
93,918.77,False
94,923.95,False
95,926.21,False
96,928.64,False
97,948.75,False
98,979.91,False
99,990.68,False
100,1000.6,False
101,1003.26,False
102,1008.76,False
103,1012.57,False
104,1022.64,False
105,1023.51,False
106,1034.98,False
107,1066.53,False
108,1071.09,False
109,1081.07,False
110,1101.8,False
111,1106.39,False
112,1107.62,False
113,1118.02,False
114,1123.27,False
115,1125.99,False
116,1138.94,False
117,1142.06,False
118,1155.35,False
119,1161.69,False
120,1170.18,False
121,1174.88,False
122,1191.55,False
123,1195.01,False
124,1199.91,False
125,1212.79,False
126,1219.01,False
127,1220.39,False
128,1224.11,False
129,1239.38,False
130,1246.93,False
131,1264.88,False
132,1267.49,False
133,1273.34,False
134,1283.58,False
135,1294.64,False
136,1302.73,False
137,1308.08,False
138,1317.13,False
139,1321.31,False
140,1329.16,False
141,1331.27,False
142,1353.15,False
143,1364.99,False
144,1366.61,False
145,1376.13,False
146,1393.57,False
147,1396.13,False
148,1398.81,False
149,1409.08,False
150,1416.45,False
151,1419.74,False
152,1425.82,False
153,1446.82,False
154,1449.18,False
155,1450.2,False
156,1461.97,False
157,1465.29,False
158,1473.59,False
159,1474.73,False
160,1479.39,False
161,1482.13,False
162,1494.08,False
163,1495.26,False
164,1496.53,False
165,1503.96,False
