atom_index,atomic_number,element,covCN,charge,C6AA,alpha
1,7,N,2.692,-0.151,24.277,7.318
2,6,C,2.905,0.069,26.455,8.434
3,6,C,2.921,-0.056,29.388,8.89
4,6,C,2.925,-0.038,28.949,8.824
5,6,C,2.975,-0.005,28.15,8.703
6,6,C,2.924,-0.042,29.041,8.837
7,6,C,2.926,-0.064,29.587,8.92
8,6,C,3.81,-0.065,21.744,6.638
9,6,C,3.802,0.017,20.294,6.414
10,6,C,2.826,0.011,27.769,8.635
11,6,C,2.894,-0.087,30.187,9.008
12,6,C,3.859,-0.019,20.867,6.496
13,6,C,3.807,-0.065,21.739,6.637
14,6,C,3.8,-0.055,21.556,6.61
15,6,C,3.752,-0.103,22.531,6.769
16,8,O,1.608,-0.616,25.576,6.825
17,7,N,2.784,-0.12,23.615,7.217
18,6,C,3.068,0.041,27.002,8.521
19,6,C,3.112,-0.03,28.589,8.759
20,6,C,3.058,-0.048,29.125,8.85
21,6,C,2.908,-0.055,29.365,8.886
22,6,C,2.911,-0.042,29.039,8.836
23,6,C,3.062,0.042,26.995,8.52
24,6,C,2.924,-0.041,29.007,8.832
25,6,C,2.919,-0.046,29.139,8.852
26,6,C,3.754,-0.11,22.665,6.788
27,8,O,1.609,-0.612,25.482,6.813
28,1,H,0.86,0.186,1.178,1.7
29,1,H,0.806,0.266,0.834,1.434
30,1,H,0.926,0.038,2.48,2.463
31,1,H,0.926,0.026,2.642,2.542
32,1,H,0.925,0.019,2.752,2.594
33,1,H,0.926,0.046,2.37,2.407
34,1,H,0.924,0.05,2.317,2.38
35,1,H,0.925,0.057,2.238,2.339
36,1,H,0.924,0.075,2.031,2.229
37,1,H,0.86,0.176,1.238,1.743
38,1,H,0.86,0.174,1.25,1.752
39,1,H,0.925,0.03,2.583,2.513
40,1,H,0.926,0.034,2.528,2.487
41,1,H,0.924,0.036,2.498,2.472
42,1,H,0.924,0.044,2.401,2.423
43,1,H,0.924,0.031,2.567,2.505
44,1,H,0.924,0.034,2.53,2.487
45,1,H,0.924,0.028,2.609,2.526
46,1,H,0.925,0.032,2.56,2.502
47,1,H,0.925,0.036,2.501,2.473
48,1,H,0.925,0.032,2.558,2.501
49,1,H,0.86,0.158,1.347,1.818
50,1,H,0.805,0.288,0.757,1.367
51,1,H,0.926,0.022,2.71,2.574
52,1,H,0.926,0.027,2.636,2.539
53,1,H,0.926,0.024,2.667,2.554
54,1,H,0.926,0.023,2.685,2.562
55,1,H,0.925,0.059,2.214,2.327
56,1,H,0.924,0.045,2.387,2.416
57,1,H,0.924,0.046,2.376,2.41
