mode,frequency_cm-1,imaginary
1,14.84,False
2,18.2,False
3,28.13,False
4,31.58,False
5,32.19,False
6,41.82,False
7,45.97,False
8,51.51,False
9,58.54,False
10,61.84,False
11,70.46,False
12,76.81,False
13,79.82,False
14,83.6,False
15,91.22,False
16,94.37,False
17,97.47,False
18,108.47,False
19,115.27,False
20,119.08,False
21,120.74,False
22,137.7,False
23,146.01,False
24,159.65,False
25,173.44,False
26,174.28,False
27,189.8,False
28,204.09,False
29,211.14,False
30,224.34,False
31,235.95,False
32,274.75,False
33,279.22,False
34,279.49,False
35,294.67,False
36,302.44,False
37,319.53,False
38,328.08,False
39,338.25,False
40,347.69,False
41,353.8,False
42,372.05,False
43,386.19,False
44,397.93,False
45,410.08,False
46,440.8,False
47,446.92,False
48,457.97,False
49,470.79,False
50,480.91,False
51,512.93,False
52,525.51,False
53,541.56,False
54,569.34,False
55,607.89,False
56,610.2,False
57,660.4,False
58,673.87,False
59,681.35,False
60,721.21,False
61,730.61,False
62,750.31,False
63,765.35,False
64,775.9,False
65,791.77,False
66,838.32,False
67,866.2,False
68,877.85,False
69,878.29,False
70,891.99,False
71,910.98,False
72,919.73,False
73,927.3,False
74,933.25,False
75,971.14,False
76,984.62,False
77,985.06,False
78,991.89,False
79,993.7,False
80,1014.25,False
81,1019.18,False
82,1039.48,False
83,1056.26,False
84,1065.58,False
85,1068.21,False
86,1098.45,False
87,1102.59,False
88,1118.03,False
89,1119.15,False
90,1133.7,False
91,1147.67,False
92,1160.59,False
93,1163.0,False
94,1191.49,False
95,1209.82,False
96,1215.98,False
97,1223.52,False
98,1246.46,False
99,1250.79,False
100,1262.24,False
101,1279.89,False
102,1281.39,False
103,1284.35,False
104,1285.88,False
105,1303.38,False
106,1315.04,False
107,1328.48,False
108,1334.52,False
109,1347.8,False
110,1385.49,False
111,1394.61,False
112,1407.49,False
113,1423.5,False
114,1426.35,False
115,1435.28,False
116,1436.17,False
117,1441.64,False
118,1444.7,False
119,1448.21,False
120,1455.08,False
121,1455.91,False
122,1466.66,False
123,1467.48,False
124,1474.93,False
125,1475.75,False
126,1481.01,False
127,1494.0,False
128,1521.36,False
129,1580.66,False
130,1608.43,False
131,1622.11,False
132,1700.27,False
133,1714.42,False
134,1759.49,False
135,2888.39,False
136,2991.44,False
137,3008.29,False
138,3012.97,False
139,3015.77,False
140,3022.99,False
141,3031.71,False
142,3038.6,False
143,3039.81,False
144,3048.87,False
145,3050.2,False
146,3051.96,False
147,3073.8,False
148,3081.49,False
149,3084.35,False
150,3086.01,False
151,3086.96,False
152,3087.41,False
153,3097.78,False
154,3103.82,False
155,3107.44,False
156,3109.43,False
157,3114.74,False
158,3466.96,False
159,3474.58,False
160,3489.34,False
161,3519.96,False
162,3577.36,False
163,3589.4,False
164,3685.56,False
165,3730.74,False
