mode,frequency_cm-1,imaginary
1,12.61,False
2,19.54,False
3,24.26,False
4,29.85,False
5,30.33,False
6,36.49,False
7,49.15,False
8,56.76,False
9,57.92,False
10,62.43,False
11,64.99,False
12,68.53,False
13,74.43,False
14,75.97,False
15,79.86,False
16,88.19,False
17,98.73,False
18,108.74,False
19,120.36,False
20,136.56,False
21,143.85,False
22,153.39,False
23,168.01,False
24,174.49,False
25,191.35,False
26,203.86,False
27,206.8,False
28,228.74,False
29,260.64,False
30,264.14,False
31,278.54,False
32,288.5,False
33,292.38,False
34,298.62,False
35,319.41,False
36,354.44,False
37,356.71,False
38,367.72,False
39,375.01,False
40,385.46,False
41,405.12,False
42,411.29,False
43,424.52,False
44,439.6,False
45,460.25,False
46,468.03,False
47,493.4,False
48,496.26,False
49,531.77,False
50,539.78,False
51,553.72,False
52,563.33,False
53,599.71,False
54,607.77,False
55,643.99,False
56,648.07,False
57,670.59,False
58,684.01,False
59,729.08,False
60,745.04,False
61,763.04,False
62,787.29,False
63,792.92,False
64,836.26,False
65,861.03,False
66,875.58,False
67,879.65,False
68,892.94,False
69,908.98,False
70,911.09,False
71,918.22,False
72,922.23,False
73,950.77,False
74,966.93,False
75,980.74,False
76,992.33,False
77,999.96,False
78,1009.91,False
79,1020.5,False
80,1020.98,False
81,1040.07,False
82,1067.85,False
83,1068.71,False
84,1100.09,False
85,1103.14,False
86,1117.81,False
87,1120.39,False
88,1124.99,False
89,1130.51,False
90,1155.68,False
91,1162.28,False
92,1171.81,False
93,1184.5,False
94,1191.51,False
95,1206.5,False
96,1211.08,False
97,1223.21,False
98,1226.23,False
99,1252.49,False
100,1255.18,False
101,1267.21,False
102,1270.34,False
103,1280.35,False
104,1284.71,False
105,1292.67,False
106,1297.27,False
107,1302.63,False
108,1320.26,False
109,1346.64,False
110,1350.3,False
111,1365.53,False
112,1383.64,False
113,1385.48,False
114,1395.54,False
115,1399.71,False
116,1426.87,False
117,1430.42,False
118,1440.22,False
119,1440.87,False
120,1445.6,False
121,1447.34,False
122,1453.25,False
123,1460.11,False
124,1468.91,False
125,1473.59,False
126,1475.06,False
127,1480.16,False
128,1486.93,False
129,1494.08,False
130,1585.94,False
131,1605.35,False
132,1726.43,False
133,1754.98,False
134,1758.76,False
135,2912.89,False
136,2988.91,False
137,3000.1,False
138,3006.78,False
139,3015.87,False
140,3020.54,False
141,3022.91,False
142,3029.87,False
143,3035.18,False
144,3039.64,False
145,3048.11,False
146,3052.57,False
147,3073.23,False
148,3074.29,False
149,3085.83,False
150,3086.53,False
151,3090.53,False
152,3093.87,False
153,3100.46,False
154,3106.56,False
155,3110.69,False
156,3111.74,False
157,3114.62,False
158,3312.63,False
159,3396.1,False
160,3492.2,False
161,3496.4,False
162,3511.75,False
163,3514.35,False
164,3623.92,False
165,3731.78,False
