mode,frequency_cm-1,imaginary
1,-3.25,True
2,5.27,False
3,8.69,False
4,22.3,False
5,25.39,False
6,29.96,False
7,33.98,False
8,36.89,False
9,41.24,False
10,44.37,False
11,48.92,False
12,49.87,False
13,55.26,False
14,56.97,False
15,65.7,False
16,69.68,False
17,76.1,False
18,77.48,False
19,83.36,False
20,99.75,False
21,101.56,False
22,107.59,False
23,112.4,False
24,128.68,False
25,132.29,False
26,135.99,False
27,140.88,False
28,141.12,False
29,145.33,False
30,153.07,False
31,160.91,False
32,166.49,False
33,169.86,False
34,177.65,False
35,183.85,False
36,198.82,False
37,205.39,False
38,223.27,False
39,234.65,False
40,248.77,False
41,253.59,False
42,261.27,False
43,269.93,False
44,285.2,False
45,295.01,False
46,300.43,False
47,307.71,False
48,341.48,False
49,348.11,False
50,369.33,False
51,375.1,False
52,388.83,False
53,393.84,False
54,397.9,False
55,399.02,False
56,427.24,False
57,428.19,False
58,430.97,False
59,445.01,False
60,462.95,False
61,469.35,False
62,479.51,False
63,484.4,False
64,503.96,False
65,525.74,False
66,532.62,False
67,535.71,False
68,564.74,False
69,591.02,False
70,594.53,False
71,607.28,False
72,612.21,False
73,629.05,False
74,644.55,False
75,651.93,False
76,691.97,False
77,692.91,False
78,717.83,False
79,741.48,False
80,744.46,False
81,749.08,False
82,773.4,False
83,802.26,False
84,839.86,False
85,847.72,False
86,852.84,False
87,859.59,False
88,864.28,False
89,876.96,False
90,884.3,False
91,888.73,False
92,892.06,False
93,899.05,False
94,909.18,False
95,911.79,False
96,917.11,False
97,918.09,False
98,938.9,False
99,970.5,False
100,979.68,False
101,986.17,False
102,991.39,False
103,996.81,False
104,1002.61,False
105,1014.43,False
106,1022.57,False
107,1026.55,False
108,1027.15,False
109,1050.16,False
110,1066.2,False
111,1070.12,False
112,1073.04,False
113,1093.95,False
114,1104.06,False
115,1109.74,False
116,1111.19,False
117,1120.48,False
118,1121.23,False
119,1128.64,False
120,1131.33,False
121,1141.93,False
122,1150.42,False
123,1155.73,False
124,1159.95,False
125,1160.99,False
126,1181.81,False
127,1185.05,False
128,1199.52,False
129,1211.69,False
130,1216.76,False
131,1218.22,False
132,1219.82,False
133,1228.94,False
134,1243.95,False
135,1249.67,False
136,1264.21,False
137,1271.03,False
138,1274.09,False
139,1284.08,False
140,1294.48,False
141,1299.11,False
142,1302.78,False
143,1309.37,False
144,1315.39,False
145,1336.57,False
146,1340.05,False
147,1348.52,False
148,1354.16,False
149,1358.7,False
150,1365.62,False
151,1383.65,False
152,1385.64,False
153,1395.29,False
154,1395.9,False
155,1398.38,False
156,1405.14,False
157,1426.81,False
158,1431.35,False
159,1433.14,False
160,1438.02,False
161,1441.02,False
162,1444.06,False
163,1447.78,False
164,1448.12,False
165,1450.99,False
