mode,frequency_cm-1,imaginary
1,4.54,False
2,6.89,False
3,20.98,False
4,23.9,False
5,28.45,False
6,31.0,False
7,31.92,False
8,37.4,False
9,41.16,False
10,49.38,False
11,51.69,False
12,53.27,False
13,54.51,False
14,65.37,False
15,69.24,False
16,69.98,False
17,72.94,False
18,76.52,False
19,85.86,False
20,96.88,False
21,104.18,False
22,110.41,False
23,111.03,False
24,114.47,False
25,115.68,False
26,117.61,False
27,124.47,False
28,128.62,False
29,133.31,False
30,138.92,False
31,142.88,False
32,148.76,False
33,155.38,False
34,159.72,False
35,163.21,False
36,170.78,False
37,174.35,False
38,194.47,False
39,202.93,False
40,209.25,False
41,214.69,False
42,230.56,False
43,236.22,False
44,243.65,False
45,262.84,False
46,266.78,False
47,286.18,False
48,289.56,False
49,297.09,False
50,305.32,False
51,317.03,False
52,331.45,False
53,357.96,False
54,361.94,False
55,372.25,False
56,383.52,False
57,394.87,False
58,397.91,False
59,407.97,False
60,427.85,False
61,438.6,False
62,446.44,False
63,451.03,False
64,467.06,False
65,479.63,False
66,485.87,False
67,508.81,False
68,521.08,False
69,535.33,False
70,543.78,False
71,564.29,False
72,571.95,False
73,593.37,False
74,600.81,False
75,605.17,False
76,606.72,False
77,644.74,False
78,651.17,False
79,671.38,False
80,690.7,False
81,698.86,False
82,720.66,False
83,731.8,False
84,743.95,False
85,751.8,False
86,784.18,False
87,797.62,False
88,804.79,False
89,840.08,False
90,844.55,False
91,859.73,False
92,866.96,False
93,876.54,False
94,882.41,False
95,884.16,False
96,899.37,False
97,908.99,False
98,915.71,False
99,916.63,False
100,918.14,False
101,935.64,False
102,968.91,False
103,971.66,False
104,978.49,False
105,987.02,False
106,995.55,False
107,1007.31,False
108,1013.93,False
109,1020.28,False
110,1027.99,False
111,1050.78,False
112,1063.47,False
113,1068.66,False
114,1083.83,False
115,1100.73,False
116,1107.07,False
117,1112.59,False
118,1115.33,False
119,1119.07,False
120,1120.5,False
121,1130.59,False
122,1134.97,False
123,1143.91,False
124,1154.93,False
125,1158.2,False
126,1161.76,False
127,1178.22,False
128,1185.1,False
129,1203.58,False
130,1210.19,False
131,1213.62,False
132,1219.17,False
133,1223.67,False
134,1242.79,False
135,1251.7,False
136,1258.43,False
137,1271.64,False
138,1272.77,False
139,1279.33,False
140,1293.31,False
141,1294.26,False
142,1300.43,False
143,1302.84,False
144,1316.41,False
145,1322.82,False
146,1327.52,False
147,1348.47,False
148,1350.84,False
149,1359.1,False
150,1370.18,False
151,1381.68,False
152,1385.6,False
153,1394.38,False
154,1397.53,False
155,1402.15,False
156,1423.15,False
157,1430.74,False
158,1432.86,False
159,1433.05,False
160,1438.31,False
161,1440.93,False
162,1444.64,False
163,1447.69,False
164,1449.12,False
165,1453.37,False
