mode,frequency_cm-1,imaginary
1,6.4,False
2,13.48,False
3,19.8,False
4,22.72,False
5,26.69,False
6,30.75,False
7,33.37,False
8,38.51,False
9,47.06,False
10,54.3,False
11,55.77,False
12,58.65,False
13,61.42,False
14,63.58,False
15,68.5,False
16,74.09,False
17,76.63,False
18,80.04,False
19,89.93,False
20,97.68,False
21,104.27,False
22,108.23,False
23,108.85,False
24,114.36,False
25,121.12,False
26,125.81,False
27,129.91,False
28,134.08,False
29,139.41,False
30,143.93,False
31,151.49,False
32,160.14,False
33,167.79,False
34,172.12,False
35,174.97,False
36,198.44,False
37,204.8,False
38,211.35,False
39,220.06,False
40,227.77,False
41,233.97,False
42,257.58,False
43,264.91,False
44,267.98,False
45,278.46,False
46,283.96,False
47,291.03,False
48,292.96,False
49,295.99,False
50,317.81,False
51,332.01,False
52,357.94,False
53,364.94,False
54,376.18,False
55,383.6,False
56,397.57,False
57,401.9,False
58,411.13,False
59,420.93,False
60,439.33,False
61,445.53,False
62,450.05,False
63,469.27,False
64,478.72,False
65,487.28,False
66,497.33,False
67,512.28,False
68,518.83,False
69,535.68,False
70,547.53,False
71,562.41,False
72,585.24,False
73,593.76,False
74,602.42,False
75,608.63,False
76,613.59,False
77,646.41,False
78,651.21,False
79,672.83,False
80,691.07,False
81,702.24,False
82,718.06,False
83,734.05,False
84,744.45,False
85,755.03,False
86,783.92,False
87,794.55,False
88,800.78,False
89,842.02,False
90,844.5,False
91,858.73,False
92,867.38,False
93,877.39,False
94,882.0,False
95,884.78,False
96,897.68,False
97,909.32,False
98,915.33,False
99,916.8,False
100,919.35,False
101,934.01,False
102,967.63,False
103,971.95,False
104,981.35,False
105,987.02,False
106,995.51,False
107,1004.43,False
108,1013.78,False
109,1020.7,False
110,1022.68,False
111,1048.68,False
112,1066.16,False
113,1069.13,False
114,1086.45,False
115,1101.71,False
116,1106.14,False
117,1113.37,False
118,1115.46,False
119,1120.38,False
120,1124.47,False
121,1130.9,False
122,1133.87,False
123,1141.8,False
124,1154.64,False
125,1159.8,False
126,1161.44,False
127,1177.05,False
128,1184.96,False
129,1204.81,False
130,1210.23,False
131,1213.37,False
132,1220.48,False
133,1225.4,False
134,1241.82,False
135,1252.28,False
136,1258.62,False
137,1271.14,False
138,1273.3,False
139,1281.59,False
140,1292.96,False
141,1293.84,False
142,1300.11,False
143,1304.88,False
144,1317.2,False
145,1321.55,False
146,1328.29,False
147,1348.58,False
148,1350.2,False
149,1361.91,False
150,1376.44,False
151,1381.91,False
152,1385.63,False
153,1394.82,False
154,1396.37,False
155,1400.93,False
156,1430.92,False
157,1431.31,False
158,1436.2,False
159,1438.68,False
160,1440.48,False
161,1445.0,False
162,1447.07,False
163,1447.75,False
164,1448.12,False
165,1454.1,False
