atom_index,atomic_number,element,covCN,charge,C6AA,alpha
1,7,N,2.649,-0.279,27.197,7.745
2,6,C,2.9,0.077,26.29,8.407
3,6,C,2.923,-0.059,29.465,8.902
4,6,C,2.924,-0.038,28.95,8.824
5,6,C,2.97,-0.005,28.137,8.701
6,6,C,2.924,-0.044,29.083,8.844
7,6,C,2.922,-0.063,29.568,8.917
8,6,C,3.812,-0.07,21.822,6.649
9,6,C,3.796,0.02,20.24,6.406
10,6,C,2.775,0.209,23.576,7.952
11,6,C,2.89,-0.064,29.587,8.918
12,6,C,2.897,-0.001,28.041,8.682
13,6,C,3.807,-0.061,21.666,6.626
14,6,C,3.802,-0.047,21.406,6.587
15,6,C,3.753,-0.11,22.667,6.789
16,8,O,0.856,-0.426,22.205,6.318
17,8,O,1.609,-0.607,25.358,6.796
18,1,H,0.859,0.218,1.021,1.583
19,1,H,0.86,0.169,1.281,1.773
20,1,H,0.926,0.041,2.437,2.441
21,1,H,0.926,0.031,2.568,2.506
22,1,H,0.925,0.022,2.696,2.568
23,1,H,0.925,0.024,2.671,2.556
24,1,H,0.924,0.061,2.193,2.316
25,1,H,0.924,0.059,2.209,2.324
26,1,H,0.924,0.061,2.193,2.316
27,1,H,0.86,0.183,1.197,1.714
28,1,H,0.86,0.205,1.079,1.627
29,1,H,0.923,0.011,2.875,2.651
30,1,H,0.926,0.036,2.498,2.471
31,1,H,0.925,0.064,2.153,2.294
32,1,H,0.924,0.056,2.241,2.341
33,1,H,0.924,0.046,2.366,2.406
34,1,H,0.924,0.033,2.549,2.497
35,1,H,0.924,0.033,2.543,2.494
36,1,H,0.925,0.036,2.509,2.477
37,1,H,0.925,0.033,2.544,2.494
38,1,H,0.925,0.061,2.182,2.31
39,1,H,0.803,0.319,0.668,1.284
40,1,H,0.806,0.275,0.802,1.407
41,8,O,1.609,-0.595,25.066,6.757
42,1,H,0.805,0.298,0.727,1.339
43,1,H,0.804,0.311,0.689,1.304
44,7,N,2.692,-0.182,24.935,7.416
45,6,C,2.753,0.264,22.554,7.777
46,8,O,0.858,-0.434,22.374,6.342
47,6,C,3.757,-0.141,23.278,6.879
48,6,C,2.749,0.277,22.318,7.736
49,8,O,0.859,-0.461,22.947,6.422
50,1,H,0.925,0.053,2.288,2.366
51,1,H,0.925,0.062,2.174,2.306
52,1,H,0.925,0.074,2.044,2.236
53,7,N,2.686,-0.177,24.835,7.401
54,6,C,3.69,-0.043,21.527,6.64
55,1,H,0.924,0.053,2.286,2.364
56,1,H,0.924,0.049,2.329,2.387
57,1,H,0.925,0.083,1.953,2.186
