mode,frequency_cm-1,imaginary
1,12.53,False
2,18.24,False
3,27.29,False
4,29.2,False
5,33.68,False
6,39.0,False
7,48.25,False
8,54.59,False
9,59.66,False
10,61.8,False
11,71.42,False
12,75.6,False
13,79.72,False
14,83.35,False
15,87.99,False
16,99.13,False
17,108.98,False
18,117.4,False
19,125.42,False
20,129.83,False
21,140.71,False
22,157.47,False
23,157.65,False
24,171.48,False
25,183.2,False
26,193.77,False
27,205.62,False
28,212.52,False
29,231.2,False
30,240.15,False
31,261.78,False
32,289.47,False
33,290.61,False
34,296.32,False
35,301.64,False
36,330.46,False
37,349.38,False
38,355.51,False
39,382.56,False
40,386.49,False
41,393.62,False
42,406.78,False
43,416.15,False
44,435.16,False
45,444.14,False
46,450.44,False
47,476.8,False
48,488.67,False
49,531.53,False
50,567.95,False
51,577.3,False
52,602.09,False
53,613.76,False
54,631.02,False
55,643.02,False
56,673.43,False
57,676.36,False
58,692.76,False
59,725.71,False
60,728.26,False
61,757.04,False
62,779.34,False
63,791.71,False
64,809.74,False
65,844.54,False
66,864.91,False
67,869.93,False
68,883.45,False
69,893.05,False
70,908.71,False
71,922.07,False
72,923.39,False
73,928.57,False
74,940.15,False
75,975.53,False
76,992.18,False
77,996.93,False
78,1002.41,False
79,1009.83,False
80,1018.92,False
81,1034.21,False
82,1049.77,False
83,1073.58,False
84,1077.37,False
85,1089.74,False
86,1104.61,False
87,1109.87,False
88,1117.05,False
89,1130.64,False
90,1144.67,False
91,1159.95,False
92,1164.36,False
93,1196.39,False
94,1209.18,False
95,1219.47,False
96,1222.7,False
97,1223.0,False
98,1239.4,False
99,1252.02,False
100,1265.74,False
101,1281.74,False
102,1285.06,False
103,1287.25,False
104,1295.48,False
105,1312.42,False
106,1322.53,False
107,1342.8,False
108,1348.02,False
109,1374.3,False
110,1381.56,False
111,1393.06,False
112,1419.0,False
113,1423.78,False
114,1430.12,False
115,1433.8,False
116,1457.07,False
117,1462.66,False
118,1466.22,False
119,1473.31,False
120,1478.56,False
121,1481.61,False
122,1484.37,False
123,1494.06,False
124,1501.27,False
125,1504.54,False
126,1514.31,False
127,1548.29,False
128,1551.2,False
129,1577.17,False
130,1615.25,False
131,1636.31,False
132,1678.17,False
133,1710.49,False
134,1759.44,False
135,2804.2,False
136,2913.94,False
137,2956.54,False
138,2969.93,False
139,2970.28,False
140,2985.54,False
141,2991.27,False
142,2991.81,False
143,3003.13,False
144,3008.03,False
145,3021.94,False
146,3030.88,False
147,3031.33,False
148,3032.4,False
149,3039.48,False
150,3051.26,False
151,3055.61,False
152,3056.96,False
153,3064.26,False
154,3070.48,False
155,3075.31,False
156,3082.22,False
157,3095.38,False
158,3218.15,False
159,3313.26,False
160,3321.75,False
161,3451.43,False
162,3453.72,False
163,3465.88,False
164,3577.85,False
165,3666.46,False
