mode,frequency_cm-1,imaginary
1,12.25,False
2,17.48,False
3,27.26,False
4,29.27,False
5,32.79,False
6,37.94,False
7,46.99,False
8,54.61,False
9,59.76,False
10,61.8,False
11,68.82,False
12,77.19,False
13,80.1,False
14,84.6,False
15,91.86,False
16,100.04,False
17,107.2,False
18,116.74,False
19,124.89,False
20,129.34,False
21,137.14,False
22,155.91,False
23,156.85,False
24,169.9,False
25,180.59,False
26,192.45,False
27,203.06,False
28,211.32,False
29,226.32,False
30,239.67,False
31,261.34,False
32,289.92,False
33,291.37,False
34,296.3,False
35,301.76,False
36,329.64,False
37,349.91,False
38,355.09,False
39,382.14,False
40,386.41,False
41,393.27,False
42,406.49,False
43,415.66,False
44,438.03,False
45,444.89,False
46,448.29,False
47,477.04,False
48,488.64,False
49,531.57,False
50,564.28,False
51,577.55,False
52,601.94,False
53,612.65,False
54,617.8,False
55,642.2,False
56,662.54,False
57,673.55,False
58,692.14,False
59,725.13,False
60,728.19,False
61,755.03,False
62,779.23,False
63,791.4,False
64,809.59,False
65,838.11,False
66,865.13,False
67,870.44,False
68,883.2,False
69,892.49,False
70,908.57,False
71,921.78,False
72,922.63,False
73,928.73,False
74,940.6,False
75,975.59,False
76,991.91,False
77,996.87,False
78,1002.04,False
79,1009.8,False
80,1019.04,False
81,1033.84,False
82,1047.73,False
83,1073.86,False
84,1077.42,False
85,1089.54,False
86,1104.64,False
87,1110.57,False
88,1117.06,False
89,1130.41,False
90,1144.67,False
91,1160.53,False
92,1164.1,False
93,1196.41,False
94,1209.0,False
95,1219.59,False
96,1222.0,False
97,1222.52,False
98,1238.58,False
99,1252.43,False
100,1265.59,False
101,1281.5,False
102,1284.74,False
103,1286.76,False
104,1296.29,False
105,1312.54,False
106,1322.37,False
107,1343.02,False
108,1348.55,False
109,1374.11,False
110,1381.68,False
111,1393.03,False
112,1418.56,False
113,1423.87,False
114,1430.01,False
115,1433.81,False
116,1456.92,False
117,1462.56,False
118,1465.84,False
119,1471.74,False
120,1478.39,False
121,1480.07,False
122,1484.4,False
123,1493.68,False
124,1501.25,False
125,1504.54,False
126,1514.08,False
127,1547.78,False
128,1552.81,False
129,1577.2,False
130,1615.25,False
131,1636.05,False
132,1677.46,False
133,1710.74,False
134,1759.55,False
135,2804.29,False
136,2914.88,False
137,2955.33,False
138,2970.48,False
139,2970.93,False
140,2986.2,False
141,2991.21,False
142,2992.05,False
143,3002.62,False
144,3010.18,False
145,3022.79,False
146,3030.93,False
147,3031.62,False
148,3032.72,False
149,3039.95,False
150,3052.62,False
151,3054.9,False
152,3058.28,False
153,3064.75,False
154,3071.32,False
155,3075.29,False
156,3083.2,False
157,3094.91,False
158,3230.21,False
159,3325.27,False
160,3329.16,False
161,3454.29,False
162,3467.41,False
163,3477.67,False
164,3558.85,False
165,3666.79,False
