mode,frequency_cm-1,imaginary
1,4.1,False
2,9.87,False
3,18.66,False
4,21.99,False
5,25.17,False
6,27.64,False
7,35.46,False
8,38.68,False
9,41.26,False
10,48.22,False
11,51.73,False
12,55.83,False
13,61.85,False
14,64.02,False
15,68.39,False
16,69.87,False
17,71.64,False
18,85.05,False
19,88.82,False
20,98.54,False
21,109.63,False
22,122.76,False
23,124.32,False
24,125.66,False
25,141.66,False
26,143.3,False
27,151.77,False
28,165.2,False
29,167.11,False
30,172.93,False
31,186.83,False
32,188.97,False
33,194.16,False
34,222.5,False
35,237.21,False
36,238.42,False
37,240.02,False
38,252.14,False
39,270.72,False
40,287.08,False
41,289.11,False
42,291.68,False
43,304.07,False
44,311.44,False
45,321.68,False
46,347.97,False
47,362.09,False
48,379.62,False
49,385.3,False
50,398.27,False
51,411.11,False
52,415.22,False
53,420.2,False
54,442.4,False
55,443.9,False
56,452.64,False
57,462.45,False
58,470.02,False
59,481.21,False
60,489.04,False
61,495.91,False
62,527.7,False
63,530.82,False
64,543.25,False
65,552.83,False
66,579.79,False
67,594.31,False
68,601.93,False
69,613.19,False
70,625.11,False
71,631.12,False
72,639.11,False
73,645.82,False
74,656.6,False
75,689.03,False
76,696.38,False
77,704.08,False
78,725.08,False
79,751.62,False
80,763.18,False
81,774.4,False
82,787.51,False
83,812.65,False
84,816.58,False
85,859.68,False
86,864.77,False
87,870.07,False
88,870.59,False
89,872.14,False
90,880.01,False
91,893.68,False
92,902.53,False
93,912.56,False
94,921.45,False
95,924.38,False
96,927.37,False
97,932.98,False
98,953.14,False
99,977.97,False
100,991.44,False
101,994.03,False
102,997.18,False
103,1005.11,False
104,1006.69,False
105,1021.47,False
106,1029.0,False
107,1031.91,False
108,1037.83,False
109,1068.67,False
110,1081.22,False
111,1086.22,False
112,1096.52,False
113,1104.8,False
114,1110.97,False
115,1117.25,False
116,1121.34,False
117,1126.12,False
118,1130.63,False
119,1140.28,False
120,1141.56,False
121,1164.5,False
122,1164.96,False
123,1169.04,False
124,1177.55,False
125,1194.31,False
126,1201.91,False
127,1210.7,False
128,1214.16,False
129,1218.0,False
130,1226.13,False
131,1229.47,False
132,1238.39,False
133,1254.07,False
134,1258.22,False
135,1266.99,False
136,1273.53,False
137,1277.85,False
138,1282.01,False
139,1288.93,False
140,1296.64,False
141,1310.12,False
142,1317.09,False
143,1319.71,False
144,1325.81,False
145,1330.38,False
146,1343.62,False
147,1344.83,False
148,1367.18,False
149,1370.54,False
150,1373.94,False
151,1389.58,False
152,1393.19,False
153,1402.1,False
154,1412.81,False
155,1415.54,False
156,1420.48,False
157,1430.75,False
158,1435.46,False
159,1450.58,False
160,1456.14,False
161,1456.79,False
162,1462.54,False
163,1465.33,False
164,1474.89,False
165,1474.99,False
