mode,frequency_cm-1,imaginary
1,12.29,False
2,18.69,False
3,25.38,False
4,25.95,False
5,34.85,False
6,39.79,False
7,53.19,False
8,54.55,False
9,60.32,False
10,62.96,False
11,65.56,False
12,70.08,False
13,78.28,False
14,82.43,False
15,84.65,False
16,96.27,False
17,103.67,False
18,108.8,False
19,118.97,False
20,125.59,False
21,131.07,False
22,140.24,False
23,149.12,False
24,158.2,False
25,172.9,False
26,176.84,False
27,196.27,False
28,201.07,False
29,234.9,False
30,239.04,False
31,254.01,False
32,261.06,False
33,290.55,False
34,294.99,False
35,301.29,False
36,323.33,False
37,345.47,False
38,354.58,False
39,376.49,False
40,377.71,False
41,387.31,False
42,394.44,False
43,408.43,False
44,415.21,False
45,446.69,False
46,452.15,False
47,476.86,False
48,491.16,False
49,522.72,False
50,532.82,False
51,565.21,False
52,578.78,False
53,601.75,False
54,614.26,False
55,614.59,False
56,640.22,False
57,672.08,False
58,689.89,False
59,720.18,False
60,728.13,False
61,763.92,False
62,772.56,False
63,792.31,False
64,805.78,False
65,810.17,False
66,863.02,False
67,871.54,False
68,882.35,False
69,893.78,False
70,906.93,False
71,920.97,False
72,924.31,False
73,929.89,False
74,939.02,False
75,976.41,False
76,992.12,False
77,995.47,False
78,1001.94,False
79,1010.08,False
80,1016.74,False
81,1019.33,False
82,1037.56,False
83,1073.56,False
84,1078.41,False
85,1089.57,False
86,1104.67,False
87,1108.81,False
88,1118.21,False
89,1130.18,False
90,1144.07,False
91,1156.75,False
92,1164.08,False
93,1195.96,False
94,1208.35,False
95,1218.54,False
96,1220.33,False
97,1222.19,False
98,1241.8,False
99,1253.99,False
100,1266.15,False
101,1280.76,False
102,1283.93,False
103,1285.95,False
104,1295.31,False
105,1313.27,False
106,1320.69,False
107,1342.71,False
108,1347.24,False
109,1374.68,False
110,1382.39,False
111,1393.15,False
112,1419.93,False
113,1423.92,False
114,1428.5,False
115,1433.77,False
116,1455.64,False
117,1462.52,False
118,1465.25,False
119,1476.5,False
120,1477.5,False
121,1484.27,False
122,1485.65,False
123,1496.06,False
124,1500.68,False
125,1504.64,False
126,1515.37,False
127,1549.9,False
128,1560.96,False
129,1577.4,False
130,1614.95,False
131,1636.32,False
132,1677.14,False
133,1710.0,False
134,1759.33,False
135,2809.98,False
136,2918.35,False
137,2959.98,False
138,2969.93,False
139,2970.72,False
140,2983.11,False
141,2989.75,False
142,2990.94,False
143,3000.44,False
144,3001.54,False
145,3020.56,False
146,3032.69,False
147,3032.91,False
148,3033.23,False
149,3038.74,False
150,3053.07,False
151,3058.32,False
152,3060.41,False
153,3063.92,False
154,3075.59,False
155,3080.15,False
156,3082.43,False
157,3088.93,False
158,3333.7,False
159,3367.45,False
160,3403.79,False
161,3441.86,False
162,3456.16,False
163,3533.64,False
164,3589.66,False
165,3664.59,False
