mode,frequency_cm-1,imaginary
1,3.98,False
2,11.03,False
3,22.49,False
4,28.67,False
5,32.66,False
6,36.15,False
7,46.05,False
8,48.17,False
9,55.13,False
10,59.92,False
11,68.53,False
12,72.23,False
13,79.01,False
14,85.83,False
15,88.21,False
16,104.93,False
17,107.14,False
18,109.53,False
19,120.67,False
20,122.55,False
21,125.31,False
22,143.62,False
23,158.74,False
24,168.28,False
25,176.46,False
26,182.88,False
27,190.07,False
28,200.88,False
29,209.23,False
30,230.86,False
31,233.49,False
32,245.22,False
33,263.49,False
34,293.16,False
35,309.84,False
36,311.62,False
37,349.64,False
38,365.76,False
39,372.16,False
40,377.47,False
41,386.83,False
42,396.65,False
43,411.92,False
44,419.74,False
45,433.65,False
46,470.89,False
47,484.49,False
48,506.59,False
49,517.64,False
50,536.93,False
51,577.82,False
52,586.32,False
53,598.23,False
54,615.05,False
55,632.25,False
56,647.57,False
57,652.84,False
58,687.51,False
59,705.44,False
60,721.23,False
61,736.33,False
62,759.14,False
63,785.74,False
64,788.73,False
65,808.95,False
66,852.44,False
67,865.98,False
68,883.8,False
69,889.81,False
70,904.62,False
71,916.06,False
72,921.2,False
73,923.77,False
74,936.1,False
75,937.44,False
76,1000.9,False
77,1004.29,False
78,1010.13,False
79,1019.89,False
80,1033.9,False
81,1035.41,False
82,1053.65,False
83,1088.67,False
84,1089.66,False
85,1105.23,False
86,1105.81,False
87,1113.77,False
88,1132.23,False
89,1143.01,False
90,1146.62,False
91,1163.44,False
92,1166.48,False
93,1199.09,False
94,1207.48,False
95,1216.31,False
96,1223.75,False
97,1225.88,False
98,1245.49,False
99,1258.44,False
100,1265.08,False
101,1280.81,False
102,1291.57,False
103,1293.87,False
104,1305.83,False
105,1324.64,False
106,1331.6,False
107,1345.88,False
108,1348.84,False
109,1376.85,False
110,1383.57,False
111,1392.49,False
112,1417.57,False
113,1429.65,False
114,1432.83,False
115,1441.39,False
116,1456.02,False
117,1456.99,False
118,1464.01,False
119,1467.03,False
120,1467.6,False
121,1486.34,False
122,1487.43,False
123,1492.71,False
124,1499.71,False
125,1502.35,False
126,1526.07,False
127,1542.93,False
128,1559.38,False
129,1576.02,False
130,1623.38,False
131,1652.83,False
132,1691.76,False
133,1708.08,False
134,1746.64,False
135,2848.64,False
136,2945.09,False
137,2957.0,False
138,2969.44,False
139,2975.28,False
140,2988.29,False
141,2988.88,False
142,2990.73,False
143,2997.28,False
144,3008.67,False
145,3019.61,False
146,3028.04,False
147,3037.05,False
148,3041.13,False
149,3045.11,False
150,3052.63,False
151,3055.08,False
152,3056.35,False
153,3061.96,False
154,3068.07,False
155,3070.73,False
156,3077.23,False
157,3108.03,False
158,3229.05,False
159,3330.11,False
160,3383.43,False
161,3390.35,False
162,3415.82,False
163,3494.23,False
164,3652.38,False
165,3669.6,False
