mode,frequency_cm-1,imaginary
1,10.89,False
2,18.92,False
3,27.48,False
4,30.14,False
5,37.98,False
6,44.06,False
7,46.53,False
8,53.64,False
9,56.9,False
10,59.23,False
11,64.17,False
12,72.6,False
13,79.52,False
14,81.25,False
15,86.14,False
16,98.09,False
17,101.03,False
18,111.62,False
19,120.9,False
20,125.42,False
21,135.71,False
22,155.67,False
23,166.68,False
24,172.75,False
25,177.46,False
26,194.77,False
27,200.13,False
28,214.28,False
29,239.53,False
30,261.45,False
31,274.36,False
32,281.84,False
33,289.06,False
34,291.47,False
35,303.05,False
36,325.5,False
37,340.79,False
38,353.54,False
39,381.01,False
40,385.33,False
41,397.1,False
42,415.0,False
43,419.46,False
44,443.8,False
45,449.21,False
46,475.54,False
47,486.28,False
48,488.93,False
49,525.23,False
50,535.65,False
51,577.63,False
52,602.27,False
53,612.2,False
54,616.88,False
55,643.85,False
56,672.77,False
57,692.45,False
58,723.88,False
59,728.21,False
60,759.04,False
61,761.42,False
62,786.66,False
63,792.67,False
64,810.43,False
65,833.84,False
66,867.45,False
67,869.88,False
68,882.58,False
69,893.9,False
70,908.49,False
71,922.97,False
72,924.14,False
73,929.11,False
74,939.86,False
75,975.74,False
76,992.51,False
77,995.79,False
78,1002.13,False
79,1010.64,False
80,1019.76,False
81,1035.7,False
82,1054.76,False
83,1076.0,False
84,1079.01,False
85,1089.89,False
86,1104.63,False
87,1109.72,False
88,1118.31,False
89,1131.1,False
90,1145.23,False
91,1159.08,False
92,1165.3,False
93,1196.74,False
94,1209.27,False
95,1219.91,False
96,1221.96,False
97,1222.96,False
98,1241.16,False
99,1252.63,False
100,1266.86,False
101,1282.21,False
102,1286.56,False
103,1286.96,False
104,1298.88,False
105,1312.87,False
106,1321.01,False
107,1345.03,False
108,1347.88,False
109,1374.08,False
110,1385.32,False
111,1392.89,False
112,1419.72,False
113,1423.62,False
114,1431.03,False
115,1433.92,False
116,1455.55,False
117,1462.85,False
118,1465.78,False
119,1474.78,False
120,1478.53,False
121,1480.0,False
122,1484.63,False
123,1494.68,False
124,1501.52,False
125,1504.83,False
126,1514.26,False
127,1537.93,False
128,1557.8,False
129,1578.65,False
130,1615.83,False
131,1640.28,False
132,1685.59,False
133,1710.21,False
134,1757.97,False
135,2796.05,False
136,2914.6,False
137,2961.37,False
138,2969.59,False
139,2972.3,False
140,2983.77,False
141,2989.27,False
142,2990.95,False
143,2999.32,False
144,2999.74,False
145,3022.39,False
146,3031.73,False
147,3031.98,False
148,3032.45,False
149,3037.97,False
150,3052.31,False
151,3055.09,False
152,3064.9,False
153,3067.27,False
154,3069.09,False
155,3076.15,False
156,3084.59,False
157,3105.21,False
158,3169.91,False
159,3278.54,False
160,3316.98,False
161,3326.43,False
162,3452.64,False
163,3470.59,False
164,3661.16,False
165,3665.43,False
