mode,frequency_cm-1,imaginary
1,9.87,False
2,18.18,False
3,23.2,False
4,27.29,False
5,32.72,False
6,36.33,False
7,42.24,False
8,46.16,False
9,50.72,False
10,56.52,False
11,57.32,False
12,60.39,False
13,69.09,False
14,76.58,False
15,80.49,False
16,92.42,False
17,103.88,False
18,119.54,False
19,123.96,False
20,136.29,False
21,146.66,False
22,154.92,False
23,167.06,False
24,175.06,False
25,182.47,False
26,189.69,False
27,196.43,False
28,201.3,False
29,221.31,False
30,227.88,False
31,239.07,False
32,242.87,False
33,246.99,False
34,289.56,False
35,294.73,False
36,297.8,False
37,315.71,False
38,341.61,False
39,352.93,False
40,377.47,False
41,386.42,False
42,401.05,False
43,406.8,False
44,411.36,False
45,419.06,False
46,451.02,False
47,458.72,False
48,469.92,False
49,504.98,False
50,518.49,False
51,555.3,False
52,584.47,False
53,599.64,False
54,609.68,False
55,641.43,False
56,644.82,False
57,652.95,False
58,673.4,False
59,684.43,False
60,707.95,False
61,726.43,False
62,761.31,False
63,773.85,False
64,781.73,False
65,792.72,False
66,818.17,False
67,861.32,False
68,868.3,False
69,878.98,False
70,892.34,False
71,898.59,False
72,909.25,False
73,921.83,False
74,932.96,False
75,935.21,False
76,981.08,False
77,997.83,False
78,1006.38,False
79,1010.69,False
80,1015.48,False
81,1032.62,False
82,1033.8,False
83,1077.62,False
84,1089.1,False
85,1105.07,False
86,1106.53,False
87,1115.98,False
88,1130.03,False
89,1138.75,False
90,1139.14,False
91,1160.93,False
92,1164.52,False
93,1187.12,False
94,1204.52,False
95,1212.3,False
96,1216.96,False
97,1217.68,False
98,1237.2,False
99,1245.92,False
100,1262.0,False
101,1266.61,False
102,1271.78,False
103,1281.75,False
104,1289.3,False
105,1292.66,False
106,1309.86,False
107,1327.86,False
108,1342.36,False
109,1356.68,False
110,1382.27,False
111,1393.05,False
112,1413.17,False
113,1416.31,False
114,1420.39,False
115,1435.46,False
116,1458.32,False
117,1462.93,False
118,1464.13,False
119,1474.05,False
120,1476.17,False
121,1483.81,False
122,1485.24,False
123,1495.14,False
124,1500.85,False
125,1505.51,False
126,1529.75,False
127,1545.39,False
128,1567.61,False
129,1568.69,False
130,1600.24,False
131,1645.88,False
132,1676.68,False
133,1711.52,False
134,1760.86,False
135,2907.28,False
136,2956.84,False
137,2968.66,False
138,2970.33,False
139,2986.93,False
140,2988.67,False
141,2996.49,False
142,2996.85,False
143,3003.57,False
144,3005.39,False
145,3015.17,False
146,3029.2,False
147,3032.85,False
148,3033.81,False
149,3035.75,False
150,3040.3,False
151,3042.51,False
152,3064.42,False
153,3065.47,False
154,3071.73,False
155,3083.68,False
156,3085.44,False
157,3101.48,False
158,3113.35,False
159,3240.1,False
160,3342.82,False
161,3352.63,False
162,3460.7,False
163,3659.17,False
164,3667.73,False
165,3669.52,False
