mode,frequency_cm-1,imaginary
1,-9.63,True
2,11.29,False
3,17.53,False
4,21.55,False
5,26.59,False
6,32.08,False
7,38.19,False
8,43.57,False
9,51.31,False
10,58.79,False
11,67.14,False
12,72.31,False
13,79.35,False
14,85.51,False
15,90.6,False
16,95.64,False
17,111.16,False
18,125.29,False
19,130.68,False
20,149.19,False
21,159.49,False
22,169.27,False
23,173.97,False
24,184.67,False
25,194.45,False
26,211.82,False
27,227.46,False
28,231.53,False
29,237.37,False
30,270.16,False
31,284.83,False
32,291.56,False
33,294.82,False
34,304.46,False
35,306.27,False
36,321.46,False
37,359.41,False
38,367.87,False
39,379.86,False
40,391.23,False
41,410.21,False
42,416.06,False
43,440.47,False
44,449.56,False
45,468.58,False
46,490.49,False
47,498.77,False
48,524.86,False
49,534.87,False
50,566.39,False
51,579.0,False
52,593.1,False
53,603.14,False
54,624.24,False
55,648.48,False
56,672.25,False
57,680.74,False
58,695.12,False
59,726.63,False
60,758.2,False
61,771.74,False
62,781.68,False
63,803.63,False
64,805.91,False
65,860.62,False
66,863.61,False
67,870.93,False
68,892.24,False
69,907.45,False
70,922.25,False
71,932.6,False
72,938.35,False
73,945.1,False
74,975.6,False
75,992.77,False
76,1004.68,False
77,1010.43,False
78,1013.55,False
79,1036.35,False
80,1044.86,False
81,1077.8,False
82,1080.28,False
83,1090.24,False
84,1104.9,False
85,1114.62,False
86,1120.15,False
87,1125.55,False
88,1132.14,False
89,1146.85,False
90,1149.39,False
91,1165.73,False
92,1201.34,False
93,1211.9,False
94,1215.0,False
95,1221.04,False
96,1222.6,False
97,1234.38,False
98,1252.0,False
99,1254.35,False
100,1266.16,False
101,1270.83,False
102,1283.15,False
103,1285.33,False
104,1295.2,False
105,1300.34,False
106,1310.69,False
107,1327.2,False
108,1343.1,False
109,1347.09,False
110,1359.69,False
111,1371.78,False
112,1381.87,False
113,1392.85,False
114,1416.52,False
115,1421.57,False
116,1435.26,False
117,1437.86,False
118,1457.34,False
119,1463.02,False
120,1467.85,False
121,1476.03,False
122,1477.63,False
123,1485.03,False
124,1496.17,False
125,1503.03,False
126,1505.89,False
127,1508.08,False
128,1527.28,False
129,1549.42,False
130,1576.91,False
131,1616.6,False
132,1717.77,False
133,1733.75,False
134,1758.62,False
135,2785.08,False
136,2913.13,False
137,2947.51,False
138,2969.33,False
139,2971.0,False
140,2981.97,False
141,2987.38,False
142,2988.51,False
143,2990.15,False
144,2998.82,False
145,3024.52,False
146,3030.86,False
147,3031.1,False
148,3031.59,False
149,3034.2,False
150,3039.25,False
151,3052.96,False
152,3055.09,False
153,3067.19,False
154,3068.33,False
155,3078.44,False
156,3084.13,False
157,3139.11,False
158,3151.29,False
159,3311.86,False
160,3373.8,False
161,3448.62,False
162,3450.99,False
163,3456.79,False
164,3641.91,False
165,3660.48,False
