atom_index,atomic_number,element,covCN,charge,C6AA,alpha
1,7,N,1.835,-0.236,27.026,7.704
2,6,C,2.931,0.078,26.252,8.403
3,6,C,2.92,-0.05,29.247,8.869
4,6,C,2.924,-0.039,28.959,8.825
5,6,C,2.97,0.002,27.967,8.674
6,6,C,2.924,-0.044,29.082,8.844
7,6,C,2.922,-0.051,29.26,8.871
8,6,C,3.812,-0.07,21.821,6.649
9,6,C,3.797,0.02,20.237,6.406
10,6,C,2.856,0.081,26.185,8.387
11,6,C,2.893,-0.05,29.233,8.865
12,6,C,2.899,-0.015,28.379,8.735
13,6,C,3.807,-0.061,21.67,6.627
14,6,C,3.802,-0.05,21.471,6.597
15,6,C,3.752,-0.104,22.557,6.773
16,8,O,1.609,-0.607,25.346,6.795
17,8,O,1.608,-0.609,25.411,6.804
18,1,H,0.803,0.315,0.678,1.293
19,1,H,0.804,0.309,0.695,1.309
20,1,H,0.926,0.055,2.262,2.352
21,1,H,0.926,0.034,2.531,2.488
22,1,H,0.925,0.024,2.666,2.553
23,1,H,0.926,0.032,2.558,2.501
24,1,H,0.924,0.061,2.187,2.313
25,1,H,0.924,0.06,2.199,2.319
26,1,H,0.924,0.061,2.183,2.31
27,1,H,0.86,0.181,1.209,1.723
28,1,H,0.86,0.207,1.072,1.622
29,1,H,0.925,0.064,2.157,2.297
30,1,H,0.925,0.044,2.396,2.421
31,1,H,0.925,0.052,2.293,2.368
32,1,H,0.924,0.058,2.228,2.334
33,1,H,0.924,0.044,2.397,2.421
34,1,H,0.924,0.031,2.567,2.506
35,1,H,0.924,0.036,2.508,2.476
36,1,H,0.925,0.037,2.491,2.468
37,1,H,0.925,0.038,2.481,2.463
38,1,H,0.925,0.037,2.485,2.465
39,1,H,0.806,0.276,0.799,1.404
40,1,H,0.803,0.321,0.661,1.277
41,8,O,1.608,-0.603,25.248,6.782
42,1,H,0.805,0.273,0.808,1.412
43,1,H,0.806,0.278,0.789,1.396
44,7,N,2.692,-0.183,24.969,7.421
45,6,C,2.753,0.264,22.554,7.777
46,8,O,0.858,-0.436,22.411,6.347
47,6,C,3.757,-0.143,23.307,6.883
48,6,C,2.749,0.277,22.311,7.734
49,8,O,0.859,-0.455,22.81,6.403
50,1,H,0.925,0.057,2.235,2.338
51,1,H,0.925,0.059,2.211,2.325
52,1,H,0.925,0.073,2.052,2.24
53,7,N,2.686,-0.177,24.827,7.4
54,6,C,3.69,-0.042,21.522,6.639
55,1,H,0.924,0.053,2.287,2.365
56,1,H,0.924,0.049,2.329,2.387
57,1,H,0.925,0.082,1.957,2.188
