mode,frequency_cm-1,imaginary
1,10.01,False
2,13.88,False
3,18.68,False
4,22.07,False
5,24.89,False
6,29.34,False
7,33.3,False
8,39.36,False
9,43.48,False
10,51.36,False
11,54.85,False
12,61.73,False
13,67.93,False
14,68.44,False
15,81.85,False
16,88.11,False
17,89.09,False
18,98.58,False
19,119.27,False
20,126.56,False
21,151.75,False
22,159.6,False
23,165.93,False
24,169.69,False
25,177.56,False
26,188.35,False
27,197.56,False
28,206.34,False
29,210.53,False
30,233.2,False
31,240.2,False
32,250.84,False
33,256.11,False
34,277.2,False
35,291.89,False
36,292.44,False
37,313.47,False
38,332.05,False
39,352.88,False
40,357.1,False
41,378.16,False
42,391.19,False
43,405.26,False
44,416.46,False
45,419.81,False
46,438.97,False
47,439.94,False
48,465.09,False
49,507.8,False
50,515.32,False
51,553.21,False
52,579.0,False
53,600.69,False
54,609.81,False
55,626.45,False
56,645.76,False
57,660.24,False
58,689.07,False
59,698.49,False
60,707.56,False
61,726.97,False
62,733.29,False
63,770.59,False
64,779.38,False
65,789.63,False
66,819.46,False
67,866.55,False
68,875.42,False
69,876.16,False
70,893.89,False
71,901.34,False
72,915.61,False
73,927.53,False
74,934.4,False
75,937.17,False
76,975.05,False
77,992.45,False
78,1004.01,False
79,1008.18,False
80,1015.68,False
81,1036.53,False
82,1038.32,False
83,1077.48,False
84,1089.29,False
85,1104.86,False
86,1109.1,False
87,1118.67,False
88,1130.66,False
89,1138.99,False
90,1139.7,False
91,1160.34,False
92,1164.73,False
93,1189.13,False
94,1208.74,False
95,1210.66,False
96,1212.36,False
97,1221.58,False
98,1232.04,False
99,1246.17,False
100,1259.03,False
101,1264.91,False
102,1273.2,False
103,1282.06,False
104,1286.46,False
105,1294.63,False
106,1313.2,False
107,1328.69,False
108,1347.49,False
109,1364.89,False
110,1372.86,False
111,1393.02,False
112,1413.46,False
113,1416.63,False
114,1421.46,False
115,1434.78,False
116,1457.69,False
117,1462.74,False
118,1467.66,False
119,1468.37,False
120,1477.83,False
121,1483.58,False
122,1484.68,False
123,1494.85,False
124,1502.47,False
125,1504.73,False
126,1532.94,False
127,1545.43,False
128,1564.84,False
129,1567.52,False
130,1598.65,False
131,1649.69,False
132,1679.02,False
133,1718.25,False
134,1758.85,False
135,2914.44,False
136,2944.26,False
137,2970.3,False
138,2971.29,False
139,2982.9,False
140,2989.12,False
141,2989.92,False
142,2991.26,False
143,3001.57,False
144,3022.02,False
145,3025.69,False
146,3028.82,False
147,3031.1,False
148,3033.1,False
149,3035.35,False
150,3040.44,False
151,3054.4,False
152,3056.41,False
153,3067.14,False
154,3067.4,False
155,3076.37,False
156,3085.86,False
157,3094.93,False
158,3108.95,False
159,3262.5,False
160,3316.28,False
161,3394.85,False
162,3456.57,False
163,3647.37,False
164,3661.8,False
165,3664.69,False
