mode,frequency_cm-1,imaginary
1,6.5,False
2,15.72,False
3,19.25,False
4,20.75,False
5,26.23,False
6,35.47,False
7,38.32,False
8,41.91,False
9,44.49,False
10,53.65,False
11,56.84,False
12,57.65,False
13,60.74,False
14,67.36,False
15,71.78,False
16,77.25,False
17,81.44,False
18,90.55,False
19,91.62,False
20,96.74,False
21,108.11,False
22,113.63,False
23,115.86,False
24,125.1,False
25,127.2,False
26,131.95,False
27,138.25,False
28,149.58,False
29,152.55,False
30,157.38,False
31,161.67,False
32,176.17,False
33,184.08,False
34,187.85,False
35,189.21,False
36,218.62,False
37,226.43,False
38,240.59,False
39,248.15,False
40,253.9,False
41,271.2,False
42,280.1,False
43,288.07,False
44,289.38,False
45,305.32,False
46,311.73,False
47,324.02,False
48,329.45,False
49,339.62,False
50,360.87,False
51,376.08,False
52,383.62,False
53,398.32,False
54,418.1,False
55,420.17,False
56,427.27,False
57,430.67,False
58,456.06,False
59,468.02,False
60,485.87,False
61,505.11,False
62,511.23,False
63,517.29,False
64,530.72,False
65,540.64,False
66,545.48,False
67,547.69,False
68,578.06,False
69,585.38,False
70,594.82,False
71,599.95,False
72,608.91,False
73,632.12,False
74,632.49,False
75,647.06,False
76,655.48,False
77,680.29,False
78,693.52,False
79,707.55,False
80,721.65,False
81,772.31,False
82,772.94,False
83,784.41,False
84,814.61,False
85,853.82,False
86,856.36,False
87,861.21,False
88,865.99,False
89,866.99,False
90,871.75,False
91,891.76,False
92,894.69,False
93,900.81,False
94,913.16,False
95,918.23,False
96,921.88,False
97,924.13,False
98,926.02,False
99,931.94,False
100,946.27,False
101,972.83,False
102,978.74,False
103,997.22,False
104,1000.94,False
105,1003.97,False
106,1018.33,False
107,1025.47,False
108,1048.66,False
109,1066.3,False
110,1073.83,False
111,1074.32,False
112,1086.48,False
113,1100.29,False
114,1105.42,False
115,1107.36,False
116,1109.32,False
117,1114.97,False
118,1126.03,False
119,1127.07,False
120,1133.18,False
121,1142.44,False
122,1147.69,False
123,1156.71,False
124,1163.66,False
125,1177.31,False
126,1187.11,False
127,1190.64,False
128,1191.37,False
129,1192.23,False
130,1204.76,False
131,1208.94,False
132,1210.5,False
133,1213.13,False
134,1226.64,False
135,1231.91,False
136,1252.63,False
137,1254.03,False
138,1258.33,False
139,1267.09,False
140,1273.57,False
141,1277.12,False
142,1279.99,False
143,1287.15,False
144,1297.53,False
145,1306.06,False
146,1321.58,False
147,1330.25,False
148,1340.88,False
149,1363.74,False
150,1370.67,False
151,1380.83,False
152,1382.52,False
153,1393.44,False
154,1403.29,False
155,1406.65,False
156,1412.82,False
157,1415.95,False
158,1426.99,False
159,1451.83,False
160,1462.54,False
161,1466.42,False
162,1468.24,False
163,1475.72,False
164,1477.87,False
165,1478.22,False
