mode,frequency_cm-1,imaginary
1,-5.68,True
2,8.54,False
3,13.69,False
4,17.05,False
5,20.21,False
6,28.12,False
7,39.5,False
8,42.67,False
9,44.93,False
10,48.49,False
11,54.7,False
12,61.85,False
13,67.83,False
14,69.38,False
15,73.97,False
16,84.76,False
17,88.11,False
18,93.91,False
19,96.85,False
20,100.91,False
21,106.01,False
22,109.83,False
23,117.28,False
24,126.56,False
25,134.59,False
26,137.29,False
27,143.25,False
28,144.8,False
29,149.04,False
30,154.42,False
31,183.24,False
32,184.76,False
33,195.76,False
34,206.84,False
35,208.78,False
36,232.2,False
37,235.46,False
38,237.62,False
39,250.53,False
40,254.32,False
41,286.95,False
42,294.6,False
43,300.38,False
44,301.25,False
45,327.54,False
46,352.4,False
47,361.73,False
48,376.03,False
49,391.09,False
50,398.49,False
51,409.55,False
52,413.46,False
53,417.97,False
54,441.83,False
55,463.14,False
56,471.63,False
57,479.09,False
58,489.12,False
59,499.04,False
60,505.28,False
61,513.22,False
62,518.05,False
63,534.49,False
64,547.67,False
65,563.61,False
66,576.96,False
67,592.1,False
68,594.23,False
69,612.57,False
70,613.02,False
71,647.58,False
72,652.73,False
73,654.43,False
74,665.04,False
75,691.42,False
76,707.59,False
77,716.68,False
78,719.85,False
79,749.77,False
80,768.21,False
81,771.79,False
82,773.96,False
83,790.08,False
84,795.87,False
85,828.74,False
86,862.83,False
87,864.27,False
88,865.81,False
89,866.65,False
90,870.07,False
91,893.91,False
92,896.39,False
93,897.52,False
94,918.23,False
95,919.26,False
96,923.22,False
97,932.0,False
98,935.87,False
99,939.5,False
100,967.95,False
101,984.75,False
102,994.86,False
103,995.31,False
104,1004.97,False
105,1006.98,False
106,1012.38,False
107,1018.07,False
108,1020.66,False
109,1021.58,False
110,1035.23,False
111,1048.65,False
112,1064.7,False
113,1066.6,False
114,1092.21,False
115,1093.51,False
116,1107.23,False
117,1115.49,False
118,1116.22,False
119,1133.49,False
120,1134.21,False
121,1140.24,False
122,1140.94,False
123,1145.51,False
124,1170.99,False
125,1173.2,False
126,1178.39,False
127,1194.82,False
128,1198.58,False
129,1200.67,False
130,1209.06,False
131,1213.43,False
132,1223.32,False
133,1232.15,False
134,1235.79,False
135,1246.92,False
136,1257.11,False
137,1266.39,False
138,1274.66,False
139,1282.67,False
140,1293.38,False
141,1294.0,False
142,1301.48,False
143,1310.67,False
144,1312.69,False
145,1327.29,False
146,1336.03,False
147,1356.78,False
148,1360.5,False
149,1365.61,False
150,1377.67,False
151,1379.43,False
152,1394.05,False
153,1402.13,False
154,1410.93,False
155,1414.78,False
156,1428.96,False
157,1436.36,False
158,1438.76,False
159,1447.92,False
160,1449.64,False
161,1460.76,False
162,1467.93,False
163,1468.71,False
164,1469.41,False
165,1472.02,False
