mode,frequency_cm-1,imaginary
1,5.65,False
2,16.43,False
3,19.39,False
4,20.91,False
5,26.03,False
6,36.53,False
7,38.93,False
8,44.49,False
9,44.92,False
10,54.81,False
11,56.42,False
12,57.64,False
13,61.61,False
14,69.17,False
15,71.92,False
16,77.0,False
17,82.62,False
18,90.23,False
19,91.49,False
20,96.95,False
21,108.65,False
22,113.81,False
23,119.55,False
24,124.82,False
25,127.64,False
26,132.34,False
27,137.98,False
28,149.13,False
29,152.29,False
30,156.56,False
31,161.37,False
32,173.63,False
33,184.05,False
34,187.45,False
35,189.16,False
36,219.11,False
37,225.62,False
38,240.88,False
39,248.9,False
40,252.03,False
41,270.87,False
42,280.52,False
43,288.28,False
44,289.32,False
45,307.03,False
46,312.09,False
47,324.68,False
48,328.74,False
49,339.95,False
50,362.06,False
51,376.32,False
52,383.61,False
53,398.13,False
54,419.97,False
55,420.86,False
56,428.27,False
57,430.97,False
58,455.74,False
59,468.27,False
60,485.98,False
61,505.11,False
62,509.28,False
63,516.4,False
64,530.5,False
65,540.54,False
66,545.56,False
67,546.52,False
68,577.97,False
69,584.98,False
70,594.74,False
71,599.83,False
72,609.03,False
73,631.83,False
74,632.39,False
75,646.67,False
76,654.58,False
77,679.84,False
78,693.51,False
79,707.89,False
80,721.63,False
81,772.06,False
82,772.9,False
83,784.92,False
84,815.19,False
85,853.03,False
86,856.46,False
87,861.16,False
88,866.11,False
89,866.82,False
90,871.76,False
91,891.77,False
92,894.88,False
93,900.71,False
94,912.97,False
95,918.17,False
96,921.87,False
97,923.91,False
98,925.66,False
99,932.23,False
100,946.31,False
101,973.42,False
102,978.14,False
103,997.26,False
104,1001.16,False
105,1003.63,False
106,1018.43,False
107,1024.95,False
108,1049.03,False
109,1066.3,False
110,1073.8,False
111,1074.32,False
112,1087.41,False
113,1100.2,False
114,1105.24,False
115,1107.39,False
116,1108.97,False
117,1115.19,False
118,1126.16,False
119,1126.86,False
120,1133.21,False
121,1142.43,False
122,1147.67,False
123,1156.48,False
124,1163.83,False
125,1177.35,False
126,1187.21,False
127,1190.88,False
128,1191.5,False
129,1192.32,False
130,1204.62,False
131,1208.87,False
132,1210.45,False
133,1213.06,False
134,1226.75,False
135,1231.36,False
136,1252.63,False
137,1253.99,False
138,1258.79,False
139,1266.49,False
140,1273.73,False
141,1277.26,False
142,1279.95,False
143,1287.38,False
144,1298.03,False
145,1305.41,False
146,1321.53,False
147,1330.37,False
148,1341.19,False
149,1362.91,False
150,1370.77,False
151,1380.86,False
152,1382.63,False
153,1393.46,False
154,1403.52,False
155,1406.66,False
156,1412.84,False
157,1415.92,False
158,1426.6,False
159,1451.49,False
160,1462.56,False
161,1466.43,False
162,1468.28,False
163,1475.44,False
164,1478.0,False
165,1478.45,False
