atom_index,atomic_number,element,covCN,charge,C6AA,alpha
1,7,N,2.652,-0.266,26.9,7.703
2,6,C,2.9,0.075,26.313,8.411
3,6,C,2.923,-0.059,29.465,8.902
4,6,C,2.924,-0.038,28.949,8.823
5,6,C,2.971,-0.004,28.127,8.699
6,6,C,2.924,-0.043,29.07,8.842
7,6,C,2.922,-0.062,29.539,8.913
8,6,C,3.812,-0.07,21.825,6.65
9,6,C,3.797,0.02,20.244,6.407
10,6,C,2.777,0.209,23.571,7.952
11,6,C,2.89,-0.064,29.602,8.92
12,6,C,2.896,-0.003,28.094,8.69
13,6,C,3.808,-0.061,21.669,6.627
14,6,C,3.802,-0.046,21.391,6.585
15,6,C,3.753,-0.111,22.68,6.791
16,8,O,0.856,-0.43,22.298,6.331
17,8,O,1.61,-0.6,25.187,6.773
18,1,H,0.86,0.202,1.094,1.639
19,1,H,0.86,0.194,1.135,1.669
20,1,H,0.926,0.033,2.542,2.493
21,1,H,0.926,0.032,2.56,2.502
22,1,H,0.925,0.026,2.643,2.542
23,1,H,0.926,0.03,2.582,2.513
24,1,H,0.924,0.061,2.185,2.312
25,1,H,0.924,0.059,2.211,2.325
26,1,H,0.924,0.062,2.181,2.309
27,1,H,0.86,0.182,1.204,1.719
28,1,H,0.86,0.205,1.083,1.63
29,1,H,0.923,0.016,2.797,2.615
30,1,H,0.926,0.037,2.491,2.468
31,1,H,0.925,0.062,2.175,2.306
32,1,H,0.924,0.054,2.274,2.358
33,1,H,0.924,0.047,2.36,2.402
34,1,H,0.924,0.031,2.577,2.51
35,1,H,0.924,0.032,2.556,2.5
36,1,H,0.925,0.035,2.513,2.479
37,1,H,0.925,0.034,2.534,2.489
38,1,H,0.925,0.063,2.166,2.302
39,1,H,0.805,0.291,0.748,1.358
40,1,H,0.805,0.299,0.724,1.336
41,8,O,1.609,-0.607,25.367,6.798
42,1,H,0.804,0.32,0.664,1.28
43,1,H,0.806,0.276,0.797,1.402
44,7,N,2.692,-0.181,24.92,7.414
45,6,C,2.753,0.263,22.556,7.777
46,8,O,0.858,-0.434,22.366,6.341
47,6,C,3.757,-0.141,23.278,6.879
48,6,C,2.749,0.277,22.313,7.735
49,8,O,0.859,-0.462,22.956,6.424
50,1,H,0.925,0.052,2.29,2.366
51,1,H,0.925,0.063,2.163,2.3
52,1,H,0.925,0.074,2.037,2.232
53,7,N,2.686,-0.177,24.824,7.4
54,6,C,3.69,-0.043,21.53,6.64
55,1,H,0.924,0.053,2.285,2.364
56,1,H,0.924,0.05,2.325,2.385
57,1,H,0.925,0.083,1.95,2.184
