mode,frequency_cm-1,imaginary
1,11.58,False
2,16.3,False
3,22.2,False
4,26.16,False
5,33.63,False
6,38.97,False
7,51.9,False
8,54.43,False
9,59.98,False
10,64.35,False
11,66.76,False
12,72.55,False
13,76.35,False
14,83.87,False
15,84.76,False
16,94.53,False
17,98.47,False
18,105.87,False
19,117.72,False
20,125.55,False
21,132.37,False
22,142.71,False
23,157.41,False
24,165.12,False
25,170.77,False
26,177.03,False
27,192.05,False
28,200.46,False
29,234.38,False
30,238.65,False
31,243.13,False
32,261.85,False
33,290.65,False
34,292.57,False
35,300.86,False
36,324.4,False
37,343.37,False
38,353.71,False
39,375.02,False
40,379.55,False
41,388.06,False
42,392.83,False
43,406.36,False
44,417.02,False
45,445.8,False
46,446.96,False
47,476.91,False
48,490.16,False
49,529.35,False
50,534.42,False
51,558.37,False
52,578.46,False
53,601.53,False
54,613.97,False
55,618.73,False
56,639.86,False
57,671.86,False
58,690.34,False
59,721.44,False
60,728.16,False
61,759.75,False
62,762.4,False
63,791.64,False
64,794.12,False
65,808.35,False
66,862.58,False
67,872.07,False
68,882.48,False
69,893.41,False
70,906.8,False
71,920.83,False
72,921.43,False
73,929.41,False
74,939.76,False
75,976.7,False
76,991.82,False
77,996.28,False
78,1002.04,False
79,1010.32,False
80,1013.09,False
81,1018.61,False
82,1036.67,False
83,1074.29,False
84,1077.82,False
85,1089.59,False
86,1104.61,False
87,1109.38,False
88,1117.54,False
89,1130.06,False
90,1143.94,False
91,1157.72,False
92,1163.54,False
93,1196.03,False
94,1208.3,False
95,1218.81,False
96,1220.52,False
97,1222.19,False
98,1240.05,False
99,1253.81,False
100,1266.19,False
101,1280.65,False
102,1284.35,False
103,1285.97,False
104,1297.09,False
105,1313.35,False
106,1321.36,False
107,1342.67,False
108,1347.96,False
109,1375.21,False
110,1385.23,False
111,1393.13,False
112,1419.24,False
113,1424.04,False
114,1428.64,False
115,1433.62,False
116,1455.99,False
117,1462.52,False
118,1465.5,False
119,1474.68,False
120,1477.76,False
121,1484.25,False
122,1486.68,False
123,1495.12,False
124,1500.8,False
125,1504.22,False
126,1516.83,False
127,1550.07,False
128,1559.17,False
129,1577.11,False
130,1615.56,False
131,1638.22,False
132,1679.34,False
133,1708.98,False
134,1759.57,False
135,2806.06,False
136,2917.76,False
137,2957.53,False
138,2969.86,False
139,2970.3,False
140,2984.07,False
141,2990.96,False
142,2991.25,False
143,3000.92,False
144,3004.22,False
145,3019.7,False
146,3032.29,False
147,3032.84,False
148,3034.96,False
149,3039.17,False
150,3053.59,False
151,3058.07,False
152,3058.9,False
153,3062.68,False
154,3074.5,False
155,3079.74,False
156,3084.27,False
157,3087.74,False
158,3334.45,False
159,3369.93,False
160,3405.85,False
161,3450.53,False
162,3456.24,False
163,3548.44,False
164,3571.14,False
165,3662.05,False
