mode,frequency_cm-1,imaginary
1,3.02,False
2,8.48,False
3,13.41,False
4,17.31,False
5,18.74,False
6,21.39,False
7,25.08,False
8,28.78,False
9,33.29,False
10,37.9,False
11,43.38,False
12,48.07,False
13,51.85,False
14,57.68,False
15,59.34,False
16,63.93,False
17,69.06,False
18,74.68,False
19,79.09,False
20,81.84,False
21,86.62,False
22,89.8,False
23,92.53,False
24,97.83,False
25,104.29,False
26,106.81,False
27,116.37,False
28,125.18,False
29,131.11,False
30,141.62,False
31,149.96,False
32,156.67,False
33,160.07,False
34,168.56,False
35,170.89,False
36,183.94,False
37,185.42,False
38,199.83,False
39,203.97,False
40,219.37,False
41,220.8,False
42,234.8,False
43,236.55,False
44,239.98,False
45,268.6,False
46,281.48,False
47,289.57,False
48,291.59,False
49,294.8,False
50,312.5,False
51,325.95,False
52,331.64,False
53,357.73,False
54,370.88,False
55,383.82,False
56,386.8,False
57,409.91,False
58,413.56,False
59,434.26,False
60,448.43,False
61,453.01,False
62,472.89,False
63,489.52,False
64,495.65,False
65,501.99,False
66,525.39,False
67,528.88,False
68,554.06,False
69,578.64,False
70,585.83,False
71,594.62,False
72,603.83,False
73,606.02,False
74,628.44,False
75,643.91,False
76,649.97,False
77,656.61,False
78,668.93,False
79,693.08,False
80,697.56,False
81,702.82,False
82,720.58,False
83,728.43,False
84,769.49,False
85,770.4,False
86,782.71,False
87,800.25,False
88,806.68,False
89,861.85,False
90,864.3,False
91,865.51,False
92,867.0,False
93,874.7,False
94,895.0,False
95,896.64,False
96,909.57,False
97,918.78,False
98,922.51,False
99,925.24,False
100,930.02,False
101,949.37,False
102,975.21,False
103,990.22,False
104,993.23,False
105,997.17,False
106,1004.38,False
107,1008.8,False
108,1017.25,False
109,1037.0,False
110,1039.25,False
111,1065.33,False
112,1077.41,False
113,1079.05,False
114,1104.93,False
115,1105.01,False
116,1114.81,False
117,1118.9,False
118,1119.57,False
119,1132.19,False
120,1137.98,False
121,1143.0,False
122,1161.71,False
123,1164.97,False
124,1168.31,False
125,1174.9,False
126,1196.89,False
127,1201.34,False
128,1212.1,False
129,1221.41,False
130,1225.36,False
131,1225.78,False
132,1229.26,False
133,1238.39,False
134,1254.19,False
135,1260.74,False
136,1273.08,False
137,1283.27,False
138,1288.43,False
139,1294.18,False
140,1300.99,False
141,1312.1,False
142,1318.93,False
143,1319.57,False
144,1331.47,False
145,1335.54,False
146,1355.38,False
147,1364.2,False
148,1367.47,False
149,1372.62,False
150,1392.55,False
151,1395.05,False
152,1408.65,False
153,1409.34,False
154,1417.23,False
155,1421.92,False
156,1435.27,False
157,1450.11,False
158,1455.0,False
159,1457.6,False
160,1463.39,False
161,1467.97,False
162,1469.05,False
163,1472.6,False
164,1479.02,False
165,1485.35,False
