mode,frequency_cm-1,imaginary
1,-5.93,True
2,9.17,False
3,10.83,False
4,14.06,False
5,16.41,False
6,26.16,False
7,28.4,False
8,31.95,False
9,38.25,False
10,43.61,False
11,51.78,False
12,57.91,False
13,58.42,False
14,64.19,False
15,70.12,False
16,71.7,False
17,78.95,False
18,85.4,False
19,93.06,False
20,95.69,False
21,96.33,False
22,107.86,False
23,112.94,False
24,115.02,False
25,122.27,False
26,126.28,False
27,128.19,False
28,129.61,False
29,136.52,False
30,151.89,False
31,155.35,False
32,168.04,False
33,172.86,False
34,183.58,False
35,202.37,False
36,218.15,False
37,229.68,False
38,234.59,False
39,243.97,False
40,257.52,False
41,265.65,False
42,269.48,False
43,272.61,False
44,290.59,False
45,292.11,False
46,296.63,False
47,315.96,False
48,328.93,False
49,336.79,False
50,354.69,False
51,369.55,False
52,374.42,False
53,394.68,False
54,408.42,False
55,417.1,False
56,420.88,False
57,437.87,False
58,449.16,False
59,459.52,False
60,475.39,False
61,482.96,False
62,488.61,False
63,493.16,False
64,507.84,False
65,526.16,False
66,529.56,False
67,552.28,False
68,555.03,False
69,555.74,False
70,583.59,False
71,596.61,False
72,605.67,False
73,613.07,False
74,624.58,False
75,655.73,False
76,659.2,False
77,675.95,False
78,682.05,False
79,695.76,False
80,702.28,False
81,726.26,False
82,734.25,False
83,742.48,False
84,769.61,False
85,773.74,False
86,786.37,False
87,806.75,False
88,818.45,False
89,863.23,False
90,864.46,False
91,865.46,False
92,875.22,False
93,890.57,False
94,894.36,False
95,896.01,False
96,916.6,False
97,918.76,False
98,923.97,False
99,926.24,False
100,928.75,False
101,948.76,False
102,979.98,False
103,990.72,False
104,1000.41,False
105,1003.27,False
106,1008.88,False
107,1012.62,False
108,1022.73,False
109,1023.51,False
110,1034.96,False
111,1066.53,False
112,1070.95,False
113,1081.08,False
114,1101.75,False
115,1106.26,False
116,1107.56,False
117,1118.12,False
118,1123.17,False
119,1126.0,False
120,1138.92,False
121,1142.03,False
122,1155.35,False
123,1161.65,False
124,1170.14,False
125,1174.9,False
126,1191.56,False
127,1195.03,False
128,1199.91,False
129,1212.95,False
130,1219.05,False
131,1220.35,False
132,1224.14,False
133,1239.53,False
134,1247.06,False
135,1264.94,False
136,1267.71,False
137,1273.26,False
138,1283.54,False
139,1294.66,False
140,1302.87,False
141,1308.2,False
142,1317.11,False
143,1321.22,False
144,1329.17,False
145,1331.14,False
146,1352.84,False
147,1365.01,False
148,1366.66,False
149,1376.01,False
150,1393.56,False
151,1396.15,False
152,1398.58,False
153,1409.06,False
154,1416.38,False
155,1419.87,False
156,1425.87,False
157,1446.91,False
158,1449.07,False
159,1450.26,False
160,1461.95,False
161,1465.28,False
162,1473.58,False
163,1474.74,False
164,1479.51,False
165,1482.13,False
