mode,frequency_cm-1,imaginary
1,15.21,False
2,17.7,False
3,24.37,False
4,25.17,False
5,34.07,False
6,39.75,False
7,50.82,False
8,55.26,False
9,59.37,False
10,61.85,False
11,64.75,False
12,70.32,False
13,77.09,False
14,82.97,False
15,85.36,False
16,94.43,False
17,103.75,False
18,107.89,False
19,119.72,False
20,125.67,False
21,131.88,False
22,142.56,False
23,152.7,False
24,157.81,False
25,174.23,False
26,178.57,False
27,197.22,False
28,202.34,False
29,235.63,False
30,239.06,False
31,252.21,False
32,261.61,False
33,290.75,False
34,298.24,False
35,302.4,False
36,324.34,False
37,345.86,False
38,355.98,False
39,377.32,False
40,381.76,False
41,391.52,False
42,395.91,False
43,412.48,False
44,417.33,False
45,444.81,False
46,455.64,False
47,477.86,False
48,491.79,False
49,528.22,False
50,534.37,False
51,573.01,False
52,578.45,False
53,601.41,False
54,614.36,False
55,621.52,False
56,637.07,False
57,671.89,False
58,689.46,False
59,720.63,False
60,727.96,False
61,767.56,False
62,775.19,False
63,792.36,False
64,807.51,False
65,814.96,False
66,862.84,False
67,872.66,False
68,882.59,False
69,894.78,False
70,907.03,False
71,921.14,False
72,927.84,False
73,931.14,False
74,938.48,False
75,977.19,False
76,992.11,False
77,994.25,False
78,1001.89,False
79,1011.08,False
80,1015.6,False
81,1018.92,False
82,1036.85,False
83,1073.62,False
84,1078.32,False
85,1089.65,False
86,1104.66,False
87,1108.06,False
88,1118.11,False
89,1129.81,False
90,1143.91,False
91,1155.28,False
92,1163.18,False
93,1195.7,False
94,1207.62,False
95,1217.8,False
96,1220.94,False
97,1221.76,False
98,1242.61,False
99,1254.85,False
100,1266.62,False
101,1280.33,False
102,1283.51,False
103,1286.53,False
104,1294.8,False
105,1312.62,False
106,1320.2,False
107,1342.18,False
108,1346.49,False
109,1375.19,False
110,1381.89,False
111,1393.18,False
112,1419.75,False
113,1424.0,False
114,1428.35,False
115,1433.59,False
116,1455.43,False
117,1462.48,False
118,1465.29,False
119,1477.35,False
120,1478.06,False
121,1484.21,False
122,1485.7,False
123,1496.92,False
124,1500.49,False
125,1504.75,False
126,1514.91,False
127,1551.08,False
128,1560.1,False
129,1577.61,False
130,1614.7,False
131,1635.32,False
132,1676.09,False
133,1708.7,False
134,1759.34,False
135,2807.25,False
136,2920.14,False
137,2961.59,False
138,2971.56,False
139,2971.76,False
140,2981.8,False
141,2990.26,False
142,2990.34,False
143,2999.5,False
144,3000.62,False
145,3019.14,False
146,3032.52,False
147,3033.53,False
148,3037.16,False
149,3037.61,False
150,3050.65,False
151,3058.9,False
152,3060.71,False
153,3062.26,False
154,3075.74,False
155,3080.73,False
156,3083.43,False
157,3088.86,False
158,3339.92,False
159,3363.45,False
160,3392.02,False
161,3435.58,False
162,3456.77,False
163,3531.09,False
164,3589.01,False
165,3665.21,False
