mode,frequency_cm-1,imaginary
1,-5.42,True
2,9.23,False
3,22.38,False
4,27.89,False
5,31.73,False
6,35.26,False
7,45.06,False
8,47.71,False
9,52.71,False
10,59.42,False
11,68.77,False
12,72.3,False
13,79.5,False
14,84.52,False
15,87.39,False
16,102.52,False
17,107.28,False
18,110.11,False
19,119.04,False
20,121.31,False
21,126.67,False
22,142.15,False
23,158.2,False
24,168.51,False
25,176.13,False
26,182.8,False
27,191.95,False
28,200.8,False
29,209.64,False
30,230.26,False
31,233.32,False
32,244.64,False
33,261.4,False
34,293.85,False
35,309.83,False
36,311.62,False
37,349.34,False
38,365.27,False
39,373.09,False
40,377.88,False
41,386.43,False
42,396.45,False
43,411.34,False
44,420.49,False
45,435.09,False
46,470.99,False
47,486.53,False
48,506.61,False
49,517.54,False
50,536.84,False
51,576.3,False
52,585.21,False
53,595.67,False
54,614.98,False
55,633.19,False
56,648.02,False
57,653.05,False
58,687.77,False
59,711.89,False
60,721.77,False
61,736.53,False
62,764.41,False
63,785.97,False
64,788.96,False
65,809.04,False
66,852.3,False
67,866.2,False
68,883.8,False
69,891.24,False
70,904.71,False
71,916.34,False
72,921.42,False
73,924.12,False
74,936.21,False
75,936.75,False
76,1000.55,False
77,1005.44,False
78,1009.64,False
79,1019.78,False
80,1031.95,False
81,1035.58,False
82,1054.64,False
83,1088.73,False
84,1089.86,False
85,1104.3,False
86,1105.65,False
87,1114.14,False
88,1132.54,False
89,1143.07,False
90,1146.55,False
91,1162.66,False
92,1166.45,False
93,1199.1,False
94,1207.97,False
95,1216.89,False
96,1225.74,False
97,1225.99,False
98,1245.67,False
99,1258.33,False
100,1264.85,False
101,1280.96,False
102,1291.72,False
103,1292.8,False
104,1305.86,False
105,1324.7,False
106,1331.8,False
107,1345.8,False
108,1347.37,False
109,1376.08,False
110,1383.1,False
111,1392.7,False
112,1417.3,False
113,1429.27,False
114,1433.09,False
115,1441.88,False
116,1456.49,False
117,1460.4,False
118,1463.88,False
119,1466.91,False
120,1467.35,False
121,1486.71,False
122,1487.14,False
123,1492.54,False
124,1499.31,False
125,1502.07,False
126,1525.94,False
127,1542.8,False
128,1558.79,False
129,1575.95,False
130,1623.49,False
131,1653.91,False
132,1693.12,False
133,1709.64,False
134,1747.2,False
135,2847.89,False
136,2950.29,False
137,2958.26,False
138,2967.64,False
139,2975.6,False
140,2986.89,False
141,2988.42,False
142,2990.72,False
143,2998.3,False
144,3008.7,False
145,3019.77,False
146,3027.89,False
147,3037.46,False
148,3041.06,False
149,3044.91,False
150,3052.21,False
151,3054.86,False
152,3056.07,False
153,3061.0,False
154,3067.67,False
155,3070.62,False
156,3076.96,False
157,3107.2,False
158,3228.45,False
159,3327.91,False
160,3380.09,False
161,3386.4,False
162,3418.88,False
163,3493.38,False
164,3651.57,False
165,3674.71,False
