mode,frequency_cm-1,imaginary
1,-11.68,True
2,11.89,False
3,18.45,False
4,28.11,False
5,29.11,False
6,34.94,False
7,46.3,False
8,52.26,False
9,53.51,False
10,56.88,False
11,64.53,False
12,66.25,False
13,73.27,False
14,81.8,False
15,85.3,False
16,96.94,False
17,102.66,False
18,112.43,False
19,123.07,False
20,125.81,False
21,151.8,False
22,160.85,False
23,172.48,False
24,182.06,False
25,185.02,False
26,190.38,False
27,195.51,False
28,211.52,False
29,233.75,False
30,242.07,False
31,262.75,False
32,280.59,False
33,285.84,False
34,291.37,False
35,302.6,False
36,324.47,False
37,339.0,False
38,352.0,False
39,364.59,False
40,380.21,False
41,383.2,False
42,400.46,False
43,414.56,False
44,418.05,False
45,442.27,False
46,444.67,False
47,475.97,False
48,486.8,False
49,518.85,False
50,533.08,False
51,577.74,False
52,602.09,False
53,614.13,False
54,642.65,False
55,650.09,False
56,672.25,False
57,692.09,False
58,719.1,False
59,726.59,False
60,728.17,False
61,752.8,False
62,773.72,False
63,791.33,False
64,808.37,False
65,814.42,False
66,865.89,False
67,869.87,False
68,882.95,False
69,893.3,False
70,908.03,False
71,920.96,False
72,922.24,False
73,929.23,False
74,939.64,False
75,975.86,False
76,992.42,False
77,995.82,False
78,1002.03,False
79,1008.79,False
80,1019.12,False
81,1035.53,False
82,1057.85,False
83,1072.27,False
84,1078.94,False
85,1089.82,False
86,1104.56,False
87,1109.54,False
88,1118.04,False
89,1130.83,False
90,1145.08,False
91,1158.63,False
92,1165.02,False
93,1196.81,False
94,1209.01,False
95,1219.24,False
96,1222.21,False
97,1223.03,False
98,1238.19,False
99,1252.99,False
100,1265.89,False
101,1281.99,False
102,1284.6,False
103,1287.03,False
104,1295.19,False
105,1315.12,False
106,1322.99,False
107,1345.47,False
108,1347.85,False
109,1374.51,False
110,1382.49,False
111,1392.86,False
112,1419.48,False
113,1423.89,False
114,1431.53,False
115,1433.79,False
116,1455.77,False
117,1462.77,False
118,1465.76,False
119,1474.28,False
120,1478.62,False
121,1482.0,False
122,1484.54,False
123,1494.85,False
124,1501.42,False
125,1504.31,False
126,1516.23,False
127,1542.11,False
128,1550.85,False
129,1577.65,False
130,1617.1,False
131,1643.88,False
132,1694.47,False
133,1709.2,False
134,1758.26,False
135,2783.51,False
136,2915.07,False
137,2958.7,False
138,2969.58,False
139,2970.06,False
140,2983.84,False
141,2989.9,False
142,2991.49,False
143,2999.88,False
144,3003.52,False
145,3020.81,False
146,3031.66,False
147,3032.49,False
148,3032.8,False
149,3038.21,False
150,3051.37,False
151,3056.04,False
152,3061.12,False
153,3063.57,False
154,3068.66,False
155,3074.42,False
156,3081.31,False
157,3098.84,False
158,3235.65,False
159,3298.68,False
160,3319.59,False
161,3410.93,False
162,3451.24,False
163,3473.25,False
164,3652.84,False
165,3663.73,False
