mode,frequency_cm-1,imaginary
1,13.09,False
2,18.21,False
3,27.48,False
4,29.87,False
5,33.99,False
6,39.17,False
7,48.76,False
8,54.77,False
9,60.15,False
10,61.92,False
11,71.34,False
12,76.87,False
13,81.09,False
14,84.43,False
15,89.55,False
16,98.87,False
17,109.37,False
18,117.26,False
19,125.18,False
20,129.5,False
21,139.43,False
22,154.92,False
23,157.53,False
24,171.41,False
25,182.77,False
26,193.2,False
27,205.01,False
28,212.05,False
29,229.36,False
30,240.05,False
31,262.97,False
32,289.62,False
33,290.7,False
34,296.48,False
35,301.54,False
36,330.78,False
37,349.37,False
38,355.66,False
39,382.75,False
40,387.29,False
41,393.59,False
42,406.18,False
43,415.49,False
44,435.85,False
45,443.8,False
46,449.78,False
47,477.36,False
48,488.37,False
49,532.01,False
50,567.08,False
51,577.28,False
52,602.05,False
53,613.57,False
54,626.72,False
55,642.71,False
56,673.12,False
57,675.14,False
58,692.83,False
59,725.64,False
60,728.09,False
61,756.69,False
62,779.24,False
63,791.49,False
64,809.76,False
65,841.22,False
66,864.73,False
67,869.85,False
68,883.36,False
69,892.91,False
70,908.95,False
71,921.91,False
72,923.01,False
73,928.81,False
74,940.31,False
75,975.43,False
76,992.02,False
77,997.36,False
78,1002.33,False
79,1009.86,False
80,1018.87,False
81,1033.74,False
82,1048.23,False
83,1074.11,False
84,1077.11,False
85,1089.53,False
86,1104.63,False
87,1110.19,False
88,1116.9,False
89,1130.51,False
90,1144.53,False
91,1160.17,False
92,1164.09,False
93,1196.27,False
94,1209.11,False
95,1219.74,False
96,1222.49,False
97,1222.81,False
98,1239.04,False
99,1252.32,False
100,1265.71,False
101,1281.91,False
102,1284.94,False
103,1287.46,False
104,1296.15,False
105,1312.34,False
106,1322.86,False
107,1342.67,False
108,1348.13,False
109,1374.27,False
110,1382.47,False
111,1393.04,False
112,1418.61,False
113,1423.63,False
114,1430.09,False
115,1433.76,False
116,1457.1,False
117,1462.61,False
118,1466.11,False
119,1472.67,False
120,1478.42,False
121,1481.68,False
122,1484.4,False
123,1493.52,False
124,1501.42,False
125,1504.41,False
126,1514.6,False
127,1548.1,False
128,1552.06,False
129,1576.94,False
130,1615.27,False
131,1636.04,False
132,1677.72,False
133,1710.45,False
134,1759.35,False
135,2804.64,False
136,2913.97,False
137,2956.0,False
138,2970.44,False
139,2970.78,False
140,2986.23,False
141,2990.92,False
142,2991.96,False
143,3003.56,False
144,3008.69,False
145,3022.44,False
146,3030.15,False
147,3030.49,False
148,3032.56,False
149,3039.86,False
150,3050.84,False
151,3056.07,False
152,3057.51,False
153,3064.58,False
154,3070.47,False
155,3075.09,False
156,3082.25,False
157,3095.0,False
158,3221.23,False
159,3313.72,False
160,3322.08,False
161,3453.81,False
162,3460.34,False
163,3466.98,False
164,3574.12,False
165,3666.94,False
