atom_index,atomic_number,element,covCN,charge,C6AA,alpha
1,7,N,2.649,-0.278,27.182,7.743
2,6,C,2.9,0.077,26.289,8.407
3,6,C,2.923,-0.059,29.459,8.901
4,6,C,2.924,-0.038,28.947,8.823
5,6,C,2.97,-0.005,28.136,8.701
6,6,C,2.924,-0.044,29.09,8.845
7,6,C,2.922,-0.063,29.571,8.918
8,6,C,3.812,-0.07,21.828,6.65
9,6,C,3.796,0.02,20.239,6.406
10,6,C,2.775,0.209,23.578,7.953
11,6,C,2.89,-0.064,29.587,8.918
12,6,C,2.896,-0.001,28.043,8.683
13,6,C,3.807,-0.061,21.664,6.626
14,6,C,3.802,-0.046,21.402,6.586
15,6,C,3.753,-0.11,22.67,6.79
16,8,O,0.856,-0.426,22.198,6.317
17,8,O,1.609,-0.608,25.372,6.798
18,1,H,0.859,0.217,1.022,1.584
19,1,H,0.86,0.169,1.276,1.77
20,1,H,0.926,0.04,2.452,2.449
21,1,H,0.926,0.031,2.565,2.505
22,1,H,0.925,0.023,2.69,2.565
23,1,H,0.925,0.024,2.669,2.555
24,1,H,0.924,0.062,2.18,2.309
25,1,H,0.924,0.058,2.218,2.329
26,1,H,0.924,0.06,2.197,2.318
27,1,H,0.86,0.183,1.195,1.713
28,1,H,0.86,0.206,1.078,1.626
29,1,H,0.923,0.011,2.874,2.651
30,1,H,0.926,0.037,2.496,2.47
31,1,H,0.925,0.064,2.153,2.294
32,1,H,0.924,0.056,2.25,2.346
33,1,H,0.924,0.046,2.369,2.407
34,1,H,0.924,0.032,2.553,2.499
35,1,H,0.924,0.033,2.544,2.494
36,1,H,0.925,0.036,2.508,2.476
37,1,H,0.925,0.033,2.542,2.493
38,1,H,0.925,0.062,2.177,2.308
39,1,H,0.803,0.319,0.667,1.283
40,1,H,0.806,0.275,0.802,1.407
41,8,O,1.609,-0.595,25.061,6.756
42,1,H,0.805,0.297,0.729,1.341
43,1,H,0.804,0.312,0.687,1.302
44,7,N,2.692,-0.182,24.936,7.417
45,6,C,2.753,0.264,22.552,7.776
46,8,O,0.858,-0.434,22.375,6.342
47,6,C,3.757,-0.141,23.274,6.878
48,6,C,2.749,0.277,22.317,7.735
49,8,O,0.859,-0.462,22.956,6.424
50,1,H,0.925,0.051,2.307,2.375
51,1,H,0.925,0.063,2.159,2.298
52,1,H,0.925,0.074,2.042,2.234
53,7,N,2.686,-0.177,24.839,7.402
54,6,C,3.69,-0.043,21.526,6.64
55,1,H,0.924,0.053,2.285,2.364
56,1,H,0.924,0.049,2.33,2.387
57,1,H,0.925,0.082,1.954,2.186
