mode,frequency_cm-1,imaginary
1,12.58,False
2,17.85,False
3,26.71,False
4,28.44,False
5,32.7,False
6,39.04,False
7,46.92,False
8,55.4,False
9,58.29,False
10,62.95,False
11,68.08,False
12,78.22,False
13,80.65,False
14,83.83,False
15,91.6,False
16,100.21,False
17,108.33,False
18,118.15,False
19,123.98,False
20,130.09,False
21,137.45,False
22,157.48,False
23,157.65,False
24,170.64,False
25,182.14,False
26,194.01,False
27,205.22,False
28,212.04,False
29,229.02,False
30,240.42,False
31,262.15,False
32,290.75,False
33,292.65,False
34,297.73,False
35,303.74,False
36,328.42,False
37,348.5,False
38,356.3,False
39,381.63,False
40,388.46,False
41,394.16,False
42,408.89,False
43,419.55,False
44,438.66,False
45,441.54,False
46,451.6,False
47,478.58,False
48,489.05,False
49,533.1,False
50,569.91,False
51,577.16,False
52,602.01,False
53,613.08,False
54,619.99,False
55,641.07,False
56,666.39,False
57,673.87,False
58,692.29,False
59,725.56,False
60,727.77,False
61,759.66,False
62,779.38,False
63,791.87,False
64,809.69,False
65,843.14,False
66,864.72,False
67,870.56,False
68,883.25,False
69,893.61,False
70,908.51,False
71,922.16,False
72,924.63,False
73,930.79,False
74,939.69,False
75,976.68,False
76,992.71,False
77,996.58,False
78,1001.88,False
79,1009.68,False
80,1018.89,False
81,1033.16,False
82,1045.9,False
83,1073.76,False
84,1077.68,False
85,1089.71,False
86,1104.52,False
87,1109.3,False
88,1117.68,False
89,1130.32,False
90,1144.29,False
91,1159.27,False
92,1163.36,False
93,1196.19,False
94,1208.78,False
95,1219.77,False
96,1221.25,False
97,1222.28,False
98,1240.27,False
99,1253.46,False
100,1265.94,False
101,1281.98,False
102,1285.35,False
103,1286.14,False
104,1295.28,False
105,1312.51,False
106,1321.91,False
107,1342.17,False
108,1347.28,False
109,1375.66,False
110,1381.15,False
111,1393.06,False
112,1419.12,False
113,1423.84,False
114,1429.69,False
115,1433.85,False
116,1455.93,False
117,1462.6,False
118,1466.26,False
119,1474.69,False
120,1478.28,False
121,1481.09,False
122,1484.26,False
123,1494.73,False
124,1501.07,False
125,1504.23,False
126,1513.64,False
127,1548.39,False
128,1552.64,False
129,1576.92,False
130,1614.75,False
131,1636.26,False
132,1676.98,False
133,1706.64,False
134,1759.05,False
135,2803.18,False
136,2916.29,False
137,2959.16,False
138,2970.23,False
139,2970.76,False
140,2984.45,False
141,2991.41,False
142,2991.62,False
143,3001.67,False
144,3007.06,False
145,3019.76,False
146,3032.06,False
147,3032.49,False
148,3037.19,False
149,3039.26,False
150,3053.63,False
151,3053.95,False
152,3058.78,False
153,3059.32,False
154,3071.92,False
155,3076.75,False
156,3085.38,False
157,3095.14,False
158,3228.23,False
159,3323.69,False
160,3325.96,False
161,3452.74,False
162,3464.67,False
163,3475.5,False
164,3558.56,False
165,3667.3,False
