mode,frequency_cm-1,imaginary
1,4.29,False
2,9.48,False
3,12.25,False
4,19.59,False
5,22.04,False
6,28.14,False
7,32.29,False
8,38.4,False
9,39.46,False
10,45.7,False
11,51.06,False
12,52.99,False
13,62.46,False
14,64.21,False
15,69.7,False
16,72.19,False
17,73.79,False
18,87.79,False
19,91.55,False
20,98.05,False
21,106.07,False
22,122.35,False
23,125.1,False
24,126.13,False
25,141.76,False
26,144.16,False
27,150.95,False
28,164.99,False
29,168.71,False
30,174.62,False
31,186.99,False
32,190.35,False
33,196.93,False
34,222.86,False
35,233.94,False
36,237.42,False
37,240.07,False
38,252.22,False
39,270.22,False
40,287.2,False
41,289.28,False
42,291.72,False
43,304.21,False
44,313.27,False
45,322.01,False
46,349.21,False
47,361.18,False
48,379.48,False
49,385.76,False
50,398.39,False
51,411.23,False
52,415.35,False
53,423.29,False
54,444.41,False
55,446.76,False
56,454.56,False
57,464.21,False
58,471.11,False
59,481.94,False
60,489.17,False
61,494.57,False
62,525.76,False
63,531.71,False
64,542.3,False
65,553.34,False
66,580.31,False
67,594.51,False
68,601.68,False
69,613.54,False
70,625.18,False
71,628.27,False
72,640.76,False
73,646.34,False
74,656.85,False
75,688.1,False
76,696.97,False
77,704.38,False
78,725.0,False
79,751.72,False
80,763.35,False
81,774.49,False
82,788.17,False
83,812.79,False
84,816.37,False
85,859.92,False
86,864.36,False
87,869.71,False
88,870.52,False
89,871.97,False
90,879.93,False
91,893.95,False
92,902.67,False
93,912.21,False
94,921.32,False
95,924.38,False
96,927.07,False
97,934.69,False
98,952.88,False
99,977.88,False
100,991.47,False
101,991.8,False
102,998.05,False
103,1005.76,False
104,1006.08,False
105,1023.38,False
106,1028.53,False
107,1034.83,False
108,1037.45,False
109,1068.79,False
110,1081.84,False
111,1085.59,False
112,1096.35,False
113,1104.87,False
114,1109.58,False
115,1117.49,False
116,1121.27,False
117,1125.84,False
118,1131.07,False
119,1140.07,False
120,1142.35,False
121,1163.15,False
122,1164.37,False
123,1169.9,False
124,1177.53,False
125,1195.38,False
126,1201.91,False
127,1211.57,False
128,1214.72,False
129,1217.56,False
130,1225.83,False
131,1230.67,False
132,1238.13,False
133,1255.16,False
134,1259.66,False
135,1267.29,False
136,1274.31,False
137,1278.56,False
138,1282.92,False
139,1289.88,False
140,1297.21,False
141,1309.84,False
142,1316.83,False
143,1319.55,False
144,1325.41,False
145,1330.23,False
146,1344.3,False
147,1344.92,False
148,1367.14,False
149,1370.11,False
150,1373.48,False
151,1390.68,False
152,1393.26,False
153,1399.87,False
154,1412.29,False
155,1416.25,False
156,1420.35,False
157,1432.95,False
158,1435.78,False
159,1449.99,False
160,1456.66,False
161,1458.48,False
162,1462.54,False
163,1466.22,False
164,1474.83,False
165,1475.26,False
