mode,frequency_cm-1,imaginary
1,4.71,False
2,5.14,False
3,13.97,False
4,14.83,False
5,17.46,False
6,29.1,False
7,33.53,False
8,36.06,False
9,39.13,False
10,45.23,False
11,47.59,False
12,56.46,False
13,60.19,False
14,65.4,False
15,68.03,False
16,84.23,False
17,86.0,False
18,88.41,False
19,90.12,False
20,92.55,False
21,97.14,False
22,104.99,False
23,106.12,False
24,113.35,False
25,117.94,False
26,125.05,False
27,126.9,False
28,144.41,False
29,148.4,False
30,148.94,False
31,154.13,False
32,162.37,False
33,168.46,False
34,173.03,False
35,180.27,False
36,186.09,False
37,206.71,False
38,218.87,False
39,228.39,False
40,233.25,False
41,239.06,False
42,242.61,False
43,247.72,False
44,253.57,False
45,273.1,False
46,292.0,False
47,294.22,False
48,296.74,False
49,316.76,False
50,335.82,False
51,338.24,False
52,361.26,False
53,363.73,False
54,381.07,False
55,394.61,False
56,409.11,False
57,412.77,False
58,420.83,False
59,450.01,False
60,453.58,False
61,460.35,False
62,478.09,False
63,486.48,False
64,489.4,False
65,498.26,False
66,527.79,False
67,533.67,False
68,553.09,False
69,578.55,False
70,581.32,False
71,590.74,False
72,599.44,False
73,606.5,False
74,614.19,False
75,622.78,False
76,649.8,False
77,656.92,False
78,671.99,False
79,693.77,False
80,700.95,False
81,706.05,False
82,728.15,False
83,735.71,False
84,769.51,False
85,776.67,False
86,796.34,False
87,805.74,False
88,818.49,False
89,863.2,False
90,864.89,False
91,866.0,False
92,873.57,False
93,877.52,False
94,894.84,False
95,896.11,False
96,917.59,False
97,918.8,False
98,925.7,False
99,931.12,False
100,934.08,False
101,947.61,False
102,977.51,False
103,992.68,False
104,995.02,False
105,1005.91,False
106,1009.52,False
107,1012.74,False
108,1020.47,False
109,1034.52,False
110,1038.43,False
111,1067.61,False
112,1078.71,False
113,1079.91,False
114,1105.02,False
115,1105.68,False
116,1117.87,False
117,1118.03,False
118,1125.58,False
119,1131.3,False
120,1139.74,False
121,1142.42,False
122,1159.36,False
123,1163.23,False
124,1170.38,False
125,1175.01,False
126,1195.15,False
127,1198.07,False
128,1212.3,False
129,1219.2,False
130,1222.62,False
131,1223.81,False
132,1226.81,False
133,1243.63,False
134,1255.18,False
135,1266.1,False
136,1267.34,False
137,1283.19,False
138,1285.04,False
139,1288.08,False
140,1300.63,False
141,1308.94,False
142,1317.9,False
143,1322.86,False
144,1328.12,False
145,1332.23,False
146,1341.76,False
147,1363.43,False
148,1366.86,False
149,1375.77,False
150,1391.28,False
151,1392.89,False
152,1396.69,False
153,1410.71,False
154,1418.94,False
155,1421.15,False
156,1435.56,False
157,1442.15,False
158,1449.78,False
159,1459.18,False
160,1463.18,False
161,1468.3,False
162,1473.07,False
163,1477.65,False
164,1477.89,False
165,1485.31,False
