mode,frequency_cm-1,imaginary
1,-5.66,True
2,9.33,False
3,11.24,False
4,16.38,False
5,17.23,False
6,27.14,False
7,28.37,False
8,32.18,False
9,39.02,False
10,43.85,False
11,52.19,False
12,58.72,False
13,60.49,False
14,64.5,False
15,69.81,False
16,71.34,False
17,86.09,False
18,87.34,False
19,95.03,False
20,96.36,False
21,99.16,False
22,108.02,False
23,114.38,False
24,117.92,False
25,124.19,False
26,127.2,False
27,129.93,False
28,130.89,False
29,137.0,False
30,151.06,False
31,156.17,False
32,167.4,False
33,174.1,False
34,190.4,False
35,202.79,False
36,218.54,False
37,229.61,False
38,234.97,False
39,243.92,False
40,257.78,False
41,268.18,False
42,272.18,False
43,275.43,False
44,290.61,False
45,292.38,False
46,296.84,False
47,314.97,False
48,327.59,False
49,337.22,False
50,354.3,False
51,370.22,False
52,374.53,False
53,395.03,False
54,408.44,False
55,417.51,False
56,420.13,False
57,440.0,False
58,449.37,False
59,461.04,False
60,476.6,False
61,482.48,False
62,488.6,False
63,493.62,False
64,508.54,False
65,526.74,False
66,529.13,False
67,552.62,False
68,555.03,False
69,558.21,False
70,584.72,False
71,596.65,False
72,606.0,False
73,613.15,False
74,624.35,False
75,655.78,False
76,660.73,False
77,676.79,False
78,683.33,False
79,696.22,False
80,702.4,False
81,726.21,False
82,734.83,False
83,745.68,False
84,769.73,False
85,773.79,False
86,787.25,False
87,806.41,False
88,818.76,False
89,863.34,False
90,864.5,False
91,865.51,False
92,875.12,False
93,891.02,False
94,894.59,False
95,896.14,False
96,916.8,False
97,918.88,False
98,924.23,False
99,926.64,False
100,929.05,False
101,948.36,False
102,980.31,False
103,991.03,False
104,1001.26,False
105,1003.33,False
106,1008.45,False
107,1012.65,False
108,1022.63,False
109,1023.7,False
110,1034.89,False
111,1066.45,False
112,1070.43,False
113,1081.04,False
114,1101.22,False
115,1106.25,False
116,1107.48,False
117,1118.17,False
118,1122.69,False
119,1125.95,False
120,1138.86,False
121,1141.98,False
122,1154.96,False
123,1161.46,False
124,1170.28,False
125,1174.89,False
126,1191.9,False
127,1195.06,False
128,1199.78,False
129,1213.22,False
130,1219.34,False
131,1220.31,False
132,1224.1,False
133,1239.83,False
134,1247.43,False
135,1264.89,False
136,1267.55,False
137,1273.24,False
138,1283.88,False
139,1294.81,False
140,1302.52,False
141,1308.64,False
142,1316.9,False
143,1321.21,False
144,1328.68,False
145,1331.62,False
146,1352.54,False
147,1364.98,False
148,1366.49,False
149,1376.61,False
150,1393.72,False
151,1396.39,False
152,1397.9,False
153,1409.11,False
154,1416.56,False
155,1420.6,False
156,1426.06,False
157,1446.78,False
158,1448.82,False
159,1450.0,False
160,1461.96,False
161,1465.15,False
162,1473.43,False
163,1474.72,False
164,1480.15,False
165,1482.19,False
