mode,frequency_cm-1,imaginary
1,-3.01,True
2,10.09,False
3,22.37,False
4,28.68,False
5,32.41,False
6,35.95,False
7,45.6,False
8,48.27,False
9,55.26,False
10,59.97,False
11,68.69,False
12,72.16,False
13,79.11,False
14,85.36,False
15,88.09,False
16,104.16,False
17,107.03,False
18,108.53,False
19,120.55,False
20,122.97,False
21,125.73,False
22,143.57,False
23,159.0,False
24,168.31,False
25,175.9,False
26,182.82,False
27,190.44,False
28,200.89,False
29,209.24,False
30,230.83,False
31,233.36,False
32,245.12,False
33,262.92,False
34,293.44,False
35,309.81,False
36,311.62,False
37,349.55,False
38,365.72,False
39,371.84,False
40,377.11,False
41,385.95,False
42,396.82,False
43,411.92,False
44,419.4,False
45,433.77,False
46,470.87,False
47,484.79,False
48,506.6,False
49,518.04,False
50,537.37,False
51,577.85,False
52,586.46,False
53,597.65,False
54,615.02,False
55,630.14,False
56,647.33,False
57,652.63,False
58,687.51,False
59,705.11,False
60,721.1,False
61,735.83,False
62,760.01,False
63,785.57,False
64,788.8,False
65,808.91,False
66,852.52,False
67,865.98,False
68,883.79,False
69,889.95,False
70,904.61,False
71,916.15,False
72,921.37,False
73,923.83,False
74,936.17,False
75,937.34,False
76,1000.78,False
77,1004.77,False
78,1009.98,False
79,1019.85,False
80,1033.52,False
81,1035.46,False
82,1053.14,False
83,1088.66,False
84,1089.75,False
85,1105.22,False
86,1105.56,False
87,1113.86,False
88,1132.35,False
89,1142.91,False
90,1146.69,False
91,1163.33,False
92,1166.4,False
93,1198.98,False
94,1207.56,False
95,1216.55,False
96,1224.11,False
97,1225.82,False
98,1245.58,False
99,1258.49,False
100,1265.14,False
101,1280.71,False
102,1291.52,False
103,1293.8,False
104,1305.89,False
105,1324.79,False
106,1331.89,False
107,1345.91,False
108,1348.6,False
109,1376.72,False
110,1383.01,False
111,1392.52,False
112,1417.54,False
113,1429.75,False
114,1432.94,False
115,1441.29,False
116,1456.1,False
117,1457.41,False
118,1464.0,False
119,1467.12,False
120,1467.62,False
121,1486.33,False
122,1487.07,False
123,1492.65,False
124,1499.62,False
125,1502.27,False
126,1526.07,False
127,1542.82,False
128,1559.48,False
129,1575.98,False
130,1623.5,False
131,1653.04,False
132,1692.13,False
133,1708.35,False
134,1746.31,False
135,2848.61,False
136,2945.48,False
137,2957.56,False
138,2969.58,False
139,2975.26,False
140,2988.29,False
141,2988.41,False
142,2990.61,False
143,2997.56,False
144,3008.92,False
145,3019.7,False
146,3027.84,False
147,3037.16,False
148,3041.22,False
149,3045.14,False
150,3052.4,False
151,3054.84,False
152,3056.09,False
153,3061.41,False
154,3067.73,False
155,3070.57,False
156,3076.89,False
157,3107.99,False
158,3229.52,False
159,3329.83,False
160,3384.31,False
161,3391.02,False
162,3415.01,False
163,3495.22,False
164,3652.31,False
165,3669.33,False
