mode,frequency_cm-1,imaginary
1,-8.48,True
2,12.28,False
3,18.09,False
4,28.31,False
5,30.32,False
6,35.37,False
7,46.77,False
8,51.95,False
9,53.06,False
10,55.54,False
11,62.18,False
12,66.35,False
13,72.48,False
14,80.79,False
15,84.49,False
16,96.82,False
17,103.25,False
18,114.0,False
19,124.37,False
20,126.36,False
21,149.51,False
22,160.68,False
23,169.74,False
24,180.86,False
25,190.0,False
26,192.41,False
27,196.89,False
28,208.29,False
29,233.2,False
30,241.94,False
31,262.39,False
32,280.71,False
33,286.97,False
34,291.23,False
35,302.26,False
36,324.3,False
37,338.84,False
38,352.01,False
39,363.65,False
40,380.81,False
41,383.09,False
42,401.11,False
43,414.01,False
44,417.42,False
45,442.5,False
46,443.59,False
47,475.7,False
48,486.91,False
49,517.93,False
50,533.29,False
51,577.23,False
52,601.95,False
53,614.16,False
54,643.06,False
55,654.66,False
56,672.39,False
57,691.9,False
58,720.05,False
59,727.06,False
60,728.29,False
61,752.41,False
62,772.91,False
63,791.57,False
64,808.74,False
65,814.25,False
66,865.64,False
67,869.31,False
68,882.93,False
69,893.41,False
70,908.09,False
71,920.54,False
72,922.18,False
73,929.13,False
74,939.45,False
75,975.83,False
76,992.39,False
77,996.23,False
78,1001.93,False
79,1008.65,False
80,1019.03,False
81,1035.76,False
82,1058.47,False
83,1071.86,False
84,1079.02,False
85,1090.11,False
86,1104.65,False
87,1109.23,False
88,1118.38,False
89,1131.04,False
90,1144.96,False
91,1159.32,False
92,1165.31,False
93,1196.83,False
94,1209.05,False
95,1218.85,False
96,1222.68,False
97,1223.27,False
98,1238.93,False
99,1252.81,False
100,1265.53,False
101,1282.6,False
102,1284.6,False
103,1287.46,False
104,1293.96,False
105,1315.44,False
106,1323.67,False
107,1345.25,False
108,1347.61,False
109,1374.23,False
110,1381.31,False
111,1392.88,False
112,1419.8,False
113,1423.71,False
114,1431.53,False
115,1433.72,False
116,1455.6,False
117,1462.86,False
118,1465.76,False
119,1474.68,False
120,1478.8,False
121,1483.54,False
122,1484.52,False
123,1494.96,False
124,1501.39,False
125,1504.45,False
126,1516.6,False
127,1541.24,False
128,1550.67,False
129,1577.54,False
130,1617.05,False
131,1643.37,False
132,1695.14,False
133,1709.28,False
134,1757.76,False
135,2785.97,False
136,2914.32,False
137,2958.82,False
138,2969.61,False
139,2969.74,False
140,2983.99,False
141,2989.17,False
142,2991.02,False
143,2999.29,False
144,3003.45,False
145,3021.93,False
146,3031.81,False
147,3031.87,False
148,3033.55,False
149,3038.43,False
150,3050.66,False
151,3056.77,False
152,3059.96,False
153,3064.47,False
154,3068.03,False
155,3074.33,False
156,3081.76,False
157,3098.12,False
158,3233.13,False
159,3298.44,False
160,3317.94,False
161,3410.81,False
162,3451.79,False
163,3471.16,False
164,3655.09,False
165,3664.6,False
