mode,frequency_cm-1,imaginary
1,12.39,False
2,18.17,False
3,27.27,False
4,29.08,False
5,33.58,False
6,38.92,False
7,48.13,False
8,54.53,False
9,59.64,False
10,61.7,False
11,71.34,False
12,75.45,False
13,79.55,False
14,83.33,False
15,87.96,False
16,99.07,False
17,108.72,False
18,117.29,False
19,125.39,False
20,129.73,False
21,140.69,False
22,157.3,False
23,157.77,False
24,171.43,False
25,183.17,False
26,193.7,False
27,205.57,False
28,212.5,False
29,231.17,False
30,240.1,False
31,261.7,False
32,289.41,False
33,290.52,False
34,296.23,False
35,301.54,False
36,330.54,False
37,349.49,False
38,355.45,False
39,382.5,False
40,386.5,False
41,393.61,False
42,406.75,False
43,416.08,False
44,435.18,False
45,444.25,False
46,450.36,False
47,476.68,False
48,488.72,False
49,531.39,False
50,567.61,False
51,577.35,False
52,602.04,False
53,613.75,False
54,630.81,False
55,642.99,False
56,673.28,False
57,676.07,False
58,692.64,False
59,725.64,False
60,728.29,False
61,756.97,False
62,779.32,False
63,791.7,False
64,809.68,False
65,844.16,False
66,864.88,False
67,870.06,False
68,883.43,False
69,893.02,False
70,908.64,False
71,922.02,False
72,923.36,False
73,928.44,False
74,940.2,False
75,975.53,False
76,992.15,False
77,996.95,False
78,1002.44,False
79,1009.86,False
80,1018.92,False
81,1034.22,False
82,1049.65,False
83,1073.58,False
84,1077.37,False
85,1089.73,False
86,1104.6,False
87,1109.92,False
88,1116.97,False
89,1130.64,False
90,1144.68,False
91,1159.97,False
92,1164.36,False
93,1196.4,False
94,1209.14,False
95,1219.47,False
96,1222.66,False
97,1222.96,False
98,1239.3,False
99,1252.0,False
100,1265.73,False
101,1281.71,False
102,1285.04,False
103,1287.25,False
104,1295.55,False
105,1312.4,False
106,1322.53,False
107,1342.8,False
108,1348.08,False
109,1374.28,False
110,1381.51,False
111,1393.06,False
112,1418.98,False
113,1423.81,False
114,1430.09,False
115,1433.78,False
116,1457.09,False
117,1462.66,False
118,1466.22,False
119,1473.18,False
120,1478.57,False
121,1481.6,False
122,1484.37,False
123,1494.06,False
124,1501.27,False
125,1504.56,False
126,1514.32,False
127,1548.34,False
128,1551.21,False
129,1577.19,False
130,1615.27,False
131,1636.32,False
132,1678.19,False
133,1710.63,False
134,1759.34,False
135,2804.3,False
136,2913.93,False
137,2956.37,False
138,2969.86,False
139,2970.26,False
140,2985.55,False
141,2991.35,False
142,2991.79,False
143,3003.15,False
144,3008.18,False
145,3022.11,False
146,3030.85,False
147,3031.2,False
148,3032.4,False
149,3039.45,False
150,3051.35,False
151,3055.57,False
152,3056.9,False
153,3064.38,False
154,3070.54,False
155,3075.29,False
156,3082.21,False
157,3095.34,False
158,3218.55,False
159,3313.81,False
160,3322.26,False
161,3451.69,False
162,3454.07,False
163,3466.04,False
164,3577.47,False
165,3666.4,False
