mode,frequency_cm-1,imaginary
1,12.55,False
2,18.04,False
3,27.04,False
4,29.28,False
5,33.34,False
6,39.07,False
7,48.31,False
8,54.86,False
9,59.83,False
10,61.85,False
11,71.64,False
12,76.53,False
13,79.95,False
14,83.53,False
15,88.35,False
16,99.11,False
17,109.02,False
18,117.66,False
19,125.41,False
20,129.69,False
21,139.95,False
22,155.34,False
23,157.62,False
24,171.24,False
25,182.82,False
26,193.68,False
27,205.32,False
28,211.93,False
29,229.88,False
30,240.12,False
31,261.99,False
32,289.07,False
33,290.6,False
34,296.49,False
35,301.91,False
36,330.18,False
37,349.5,False
38,355.78,False
39,382.46,False
40,385.9,False
41,393.59,False
42,406.66,False
43,416.45,False
44,435.18,False
45,444.04,False
46,450.19,False
47,477.19,False
48,488.64,False
49,531.79,False
50,567.83,False
51,577.31,False
52,602.26,False
53,613.68,False
54,628.84,False
55,643.07,False
56,673.18,False
57,675.39,False
58,692.97,False
59,725.75,False
60,728.08,False
61,757.11,False
62,779.3,False
63,791.73,False
64,809.7,False
65,843.48,False
66,864.83,False
67,869.9,False
68,883.42,False
69,893.09,False
70,908.71,False
71,922.11,False
72,923.41,False
73,928.9,False
74,940.22,False
75,975.78,False
76,992.17,False
77,997.01,False
78,1002.36,False
79,1009.94,False
80,1018.91,False
81,1033.91,False
82,1048.67,False
83,1073.73,False
84,1077.27,False
85,1089.6,False
86,1104.66,False
87,1110.01,False
88,1117.14,False
89,1130.52,False
90,1144.57,False
91,1160.17,False
92,1164.08,False
93,1196.35,False
94,1209.23,False
95,1219.68,False
96,1222.51,False
97,1222.61,False
98,1239.26,False
99,1252.22,False
100,1265.76,False
101,1281.71,False
102,1285.02,False
103,1287.06,False
104,1295.62,False
105,1312.25,False
106,1322.5,False
107,1342.65,False
108,1348.04,False
109,1374.35,False
110,1381.97,False
111,1393.05,False
112,1418.99,False
113,1423.96,False
114,1430.04,False
115,1433.88,False
116,1456.94,False
117,1462.61,False
118,1466.13,False
119,1473.14,False
120,1478.57,False
121,1481.72,False
122,1484.41,False
123,1493.96,False
124,1501.29,False
125,1504.53,False
126,1514.28,False
127,1548.17,False
128,1551.39,False
129,1577.1,False
130,1615.15,False
131,1636.25,False
132,1677.83,False
133,1710.06,False
134,1759.27,False
135,2803.87,False
136,2914.31,False
137,2956.38,False
138,2969.94,False
139,2970.37,False
140,2985.43,False
141,2991.2,False
142,2991.82,False
143,3003.03,False
144,3008.08,False
145,3021.37,False
146,3030.73,False
147,3031.97,False
148,3032.57,False
149,3039.67,False
150,3051.58,False
151,3055.38,False
152,3056.94,False
153,3063.68,False
154,3070.75,False
155,3075.41,False
156,3082.41,False
157,3095.12,False
158,3220.99,False
159,3314.29,False
160,3321.54,False
161,3453.35,False
162,3457.15,False
163,3465.93,False
164,3576.57,False
165,3667.78,False
