protocol,step,role,status,energy_Eh,n_modes,imaginary_count,imaginary_frequencies,n_charges,optimized_xyz,energy_file,hessian_file,frequency_file,charge_file
GFN1_tight,RS1_1_to_TS1_2,RS,SUCCESS,-87.887880529004,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_charges.csv
GFN1_tight,RS1_1_to_TS1_2,TS,SUCCESS,-87.897278444238,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_charges.csv
GFN1_tight,RS1_1_to_TS1_2,PS,SUCCESS,-87.898593468573,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_charges.csv
GFN1_tight,TS1_2_to_PS1_2b,RS,SUCCESS,-87.899012319335,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_charges.csv
GFN1_tight,TS1_2_to_PS1_2b,TS,SUCCESS,-87.899016043718,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_charges.csv
GFN1_tight,TS1_2_to_PS1_2b,PS,FAILED,,,,,,,,,,
GFN1_tight,RS1_2b_to_PS1_3,RS,SUCCESS,-87.904282037996,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_charges.csv
GFN1_tight,RS1_2b_to_PS1_3,TS,FAILED,,,,,,,,,,
GFN1_tight,RS1_2b_to_PS1_3,PS,FAILED,,,,,,,,,,
GFN1_tight,RS2_1_to_TS2_1a,RS,FAILED,,,,,,,,,,
