protocol,step,role,energy_Eh,imaginary_count,n_modes,n_charges
GFN1_tight,RS1_1_to_TS1_2,RS,-87.887880529004,0.0,165.0,57.0
GFN1_tight,RS1_1_to_TS1_2,TS,-87.897278444238,0.0,165.0,57.0
GFN1_tight,RS1_1_to_TS1_2,PS,-87.898593468573,0.0,165.0,57.0
GFN1_tight,TS1_2_to_PS1_2b,RS,-87.899012319335,0.0,165.0,57.0
GFN1_tight,TS1_2_to_PS1_2b,TS,-87.899016043718,0.0,165.0,57.0
GFN1_tight,RS1_2b_to_PS1_3,RS,-87.904282037996,0.0,165.0,57.0
GFN1_tight,TS2_1a_to_PS2_2,RS,-114.990954323423,0.0,165.0,57.0
GFN1_tight,TS2_1a_to_PS2_2,TS,-114.994867578944,0.0,165.0,57.0
GFN1_tight,TS2_1a_to_PS2_2,PS,-115.025367463752,1.0,165.0,57.0
GFN2_tight,RS1_1_to_TS1_2,RS,-83.44078993101,1.0,165.0,57.0
GFN2_tight,RS1_1_to_TS1_2,TS,-83.438995226233,1.0,165.0,57.0
GFN2_tight,RS1_1_to_TS1_2,PS,-83.437279485881,0.0,165.0,57.0
GFN2_tight,TS1_2_to_PS1_2b,RS,-83.439227705245,0.0,165.0,57.0
GFN2_tight,TS1_2_to_PS1_2b,TS,-83.439178768455,0.0,165.0,57.0
GFN2_tight,TS2_1a_to_PS2_2,RS,-110.267326556795,0.0,165.0,57.0
GFN2_tight,TS2_1a_to_PS2_2,TS,-110.273360110611,1.0,165.0,57.0
GFN2_tight,TS2_1a_to_PS2_2,PS,-110.295016458273,0.0,165.0,57.0
GFN2_etemp300,RS1_1_to_TS1_2,RS,-83.440937540962,0.0,165.0,57.0
GFN2_etemp300,RS1_1_to_TS1_2,TS,-83.439043353752,1.0,165.0,57.0
GFN2_etemp300,RS1_1_to_TS1_2,PS,-83.437299426917,0.0,165.0,57.0
GFN2_etemp300,TS1_2_to_PS1_2b,RS,-83.439224479314,0.0,165.0,57.0
GFN2_etemp300,TS1_2_to_PS1_2b,TS,-83.439136596991,0.0,165.0,57.0
GFN2_etemp300,RS1_2b_to_PS1_3,TS,-83.43918466824,0.0,165.0,57.0
GFN2_etemp300,TS2_1a_to_PS2_2,RS,-110.267322842911,0.0,165.0,57.0
GFN2_etemp300,TS2_1a_to_PS2_2,TS,-110.273362002311,1.0,165.0,57.0
GFN2_etemp300,TS2_1a_to_PS2_2,PS,-110.29462616517,0.0,165.0,57.0
GFN2_etemp500,RS1_1_to_TS1_2,RS,-83.440822409853,0.0,165.0,57.0
GFN2_etemp500,RS1_1_to_TS1_2,TS,-83.440742414628,0.0,165.0,57.0
GFN2_etemp500,RS1_1_to_TS1_2,PS,-83.437298693201,0.0,165.0,57.0
GFN2_etemp500,TS1_2_to_PS1_2b,RS,-83.439221586655,0.0,165.0,57.0
GFN2_etemp500,TS1_2_to_PS1_2b,TS,-83.439178089921,0.0,165.0,57.0
GFN2_etemp500,TS1_2_to_PS1_2b,PS,-83.437178175878,0.0,165.0,57.0
GFN2_etemp500,RS1_2b_to_PS1_3,RS,-83.460581776093,1.0,165.0,57.0
GFN2_etemp500,RS1_2b_to_PS1_3,TS,-83.439198046445,0.0,165.0,57.0
GFN2_etemp500,RS1_2b_to_PS1_3,PS,-83.44225280856,0.0,165.0,57.0
GFN2_etemp500,RS2_1_to_TS2_1a,RS,-110.27137007973,1.0,165.0,57.0
GFN2_etemp500,RS2_1_to_TS2_1a,TS,-110.268086011773,0.0,165.0,57.0
GFN2_etemp500,TS2_1a_to_PS2_2,RS,-110.26725210524,0.0,165.0,57.0
GFN2_etemp500,TS2_1a_to_PS2_2,TS,-110.273356691391,1.0,165.0,57.0
GFN2_etemp500,TS2_1a_to_PS2_2,PS,-110.294632565482,0.0,165.0,57.0
GFN2_normal,RS1_1_to_TS1_2,RS,-83.440742163837,1.0,165.0,57.0
GFN2_normal,RS1_1_to_TS1_2,TS,-83.438978017556,1.0,165.0,57.0
GFN2_normal,RS1_1_to_TS1_2,PS,-83.437234184511,0.0,165.0,57.0
GFN2_normal,TS1_2_to_PS1_2b,RS,-83.439115334204,0.0,165.0,57.0
GFN2_normal,TS1_2_to_PS1_2b,TS,-83.439041253617,0.0,165.0,57.0
GFN2_normal,TS2_1a_to_PS2_2,RS,-110.266823841759,0.0,165.0,57.0
GFN2_normal,TS2_1a_to_PS2_2,TS,-110.273305107519,1.0,165.0,57.0
GFN2_normal,TS2_1a_to_PS2_2,PS,-110.294917721861,0.0,165.0,57.0
