step,role,status,energy_Eh,imaginary_count,imaginary_frequencies_cm-1,n_vibrational_modes,n_atoms,optimized_xyz,energy_file,hessian_file,frequency_file,charge_file,error
RS1_1_to_TS1_2,RS,SUCCESS,-83.440819384224,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_xtb_charges.csv,
RS1_1_to_TS1_2,TS,SUCCESS,-83.439027419831,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_xtb_charges.csv,
RS1_1_to_TS1_2,PS,SUCCESS,-83.437247632136,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_xtb_charges.csv,
TS1_2_to_PS1_2b,RS,SUCCESS,-83.439246252049,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_xtb_charges.csv,
TS1_2_to_PS1_2b,TS,SUCCESS,-83.439180339329,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_xtb_charges.csv,
TS1_2_to_PS1_2b,PS,SUCCESS,-83.437287289974,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_xtb_charges.csv,
RS1_2b_to_PS1_3,RS,SUCCESS,-83.460587148094,1.0,-9.3200,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_xtb_charges.csv,
RS1_2b_to_PS1_3,TS,SUCCESS,-83.439185556037,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_xtb_charges.csv,
RS1_2b_to_PS1_3,PS,SUCCESS,-83.440298285075,1.0,-14.4700,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_xtb_charges.csv,
RS2_1_to_TS2_1a,RS,SUCCESS,-110.271408327962,0.0,,165.0,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_final.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_hessian.xtb.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_normal_modes.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_xtb_charges.csv,
