method,method_description,step,state,source_xyz,input,output,charge,multiplicity,status
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,RS1_1_to_TS1_2,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_1_to_TS1_2\RS\input\RS1_1_to_TS1_2_RS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_1_to_TS1_2\RS\output\RS1_1_to_TS1_2_RS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,RS1_1_to_TS1_2,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_1_to_TS1_2\TS\input\RS1_1_to_TS1_2_TS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_1_to_TS1_2\TS\output\RS1_1_to_TS1_2_TS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,RS1_1_to_TS1_2,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_1_to_TS1_2\PS\input\RS1_1_to_TS1_2_PS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_1_to_TS1_2\PS\output\RS1_1_to_TS1_2_PS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,TS1_2_to_PS1_2b,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\TS1_2_to_PS1_2b\RS\input\TS1_2_to_PS1_2b_RS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\TS1_2_to_PS1_2b\RS\output\TS1_2_to_PS1_2b_RS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,TS1_2_to_PS1_2b,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\TS1_2_to_PS1_2b\TS\input\TS1_2_to_PS1_2b_TS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\TS1_2_to_PS1_2b\TS\output\TS1_2_to_PS1_2b_TS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,TS1_2_to_PS1_2b,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\TS1_2_to_PS1_2b\PS\input\TS1_2_to_PS1_2b_PS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\TS1_2_to_PS1_2b\PS\output\TS1_2_to_PS1_2b_PS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,RS1_2b_to_PS1_3,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_2b_to_PS1_3\RS\input\RS1_2b_to_PS1_3_RS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_2b_to_PS1_3\RS\output\RS1_2b_to_PS1_3_RS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,RS1_2b_to_PS1_3,TS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_2b_to_PS1_3\TS\input\RS1_2b_to_PS1_3_TS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_2b_to_PS1_3\TS\output\RS1_2b_to_PS1_3_TS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,RS1_2b_to_PS1_3,PS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_2b_to_PS1_3\PS\input\RS1_2b_to_PS1_3_PS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS1_2b_to_PS1_3\PS\output\RS1_2b_to_PS1_3_PS_B3LYP_def2SVP.out,0,1,prepared
B3LYP_def2SVP,B3LYP-D3BJ/def2-SVP,RS2_1_to_TS2_1a,RS,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS2_1_to_TS2_1a\RS\input\RS2_1_to_TS2_1a_RS_B3LYP_def2SVP.inp,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\all_hybrid_qm\B3LYP_def2SVP\RS2_1_to_TS2_1a\RS\output\RS2_1_to_TS2_1a_RS_B3LYP_def2SVP.out,0,1,prepared
