step,role,pdb,xyz,map_csv,charge,multiplicity,comment
RS1_1_to_TS1_2,RS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_1_RS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_pdb_to_xyz_map.csv,0,1,Step 1.1 addition. Use TS as a starting TS guess; PS is the tetrahedral state.
RS1_1_to_TS1_2,TS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_1_TS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_pdb_to_xyz_map.csv,0,1,Step 1.1 addition. Use TS as a starting TS guess; PS is the tetrahedral state.
RS1_1_to_TS1_2,PS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_1_PS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_pdb_to_xyz_map.csv,0,1,Step 1.1 addition. Use TS as a starting TS guess; PS is the tetrahedral state.
TS1_2_to_PS1_2b,RS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_2_RS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_pdb_to_xyz_map.csv,0,1,Two-water proton redistribution.
TS1_2_to_PS1_2b,TS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_2_TS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_pdb_to_xyz_map.csv,0,1,Two-water proton redistribution.
TS1_2_to_PS1_2b,PS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_2_PS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_PS_pdb_to_xyz_map.csv,0,1,Two-water proton redistribution.
RS1_2b_to_PS1_3,RS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_3_RS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_RS_pdb_to_xyz_map.csv,0,1,Dehydration to iminium.
RS1_2b_to_PS1_3,TS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_3_TS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_TS_pdb_to_xyz_map.csv,0,1,Dehydration to iminium.
RS1_2b_to_PS1_3,PS,D:\PhD_Thesis\LmrR_EVB\charges\step_1_3_PS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS1_2b_to_PS1_3\RS1_2b_to_PS1_3_PS_pdb_to_xyz_map.csv,0,1,Dehydration to iminium.
RS2_1_to_TS2_1a,RS,D:\PhD_Thesis\LmrR_EVB\charges\step_2_1_RS.pdb,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\pdb_preserving_xtb_qm_inputs\RS2_1_to_TS2_1a\RS2_1_to_TS2_1a_RS_pdb_to_xyz_map.csv,0,1,Friedel-Crafts C-C bond formation.
