step,role,charge,multiplicity,energy_method,energy_hartree,energy_kjmol,geometry,energy_folder,charges_folder,frequency_folder,input_folder,charge_source,frequency_files
RS1_1_to_TS1_2,RS,0,1,xTB,-83.440923188265,-219074.11362517555,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\RS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\RS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\RS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\RS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\RS\input,xTB:charges,RS1_1_to_TS1_2_RS_freq.err;RS1_1_to_TS1_2_RS_freq.log;RS1_1_to_TS1_2_RS_freq.out;RS1_1_to_TS1_2_RS_freq.out;RS1_1_to_TS1_2_RS_freq.log
RS1_1_to_TS1_2,TS,0,1,xTB,-83.439017064962,-219069.10909913355,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\TS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\TS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\TS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\TS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\TS\input,xTB:charges,RS1_1_to_TS1_2_TS_freq.err;RS1_1_to_TS1_2_TS_freq.log;RS1_1_to_TS1_2_TS_freq.out;RS1_1_to_TS1_2_TS_freq.out;RS1_1_to_TS1_2_TS_freq.log
RS1_1_to_TS1_2,PS,0,1,xTB,-83.437296972141,-219064.59299605468,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\PS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\PS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\PS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\PS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_1_to_TS1_2\PS\input,xTB:charges,RS1_1_to_TS1_2_PS_freq.err;RS1_1_to_TS1_2_PS_freq.log;RS1_1_to_TS1_2_PS_freq.out;RS1_1_to_TS1_2_PS_freq.out;RS1_1_to_TS1_2_PS_freq.log
TS1_2_to_PS1_2b,RS,0,1,xTB,-83.439233526871,-219069.67741979728,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\RS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\RS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\RS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\RS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\RS\input,xTB:charges,TS1_2_to_PS1_2b_RS_freq.err;TS1_2_to_PS1_2b_RS_freq.log;TS1_2_to_PS1_2b_RS_freq.out;TS1_2_to_PS1_2b_RS_freq.out;TS1_2_to_PS1_2b_RS_freq.log
TS1_2_to_PS1_2b,TS,0,1,xTB,-83.439165612641,-219069.49911101098,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\TS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\TS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\TS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\TS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\TS\input,xTB:charges,TS1_2_to_PS1_2b_TS_freq.err;TS1_2_to_PS1_2b_TS_freq.log;TS1_2_to_PS1_2b_TS_freq.out;TS1_2_to_PS1_2b_TS_freq.out;TS1_2_to_PS1_2b_TS_freq.log
TS1_2_to_PS1_2b,PS,0,1,xTB,-83.437170433259,-219064.26076826578,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\PS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\PS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\PS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\PS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\TS1_2_to_PS1_2b\PS\input,xTB:charges,TS1_2_to_PS1_2b_PS_freq.err;TS1_2_to_PS1_2b_PS_freq.log;TS1_2_to_PS1_2b_PS_freq.out;TS1_2_to_PS1_2b_PS_freq.out;TS1_2_to_PS1_2b_PS_freq.log
RS1_2b_to_PS1_3,RS,0,1,xTB,-83.460590982424,-219125.75141162024,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\RS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\RS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\RS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\RS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\RS\input,xTB:charges,RS1_2b_to_PS1_3_RS_freq.err;RS1_2b_to_PS1_3_RS_freq.log;RS1_2b_to_PS1_3_RS_freq.out;RS1_2b_to_PS1_3_RS_freq.out;RS1_2b_to_PS1_3_RS_freq.log
RS1_2b_to_PS1_3,TS,0,1,xTB,-83.439171825093,-219069.51542180145,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\TS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\TS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\TS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\TS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\TS\input,xTB:charges,RS1_2b_to_PS1_3_TS_freq.err;RS1_2b_to_PS1_3_TS_freq.log;RS1_2b_to_PS1_3_TS_freq.out;RS1_2b_to_PS1_3_TS_freq.out;RS1_2b_to_PS1_3_TS_freq.log
RS1_2b_to_PS1_3,PS,0,1,xTB,-83.440270437689,-219072.39982877453,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\PS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\PS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\PS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\PS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS1_2b_to_PS1_3\PS\input,xTB:charges,RS1_2b_to_PS1_3_PS_freq.err;RS1_2b_to_PS1_3_PS_freq.log;RS1_2b_to_PS1_3_PS_freq.out;RS1_2b_to_PS1_3_PS_freq.out;RS1_2b_to_PS1_3_PS_freq.log
RS2_1_to_TS2_1a,RS,0,1,xTB,-110.27139144528,-289517.4983213389,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS2_1_to_TS2_1a\RS\geometry,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS2_1_to_TS2_1a\RS\energy,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS2_1_to_TS2_1a\RS\charges,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS2_1_to_TS2_1a\RS\frequencies,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_evb_qm\qm_reference_for_evb\RS2_1_to_TS2_1a\RS\input,xTB:charges,RS2_1_to_TS2_1a_RS_freq.err;RS2_1_to_TS2_1a_RS_freq.log;RS2_1_to_TS2_1a_RS_freq.out;RS2_1_to_TS2_1a_RS_freq.out;RS2_1_to_TS2_1a_RS_freq.log
