step,lambda,conformer_index,mm_energy,qm_energy,has_xyz
RS2_1_to_TS2_1a,0.0,0,,,True
RS2_1_to_TS2_1a,0.05,0,,,True
RS2_1_to_TS2_1a,0.1,0,,,True
RS2_1_to_TS2_1a,0.15,0,,,True
RS2_1_to_TS2_1a,0.2,0,,,True
RS2_1_to_TS2_1a,0.25,0,,,True
RS2_1_to_TS2_1a,0.3,0,,,True
RS2_1_to_TS2_1a,0.35,0,,,True
RS2_1_to_TS2_1a,0.4,0,,,True
RS2_1_to_TS2_1a,0.45,0,,,True
RS2_1_to_TS2_1a,0.5,0,,,True
RS2_1_to_TS2_1a,0.55,0,,,True
RS2_1_to_TS2_1a,0.6,0,,,True
RS2_1_to_TS2_1a,0.65,0,,,True
RS2_1_to_TS2_1a,0.7,0,,,True
RS2_1_to_TS2_1a,0.75,0,,,True
RS2_1_to_TS2_1a,0.8,0,,,True
RS2_1_to_TS2_1a,0.85,0,,,True
RS2_1_to_TS2_1a,0.9,0,,,True
RS2_1_to_TS2_1a,0.95,0,,,True
RS2_1_to_TS2_1a,1.0,0,,,True
